AABB;BO,CO,CU,HL,LL,LO,LR
AFSU;BF,CE,FQ,FW,OS
AFSW;
AFSY;BI,CE,EH,EK,EN,ET,GI,IN
AFTU;CE,CM,CN,DE,IN,PW
AFTW;PU
AFUX;FL
AFWY;ER
AGGH;CI,DE,EL
AGGI;BT,CH,CO,IL,LO,ZZ
AGGJ;DE,ER
AGGM;AC,AN,DE,EE,EI,EN,IN,NO,OT
AGGN;AM,AZ,BO,DE,EE,EL,EM,ER,MO,OW,OX
AGGO;AL,BN,CI,FT,IL,IN,LT,MN,MT,NU,NW,NX
AGGR;MU,NU
AGGS;AB,AD,AW,GO
AGGU;AK,AQ,QY
AGHN;AF,AJ,AK,AR,AU,DE,ER,LU,NU,RU,RY,UY
AGHR;BU,CU,DU,IJ,IN,IR,IS,NU,NY,RU,RY
AGHS;CE,CW,DE,EI,EL,EO,EP,ER,FO,IL,IR,IZ,LO,LY,MO,PR
AGHT;EL,EP
AGHU;AN,BB,BR,DR,IQ,NN,NO,NP,NR,NY,OQ,RR
AGIL;BM,GI,MM,MP
AGIM;BL,BR,BT,BY,DW,DY,FJ,FY,LM,LP,LY,RU,WW
AGIN;BY,DD,DE,DI,DJ,DU,DV,EU,EV,IJ
AGIO;AD,BU,CG,DD,DJ,EH,TU,UY
AGIR;BM,EH,EM,EW,EZ,HR,MU
AGIT;BG,BK,BM,DE,EL,EY,FZ,LO
AGIV;AL,AN,CN,DN,EL,EN,HN,LN,LO,NP,NW
AGIY;AR,BM,BN,DD,DM,ET,FM,FN,HN,MN,NP,NR,NW,OU
AGJO;LM,NR
AGJS;DE,ER,EU,IR,IW,LU
AGJU;
AGKN;BO,OU
AGKO;BN,BO,NU
AGKS;EM,ET,IL
AGKU;AG,LO,NO,NR
AGKW;DE,ER,IN
AGLL;BO,NO,OP,OR,OW
AGLM;AM,AN,BI,BY,IM,IN,IP,IY,MY
AGLN;FU,GY,HU,JY,NU,TY,UU
AGLO;AG,BL,BU,CU,DE,DY
AGLS;
AGLU;AN,BE,BO,CN,CO,DN,EE,EL,EN,EP,KO,NN,NO,NU,PY
AGLY;BM,CG,CN,FG,GN,GW,HU,JN,MM,NT,OT,OW
AGMN;
AGMO;OY,YZ
AGMP;EI,IL,IN,UZ
AGMR;BI,IN
AGMS;
AGMU;BB,DD,DE,EF,EZ,PZ
AGMY;BI,BL,DI,FI,IL,OO,OR,OZ,PR
AGNN;DE,EE,EP,ET,HU,LU,MU,RY,SU,TU
AGNO;GX
AGNP;DE,EN
AGNR;GU,HU,MU
AGNS;
AGNT;
AGNU;CH,CL,DI,DL,DR,FL,HL,HN,HR,HY,IL,IN,IR,IX,KR,LN,LR,LU,NW
AGNV;AI,CI,DI,HI,IL,IP,IR,IW
AGNW;AY,BE,EL
AGNY;AU,AW,BI,CL,FI,HI,HU,IL,IP,IW,JL
AGOP;EE,ET
AGOR;DE,DW,EF,EH,FR,OV
AGOS;CE,CU,EG,EH,GG,OZ
AGOT;AU,IU
AGOY;CW,DL,EV,IU,LW,MO
AGPS;
AGPU;DE,DR,EL,ER,EZ,LY,MZ,OR
AGPW;DE,ER,IN
AGPY;IN
AGQU;AG,GY,HI,HO,NO
AGRS;
AGRT;
AGRU;AJ,AV,BH,CH,FY,GN,HN,HR,IN,KN
AGRV;AU,LU,MO,OO
AGRY;AD,AI,AM,AR,BB,FU,HR,UU
AGSS;IM
AGST;BU,LU,MU,TU,UU
AGSU;AJ,BT,CO,IT,OT,TT,TU
AGSV;LO,OT
AGSW;AG,CH,GI,HU,IJ,IL,LO
AGSY;AM
AGSZ;AL,AR,HI,IN,NO,OO,OY
AGUY;AN,FR,GQ,HL,HN,IO,LP,LR,OT,RU
AGYZ;ER
AHHO;CO,DU,DW,KO,PW
AHHS;BI,CI,CW,DE,DI,EP,ET,GU,IK,IV,KP
AHHT;GU,RS
AHIJ;CK
AHIK;BL,EW,FL,FR,IP,LP,OW,PP
AHIL;BE,BK,EM,EN,EW,FK,LO,LZ,MO,MU,NU
AHIM;EL,EM,EN,GN,LO,LU
AHIN;AW,EL,EM,ER,EV,EW,LR,LY,MR,PR
AHIO;AT,BO,BP,DL,DO,DR,EG,GN,KW,LL,LM,MR,RT,RV
AHIR;AK,AP,AR,AV,DE,DO,EE,EG,EN,EZ,FI,FK,GN,GR,NP,OV,RW
AHIS;EG,GG,GZ,HS
AHIU;CQ,EQ,GQ,LM
AHIY;CT,GN
AHJJ;AH,ES
AHKL;BE,BI,DO,FI,IP,IT,OO,PU
AHKN;AD,AG,AU,MU,PU
AHKO;CI,CR,CW,DL,IW,MW
AHKP;AC,AE,AI,AU,ER,II,IL,IP,KU,LU,NU,UU
AHKR;AA,AI,BU,DE,EN,EP,EW,FI,IM,TU
AHKS;
AHKT;AB,AE,AJ,AK,AL,RU
AHKU;AN,AP,BC,BR,CC,CK,CR,CT,DH,DK,KP,LP,MN,NP,PU,RT
AHKW;DE,EI,ER,EY,IO,IT,MO
AHLL;CY,EF,EL,ET,IP,IT,IZ,PY,RT,WY
AHLM;CI,NY
AHLO;FO,KO,OP
AHLR;DY,LT
AHLS;AG,AJ,AN,AV
AHLT;LR
AHLU;KP
AHLY;AK,CK,CL,CR,DR,GU,LW,MN,MU
AHMO;DN,FT,OP,TZ
AHMR;
AHMS;
AHMT;AF,AL,AN,AZ,FO,OZ
AHMU;EE,EW
AHMW;DE,EU,MY,RT
AHNO;BE,BM,BO,BT,PR,PY,RT,WY
AHNR;AD,AG,AJ,AM,DE,DO,DU,EG,EI,EK,ET,GI,GT,GU,GY,IL,IM,IP,IU,OP,OT,TW,VY
AHNS;MY,NY
AHNT;BO,OR,RW
AHNU;AG,AK,AW,EW,EY,GN,GO,GP,GR,GY,KP
AHNW;AB,AI,AT,AU,EI,ET,EU,OY,RT,TU
AHNY;CC,CO,CT,GI,GR,GU,IL,NS,OP,OW,RS,RV,ST
AHOP;BI,BO,BR,HW,JO,LN,LO,MO,NR,NY,RW
AHOR;EG,EX,IV,NP,PW,RW
AHOS;EG,EV,EX,FG,OW
AHOT;AI,AW,BN,BX,EW,FM,MU,QU,UU
AHOW;AT,DH,DS,ET,HP,IK,LL,NY,PR,RR,RT,ST,TZ
AHOX;BT,BY,DE,ER,ES,RT
AHOY;BD,BX,CC,CN,CP,LT,MW,NP,NW
AHPR;AD,AI,AP,BO,IN,NO,OW
AHPS;GN
AHPT;AH,AY,BY,DE,EG,EN,ER,EY,IN,RU,UZ
AHPU;AK,BC,CN,CP,DN,DU,EP,GN,HP,KK,KL,KN,KU,TZ
AHPW;AE,HO,OR
AHRS;FW
AHRT;KU,LL,PU
AHSS;AB,AR,BI,BU,CO,CU,CV,II,IV,QU,RU
AHST;JU
AHSW;BU,DO,FR,GU,OO,RU
AHSY;BB,GG,GU,NN
AHTT;AC,CC,CH,CI,CY,OR,RW
AHTU;CC,CK,CQ,CS,CW,KR,OQ,OR,OU,PR,PZ,SS
AHTW;GU,IK,IL,NU,OZ
AHYZ;IL
AIIL;ES,FN,GG,GN,NN,RY
AIIN;BL,BN,FL,GJ,GL,GR,HT,KT,LN,NZ,RS,ST,SX,TT
AIIX;
AIJL;BB,BE,DE,ER,EZ,GN,OR,OV
AIJO;CT,DG,DN,EF,LV
AIJS;AV,DM,DS,GR,GW,KN,MN,NN,PS
AIKK;BE,BI,BU,EP,IW,LU,NO
AIKL;KU
AIKM;EN,ET,GN,NW
AIKN;AO,AR,CO,CP,CR,EM,EY,EZ,KO,MW,NN,NP,PR
AIKP;AH,BC,CN,CX,CZ,DE,DN,EK,HI,IT,NN
AIKR;CE,CN,DE,EL,GN
AIKS;
AIKT;DZ,EM,IP
AIKU;BK,KL,LT
AIKV;EE
AIKZ;AI,CP,DD,DT,EN
AILM;DO,DY,FY,GO,GY,HO,OT,TY,YZ
AILN;HR,IN,RT,TT
AILP;AG,AL
AILR;CN,CO,IL,JO,OO
AILS;IO,OY,QU
AILT;AN,GO,JW,MO,MU,NO,NU,OX
AILV;BY,MU,WY
AILW;HR,HT,OY,RY,VY,XY
AILX;GN,OT,TY,WY
AILZ;BR,DO,DR,FR,GN,HY,MY,NY,OP
AIMM;BR,DT,IN,JJ,NO
AIMN;BN,BU,FY,KW,NU,NY
AIMO;CO,CS,CV,HL,LP,MS,PY
AIMP;BT,DY,EG,EV,EY,OT,OY
AIMR;
AIMS;OU,QU
AIMX;EX,GN,RT
AINN;AB,AL,AT,BI,BM,BU,CF,CI,CT,CY,FN,FT,IL,IZ,KN,KU,LU,MS,MT,MU,MY,NT,RU
AINO;AK,AT,BS,BT,EZ,KK,KT,QU
AINP;DE,DK,DU,EP,ER,HR,KR,RU,RW
AINR;HL,HP,IP,KP
AINS;AD,DI,DO,IX,JN,NO,OX
AINT;AJ,AL,AN,AO,AV,BL,BO,LO,LY,NN,NO,VY
AINU;AG,DG,DN,DP,EG,GN,MN,MV,MZ,NP
AINV;GH,GW,TY
AINW;AB,AH,CC,EH,KM,MP
AINY;BG,CC,CD,CN,DT,EK,FG,FM,FT,GH,GM,GP,GW,MN,MP,MV,PT,QU,TV
AINZ;AB,CO,DI,IN
AIOT;AH,AN,GL,GN,GU,LN,LX,LY,NN
AIPP;AD,AN,AR,EG,EN,ET,EY,IR,RR,RY,TT
AIPR;AH,AN,AO,AP,AY,HN,NO,NW,OV,PR,PY
AIPS;ZZ
AIPT;AC,AY,BM,CH,CM,CY,IK,IW,JU
AIQU;CE,CH,CT,DT,EH,GH
AIRS;IO,JO,OO,OX
AIRT;BB,BU,IV,RY
AIRV;DZ,HO,IT,OP,OT
AIRW;AG,AJ,AU,AY,DE,EG,EL,EM,ET,EV,EX,EY,HL,HT,JO,LY
AIRY;AG,AP,AR,AT,AW,BR,CM,CP,PP,PT,PU,RT,TT
AIRZ;AB,AO,AZ,BL,FF,FL,RZ
AISS;EE,EJ,EX,EZ,HH,HI,HW
AIST;EY
AISV;AJ
AISW;AB,BZ,CC,EG,EP,EV,GG,GJ,UX
AISX;DE,DO,DP,EJ,EN,ES,NO,NU,OR,PR,UW
AITT;AM,DY,TU,WX
AITU;AM,AY,BL,BR,CC,CQ,CR,CY,EP,IW,JP,KL,LM,LP,LR,MR,OP,TT
AITV;AN,IR,NY,OR
AITW;BB,GT,HK,HL,HR,IP,IU,JL,KO,TX
AITX;AA,AC,DM,GN,LO,LY,MR,TW
AITZ;CO,DD,DK,EN,FG
AIVV;CE,RY
AJKR;AI
AJKS;AN,HO,IN,NY
AJKU;DE,DO
AJLR;EI,IO,OO
AJMS;DI,IL,IN,NU,OR,RU
AJNN;
AJOS;BN,DH,HK,KR,LP,MR,NY,OP,RW
AJOT;CI,MP,NR
AJPR;AN,IU
AJPS;LO,OO
AJPU;DE,IR,IT
AJRS;BI,GI,HI,IO,MO,MU,OW,TU
AJRU;AG,BE,BI,DE,IP
AJSS;DI,EI,ES,EY
AJSW;AN,AR,GI,IL,OR
AJSY;CK,KN,NO
AJXY;
AJYZ;
AJZZ;BO,DE,ER,ES
AKKO;IN,KO,QU
AKKR;AA,AM,DE,EN,EY,NU
AKKS;DU,HU,LU,UW
AKKY;DE,ER
AKLN;OX
AKLO;DH,HO,IN,NU,NX,TW,XY
AKLP;EE,EY,RY
AKLR;
AKLT;CH,GO,OW
AKLU;GO,IM,MM
AKLW;OT
AKLY;AG,AH,CH,CP,OX
AKMO;AM,BJ,BO,BT,CE,ET,HW
AKMR;PU
AKMS;DU,NU,NY,UZ
AKMW;AE,HO,IN
AKNO;AI,CI,CW,DI,GL,GU,IK,IL,LU,LX,NO
AKNP;CI,DI,IN
AKNR;AI
AKNS;
AKNT;CU
AKNU;AH,AK,AM,CE,CT,EM,GO,HM
AKNW;AZ,CO,GI,IM
AKNY;CK,EE,EI
AKOP;CJ,DU
AKOR;AP
AKOS;CW,DE,DV,OZ
AKOT;AL,BM,GL,LW
AKOY;CR,DE,LX,NR
AKPR;CE,DE,EE,EH,ER,MU
AKPS;
AKPU;AD,AH,DO,EM,HU,MR
AKPW;LU
AKRR;AC,NY,OO
AKRS;
AKRT;
AKRU;AM,CE,CH,EE,EM,EW,MP
AKRW;
AKRY;CC,CE,CO,EF,EK,ER
AKSS;AL,AP,DL,FL,KN,NP
AKST;
AKSU;MO,MZ,VZ
AKSV;DO,EN,UZ
AKSW;OY,YY
AKSY;AM,BL,DL,EF,EJ,EL,LL,WY
AKTU;AM,AY,CH,CN,IN,MU
AKTY;AU,EW
AKUW;DE,ER
ALLL;AF,AH,AN,OT
ALLM;BE,DE,EE,ET
ALLO;AB,AZ,BG,BO,GP,OP
ALLP;BU,CI,CO,DI,DO,FU,GO,HI,IR,IU,NO,OO,OR,OW,PU,RU
ALLS;NU,QU
ALLT;AB,AT,BE,CE,EG,EH,EI,EM,EP,ER,ET,EU,EW,HI,HR,IT
ALLW;DE,EI,EN,ER,ET,FU,IN
ALLY;CH,CI,CU,IZ
ALMM;KU,UW
ALMO;BP,IP
ALMP;AA,AD,AN,AR,BO
ALMR;
ALMS;DW
ALMT;BI,CU,DU,IR,IU,UU
ALMU;CT,CU,KM,MW,MY,TU
ALMY;GI,HU,IZ,QU
ALNO;AC,BC,CF,KU,NU
ALNP;AM,AR,CH
ALNR;AC,AI,AP,AW,AX,CI,DI,HI,IM,XY
ALNT;BI,BU,CI,DI,FU,GY,IT,IU,IY,UW,UY
ALNU;CF,CG,CV,FG,FT,GO,GU,OZ
ALNW;AM,AR
ALNX;AR,EF,EI,GI
ALOO;CL,CZ,DI,DN,EZ,HK,HL,IR,JR,NZ
ALOP;AY,BM,LW
ALOR;DI,IJ,IO,IU,JO
ALOS;II,IX,IY
ALOT;AK,EE,EZ,IY,KW,QU,UW,UY
ALOV;AB,AW
ALOW;AV,IY,KT,MT,RR,TU
ALOZ;AL,DI,IP
ALPP;OR,OT
ALPS;
ALPT;
ALPU;BL,BR,FL,LR,RR,RW
ALPW;DE,ER,KU,LO,RU
ALPY;BY,CK,JO
ALRS;AG,AV,AW,AZ,BW,PW,WW
ALRY;NU,NX
ALSS;DK,FK,NR
ALST;
ALSU;IQ,LQ
ALSV;
ALSW;AM,AR
ALSY;IN,IO,NO,NU,NX
ALTU;IM,IN,MU,NW,NY,OQ,OW,OY,TY
ALTW;CO,EE,EG,EH,EL,ET,HI,IJ,KO,LO,MO,NU,OU
ALUU;CM,CP,GJ,GN,LN,MT
ALUV;CN,DI,GR,IM,IN,LM,OR
ALUW;DE,MM,OT,PR,RT
ALWW;AQ,DE,LO
ALWY;DD,DE,EE,EK,GG,GO,IO,IV,IX
ALYZ;ES,HI,IL,IM,IN
AMMO;AK,AO,DT,HW,RT
AMMR;AD,AG,AR,AT,BE,BI,DE,EG,EH,EI,EJ,EL,EM,EN,ER,EZ,OT,RU
AMMS;
AMMU;AK,AZ,ET,KL,LW,LY,MO,PW,RR
AMNO;AO,AZ,BE,BH,EF,EP,NN,OO
AMNS;
AMNU;AK,AT,BI,BT,CE,CP,EK,EP,EQ,ET,IT,IV,IZ,OT,TT,TU
AMNW;AA,AL,AR,EL,ER,GI,IK,IP
AMNY;FI,IN,IP,IV
AMOR;OV
AMOS;EV
AMOT;BC,BK,BP,CE,CT,CU,DE,DM,EK,FH,HU,JP,OP,OT
AMOU;CT,MM,NT,TZ
AMOW;BO,DE,DL,LL
AMOX;BB,ER,GN,LY,MY
AMOY;AB,AC,CC,DI,GO,GZ,HW,IP,PP
AMPR;KU,UW
AMPS;AB,AN,AP,MY
AMPT;AN,BI,BO,CI,CU,DE,EE,IN,IO,JO,NO,NY,OO
AMPU;CD,CN,CT,DE,EK,EN,GZ,KR,MW,RW
AMPV;DE,EI,ER
AMRS;
AMRT;AA,AC,AK,AM,AN,AU,BU,JU,NU
AMRU;AK,AT,EK,EQ,ET,KP,PW
AMRW;AN,DE,EG,EI,EN,ER,HT,PU
AMRY;AG,FI,GP
AMSS;MR
AMST;
AMSU;AI,AQ,BI,BJ,IK,IQ,KZ
AMSW;AC,AL
AMSY;DI
AMTT;AA,AI,AU,CO,IN,NU,OO,OZ
AMTU;BN,BR,CE,CF,CL,CO,CP,CU,EL,EM,EN,ER,ET,IL,IN,IR,JR,KU,LU,NO,NR,NT,NU
AMTY;DU
AMYZ;GO,IL
ANNO;AJ,AN,BE,EN,EV,KO,LU,MN,MR,MT,OX,PR,PT,RT,RW,TT,TW,TX
ANNS;GI,HY,IM,IP,TY,WY
ANOR;EF
ANOS;IP,OP,OW,PW,SW
ANOT;AI,DF,DN,FN,IN,NW
ANOV;LT,MT,RT
ANOW;AJ,EK,ES,IN,NT,OS,SS
ANOX;GG,GM,NO,UY
ANOZ;AM,CI,RY
ANPS;CO,NO,OO,OR
ANPT;AC,AM,AR
ANPU;DH,DI,EE,EM,IN
ANPW;CE,DE,EE,GI,IM
ANRS;
ANRT;HW
ANRU;CH,CO,CR,DG,DH,DO,DW,GG,GH,GO
ANRW;HT,UY
ANRY;AR,FZ,HV,LX
ANSS;FU,KK,KO,LO,MO,NU
ANST;
ANSU;
ANSV;AC,AD,AP,AR,LY
ANSW;AJ,CO,OO
ANSY;AB,AL,AY,FF,HN,LV,LX,ZZ
ANTU;AM,CE,CF,CK,EL,EM,FL,LW,MU
ANTV;DE,EI,EL,EM,EO,ER,IY,LO,MO,OR
ANTW;AH,DE,EE,EH,ER,HR,HU,LU,NO
ANUU;BR,GL,LL,MT,PT
ANUY;AG,EH,GH,IQ
ANVY;HR,IL,IM,IT,LS,TU
ANWY;AG,BR,GI,RU
ANYZ;AN,BT,FR,OR,SZ
AOPR;AI,AK,AM,BH,HW,RW
AOPS;AT,JO,NN,NO,NT,NW,OT,PP
AOPT;AS,BM,HS,JM,MO,OS,OT,SS,SU
AOPU;DK,EQ,IT,NY,TY
AORR;AI,AU,AV,CE,CH,CN,CT,EI,EP,ER,GN,GT,IK,IU,KO,OT,PT,PU
AORS;II,IJ,IX
AORT;FU,QU,RW,UW
AORU;AR,BL,BR,BT,CL,CN,CT,EV,FT,FV,HT,IL,IR,LT,LV,NT,QT,TW,TY
AORV;AR,CT,EU,EW,GI,GM,GO,HI,IT,MO,NT,OT
AORW;BL,BT,CE,EV,HP,HT,TU,VY
AORY;DW
AOSS;NW
AOST;AP,AW,OP
AOSV;BC,CH,DK,FU,GT,HM
AOSY;BL,BO,BR,BU,CC,CR,CU,DT,IL,IZ,LL,LR,RR,RT,TT,TU
AOTU;AG,DD,DE,EG,GI,GR,GY,HM,HR,HU,IP,LR,LW,LY,MZ,PY,RW,RY
AOTY;BB,FL,HL,IL,LU,ST,SU
AOVW;AL,DE,ER,RY
APPR;AG,AH,AI,CY,DY,II,IR,IY,TY,UW
APPS;KO,OP
APPU;HH,RW
APPY;CR,DE,DR,EI,ER,IR,MO,RT
APRR;IP,LO,LU,OT,OU,OW
APRS;
APRT;
APRU;AR,BL,BY,KM,LL,LR,LW,MW,PW
APRW;DU,HO,LU,MU,OR,PU
APRY;AI,BU,IP,IU
APSS;AC,AK,CU,SU
APST;DO,OO
APSU;SS,SW
APSV;AN,OR
APSW;EE,EI
APSY;EE,MM
APSZ;EE
APTU;FW,HZ,IJ,IO,OY
APTY;AH,AI,BH,CH,CI
APUY;BR,DE,ER,IR,OT
APUZ;EG,GM,HT
APWY;BO,DE,ER
AQST;AL,AN,NR
AQTU;CH,CI,DI
AQUY;EZ,GG,IN,LM,RR,ZZ
ARRY;FI,KN,QU
ARSS;AH,AR,HY,MM,MW,MY
ARST;
ARSU;
ARSV;
ARSW;AJ,AL,AW,LW
ARSY;OV
ARTT;HW
ARTU;AD,AM,FO,HO,IM,OW
ARTW;BO,DO,OR,OU
ARTY;
ARTZ;AN,EP,EY,KN,QU
ARUV;AG,EG,EL,EO,EQ,FO,GL,LO,LU,LV,OP
ARUW;AI,AR,DE,DN,DP,EK,EN,LP,LT,MP,NP,NY,OT,PP
ARVY;HN,KL
ARWY;AI,AR,DO,DS,NU,OR,OV,PS
ARXY;CN,LN
ARZZ;AI,DE,DI,EJ,EL,ES,IR
ASSS;AI,AL,AM,AN,AT,BO,CI,FO,IL,IN,IO,IT,LO,LU,MP,OT,PU,RT
ASST;
ASSV;AC,AL,CH,LO,LY,OR,OY
ASSW;FR,OR,QU
ASSY;CR,DI
ASTT;AA,AL,AP
ASTU;GH,GU,HJ,HY
ASTV;GO,LO
ASTW;BO,MO,OU
ASTY;DO,OU
ASUV;KZ
ASUY;BL,BO,BW,HT,OT
ASVV;EL,ER,LO,LU
ASVW;
ASWW;BO
ASWY;BB,BU,BY,DD,DE,DR,ER,EV,KO,KY
ASYY;AA,AN,BW,DI,ET,KW
ATTT;DE,EI,EL,EN,IU,OO,OW
ATTU;AM,AU,DE,EM,IT,KP,LY
ATTW;AB,DE,EI,EL,ER,GI,HR,IX,OT
ATUV;
ATWY;EJ,EK,KO
AVWY;IL,OR
AWXY;EE,IL
AWYY;AL,FL,KS
AWZZ;DE,ES
BBBI;DE,EL,ER,EU,NO
BBCO;DE,EL,ER,EW
BBEI;AC,AD,AY,BD,BU,DD,DF,DG,DJ,DN,DO,EW,GN,GT,IM,JO,MO,MX,OO
BBEL;BO,BU,BY,CO,DO,DU,EK,EP,GO,HO,LU,MO,MU,NO,NU,NY,OR,OT,OW,PY,RU
BBES;BU,CU,DO,DU,EN,ER,ET,KO,KU,MO,NU,OP,OR,OU,UZ
BBIJ;DE,EO,ER
BBIS;AM,AR,AT,IK,KO,KU,LO,MO
BBLO;AA,BE,CE,DE,EG,EH,EM,EN,ER,ET,EW
BBLU;BE,BY,CY,DE,EL,EM,EN,FI,HY,IL,LU,NY
BBMO;AX
BBOO;DE,EI,HJ,HN,NN,NO,OO,UU
BBOS;DE,DU,EK,EP,ER,EU,IK,NY,UY
BBOU;ES,NT,OU,RT,SY
BBRU;AT,DE,EN,ER,ET,IT,OT
BBSU;BE,CE,DE,DO,EI,EK,EN,EO,EZ,IK,MO
BBUU;BH,II,LL,OO
BCEI;CO,IK,KR,KU,LM,LR,LY,OR,OX,RT
BCEK;AD,AI,AR,AT,DO,DU,II,IR,IU,LU,MO,NO,RU,TU
BCEU;AG,EQ,HO,IK,KL,KT,LO
BCHI;LO,OP
BCHU;AK,AP,BY,EO,ER
BCIR;DY,EL,ET,LU,NU,RU
BCKO;DE,EM,EN,IN
BCKU;AH,AP,AR,DE,EI,EL,ER,ET
BCLO;AL,AN,AT,HT
BCLU;AA,AC,AI,BY,EK,EO,ER,IP,IR
BCMO;AP,AT
BCOS;AC,AH,AI,AN,AU,AV,AZ,CE,CI,EH,EN,IN,IX,NU,OY,PU
BCRU;AK,HN,IL,IN,IR,NU
BCSU;CI,IM,IT,NO,OP
BDEE;AD,AH,AJ,AK,AN,AZ,CK,DD,DN,EF,EN,EP,GG,NO
BDEI;BB,BF,BN,FF,HN,NN,NU
BDEL;RY
BDEN;BE,BI,DE,DI,EE,EI,ER,GI,HI,IM,IN,IR,IT
BDEO;BB,BC,BF,BH,BU,FF,HT,PP,TT
BDER;
BDES;
BDET;HO,LO,MO,NO,OO,OR,OT
BDEU;BF,BO,BP,FF,OY,ZZ
BDEY;IL
BDII;EM,ER,GO,LO,MR,TT
BDIN;AA,AR,AT,BE,DE,EE,EG,EH,EM,EN,ER,ET,GY
BDIR;CY,FO,HY,IM,MO,TU
BDIS;HO,MO,OP,OV
BDIU;AR,BK,CO,EG,EM,ER,OT,RT
BDLO;FI,II,IY,LY,UY
BDLU;
BDMU;AW,GU,LY
BDNO;AG,OY
BDNU;
BDOO;IT
BDOR;FI,IM,WY
BDOS;HI,IM,IP,IV
BDOU;CI,EG,EL,EY,LY
BDOY;AH,AR,AY,IL,IM,LL,LU,NU,RW
BDRU;AI,AR,AY,IT
BDSU;
BEEF;AL,DE,DL,DW,EL,IL,LL,OR,RT
BEEH;AD,AG,AJ,AV,DL,DR,EP,IP,OP,OV,RY
BEEL;BK,FY,MM
BEEN;AD,AI,BD,DD,DE,DI,DO,DR,GI,GO,GR,GU,IW,JU,OR
BEEP;DE,EH,ER,EW,HI,HO,OP,RU,TW
BEER;EP,EZ,KU,NN,PU
BEES;AC,AJ,AM,CK,CX,GI,GM,IV,IX,JM,MU,UV
BEET;AK,CK,EM,IM,IO,OO
BEGI;BT,FT,GI
BEGO;AC,AZ,EN,ES,OS,PX
BEGR;
BEGS;AA,AD,AL,AM,AN,DO,DU,EL,EM,EO,ET,FO,LO,LU,MO,MU,NU,OO,OU
BEGY;EU,NU
BEHL;BO,DE,DO,ET,IT,MU,OW,RU
BEHR;BO,CE,CO,CU,DE,IK,KO,LU,MO,NO
BEHT;DO,IL,IN,IO,IT,IZ
BEIJ;AL,BO,LU,MU,NU,TZ
BEIK;AA,AC,AK,EL,LN,LY,OO,OY
BEIL;AA,AF,AH,AI,AJ,AM,AW,AY,CM,CY,FM,FX,JU,KN,KY,MN,MW,MY,NU,NY
BEIN;AE,AT,BD,BL,DD,DE,DH,DL,DM,DT,DU,EW,HT,JU,KL,KU,LM,LT,LU,TT
BEIR;CO,EM,EY,IV,MU,MX,OU,OX
BEIS;EX,HU,MU,QU
BEIT;AI,AN,AW,BG,EM,GN,HN,MX,NN,PY,UY
BEIV;DR,IR,NO
BEIX;CO,ES,FL,NO,OR
BEIZ;EZ,MO
BEJN;AM,AT,ES
BEJO;AR,BI,BR,RU
BEJU;AR,AT,IL,IM,JU,LM,OR
BEKM;AL,AN,AR,DE
BEKO;CN,IY,KN,NT
BEKR;CE,DE,KY
BEKS;EN
BEKU;AD,BN,CD,CL,CT,DL,DN,GN
BEKY;IL,IO,KR,LO
BELL;BU,DO,DU,NO,OU,OW,RU,TU
BELO;BB,BH,EV
BELP;OU,UW
BELS;DN
BELT;
BELU;AB,AL,AN,BB,BL,BN,CK,EN,FF,IJ,IN,PW
BELW;AB,AD,AI,AM,AR,AY,BI,IM,IT,PU
BELY;BB,BN,CI,DI,EF,IK,IM,IN,IV,KO,MO,NN,NT,NZ,OO
BEMO;AA,AF,AN,NT
BEMR;GI,IL,IT,IX
BEMW;IL
BENO;EG,GM,KK
BENR;BU,DE,DU,EG,EN,GU,KU,MU,RU
BENS;BU,CU,GU,JU,MU,NU
BENT;AD,AI,AJ,AK,AM,AN,AT,AU,AZ,DI,DU,GI,HI,IN,IT,NU
BENU;BK,BL,BM,BR,BS,EL,EN,ET,IK,IL,IR,KR,LT,LY,MR,MS,NO,NS,NT,OR,RR,RT,ST
BENW;AG,EI,ET
BEOO;BI,CM,CN,ET,FH,GI,GR,GY,IT,MR,NR,NT,RT
BEOP;DP,EH,EP,GX,LU
BEOR;HT,IT,IU,JU,OT,OZ,TT,UZ
BEOS;AH,AV,CC,CH,FG,HS,SS
BEOT;AD,AR,AV,AX,DH,DM,DO,DR,EH,EO,HR,KO,OR,RV
BEOY;IK,KL,LO,OZ,TU
BEPU;AR,AT,BD,DM,DR,ER,FF,IP,LO,LW,MR,OR
BERR;BU,CU,DU,FU,GU,KU,LU,NU,RU,TU
BERS;LT
BERU;AA,AJ,AN,AP,AQ,AU,BN,BR,EP,ER,FF,FR,IN,IO,IR,JO,NO,NR,OP,OZ,RR,ZZ
BERV;DI,II
BERW;AL,AP,AR,AY
BERY;IN,KK,NT
BEST;
BESW;DE,DU,ET,GI
BESY;MU
BETU;CK,EN,FF,FI,IY,NN,QY
BETY;IP,IU,LR,OU,QU,RU
BEUZ;DZ,OR,RZ
BEVY;OR
BFFI;DE,ER,IN
BFFO;DE
BFFU;
BFIR;IL,IN
BFIS;AY,ET,UX
BFLO;DI,EI,EO,EU,TY,UX,YY
BFLU;AG,AI,AR,BI,EG,EM,EO,OX,TU
BFMU;EL
BFOR;AD,AO,EE,FU
BFOS;EG
BFOU;LX
BFOY;AN,FU,LT,LY
BFSU;AN,EU,IR,IX
BGGI;AE,AT,AW,DE,EI,ER,IN,IW,NO,NU
