AAAARR;MPTT
ACCELS;AADV,AAST
ACCEMS;ABKL,AHRU,AILN,AILT,ALOR,ALTY,BBHO,DNOO,DOOR,DORR,DOTU,EGLY,EHKN,EHKT,ENRT,EOTY,HKKR,HNTT,IILN,IIST,OPRR,OPRT,OPTT,ORTU,ORTY
ACCEMU;ALTU,DOST,GHHR,OPRT,ORST
ACCENR;AIIV,KRTU
ACCENT;EUXY,IINN,KRRU,LRUY
ACCEPT;AAIT,AFII,AIIV,DIIO,DOTY,ILOP
ACCERS;BEFY,BEPY,DMOO
ACCERU;BILL,BILO,CHOU,EMNT,GHHM,HINN,ILLP,KNRT,NOPR
ACCERW;AHTT
ACCESS;AALT,ABKP,BEEH,BEIL,CEEN,DOOT,EHLN,ELPT,HIMN,HINN,HNOO,IILS,IILZ
ACCESU;ACOT,AFGO,AITV,BJNY,HHOQ
ACCGNO;ADIL,AGIR,AILR,CLOO,EIKP,EILL,EILN,EINZ
ACCHHI;AINN,CLOO,FFFF,ILLN,NRTU
ACCHIK;BLNO
ACCHIS;GINN,INNP,LLOO,LNNP
ACCHKS;BCEK,BNOT,COPT,EEEE,EEMN,EEMT,EKMR,EOPT,OORW
ACCHKU;ALLW
ACCHKY;
ACCHLS;ADOO,GNOO,HIIR,IIIT,ILOO,IMOO,IMOP,INNP,IRTY,LOPT
ACCHLT;EEFR,IIIS
ACCHNO;ATYY
ACCHNR;GIIO
ACCHNY;ALOR,AOTY,IMOO,IMOR
ACCHOR;CLOY,GLPY,HSST,MOOT,PSST
ACCHOS;ADLO,CKPT,DOOW,DORT,FOOR,HRST,IIMS,ILLO,ILMO,KORW,LLPT,PRST
ACCHOU;CERU
ACCHOY;AENT,AGIR,AGPR,ANTY,CLOR,DELN,EILL,EIRR,ENOT,GIPT,GLPR,ILLT,IMNO,IMNR,IPTT
ACCHRT;FITW,HINU,MOOO
ACCHST;AAAM,AAKM,AITV,BIKT,BIKW,BKNO,BKOU,CKOP,IKMT,LLOP
ACCHSU;
ACCHTT;AAPR,AISV,BIKS,FIRW,IILY,IKMS,ILYY,IOPY
ACCHTU;HINR
ACCHTY;AENO,AERR,ANOY,ENNP,ENNR,ENOO,GIOP,IOPT
ACCIIN;ABNR,AHHN,ARSS,CPPU,EGOR,ENRS,GHOR,GHRS,KKMS,MRSU,ORSS
ACCILO;CILT,DILP,GGHO
ACCILT;AALN,ADDI,ALMO,ALRY,ARUY
ACCINO;
ACCINS;CEEP,EEFT,EEMR,EENS,EINR,GHIK,GHIN,GHIR,GHNR,HLNP,IILN,IKKM,IMUV,INST
ACCINT;AALL,AALS,AGLL,ARSU,EEFS,LSSY
ACCINW;AEHN,DEKL
ACCINY;CEMP,DEMN,EFFI,HMOO,INNP,MNOV,NNOV
ACCIOS;ADEV,DDEY,DEOX,EPPY,HIMS
ACCIOT;CILL,ELPP,ITVY
ACCIPR;AAAL,AGHY
ACCIRR;AATU,BEOX,DEET,DHLO,EHHI,EHNU,EHOY,EILT,EIPP,EITZ,ELOP
ACCIRS;AALL,AFLU,AINS,ANNZ
ACCIRT;FHTW,HHNU
ACCISW;BHKT,DEOR,EEHR,EHRT,HHOP,HKPR,KLPR
ACCITT;DNOR,FHRW,GIKN,GNNO,HILY,HLYY,HOPY,IMOR,IOVY,NNOU
ACCITU;AARR,ABNO,ALPT,ALRY,AORT,BNOR,DDIN,DEIZ,EOPV,GHLN,GHNP,GNNO,GNOP,GNOR,HHNR,NNOT,NOOP
ACCKLS;ABJK,BBKO,BBKU,BCKO,BIIT,BIRY,GINR,IPRW
ACCKRS;BKOO,DNOW,EHKM,HOOW
ACCKRY;BERR,DHOR,EEOP
ACCLOU;ALRT,ANNR,ANTT,BKLY,EFLT,ENPT,FLNT,IIMR,IMNN,KMOR,PRTY
ACCLOY;BINR,BIRX,BKLU,CEMR,CHOR,CIMP,CIMR,EHIL,EITV,EMNR,ENTX,FIMR,GHPR,HILT,IIMT,IINR,IIRT,ILRT,IPPR,PRTU
ACCMOP;AARR,CEIL,CILY,EILN,HINO,ILNY
ACCMOS;BBEH,DENO,DIIT,EETY,HIIS,HKLT
ACCMOY;CELR,CILP,CILR,EEST,FILR,FIPT,IILT
ACCNOO;CGLO,DDEI,DEIL,DHIL,DIIL,DIIM,EHIM,EHTY,EILM,HIMY
ACCNOT;AHYY,AMRY,BNOO,OORV
ACCOOS;ADHL,AIPT,ALLR,DEIX,DEMR,DHOW,EGIL,EHRU,EHTU,EIRU,FHOR,GILT,HILL,HILM,HKRW,IILR,ILLP,IPRS,IPRU,IPTU
ACCORS;EMPR,EUUV,FHOO,HKOW,HNRT
ACCOSS;EHNO,HIIM
ACCOST;EEMY,EHOU,EHTU,GUYZ,HLLP
ACCOSY;ARTU,BBIN,BNOR,DDEI,EEMT,EIPP,ENRT,GTUZ,HNPY,ITTT,NNNO
ACCRUY;AELT,AILT,DELS,EILT,EIOT,ELNT,LOPT,NOTT
ACCSTU;ACEO,EELN,EEMN,ELOY,GOYZ
ACCSUU;EJNO,EORV,IMNO,IORV,KKMM
ACCSUY;AORT,BEJN,DELR,EHLO,ELOT,GILN,GOTZ,HHRW,IITT
ACDDEE;ENNP,GOPU
ACDDEG;AINR,ANOS,EOPU,FHOU,HNNY,IINT,ILNR
ACDDEI;EFOR,EHRR,HIIP
ACDDEK;ABHR,ABLS,ALPS,BFIL,BINW,EEMV,EIMV,KLUW
ACDDEN;AGOS,ANNO,EENP,ENPY,FFHU,GHNY,HNOS,HOOO,ORST
ACDDER;MOOT,NOST,OOTT,OPST
ACDDES;ABBR,AGNO,AHNO,GNOO,HNNO,NORT,OORW
ACDDEU;EGOP,FFHN,FGHO
ACDDII;EEPT,EHIP,EJTU
ACDDIN;CITU,GKOP
ACDDIS;
ACDDIT;AEJU,AELU,AOTU,EIJU,EILU,ELPU
ACDDIY;ALLY
ACDDTU;AIOT,CIIN,EIIJ,EIIL,EILP
ACDEEF;ABEL,ALMP
ACDEEN;AEHX,EKPP
ACDEEP;AITT,EKNP,GINO,ILNP,ILPY,ILTX,INTT
ACDEER;ORVW
ACDEES;AIQU,BKKW,HIJU,OTTT
ACDEEZ;BIRT,CHIT,GIIL,HILM,HIMN,IILM,IKPT,ILLO,ILOV,ILRT,IRTU,ISST
ACDEFF;DIRT,FLRU,IIOT,IKRT
ACDEFH;AEMS,EIKL,GILT,IRSW
ACDEFR;AGNR,FFLU
ACDEFS;BIKL,BOTU,HOUV,IILM,IILS,IIST,ILSY
ACDEGH;HIJK
ACDEGL;FHIT
ACDEGR;AEKP,AFNR
ACDEGS;BHOU,EOPU
ACDEGT;AENO,DIIN,EFIN,EIIN,EILO,ELNR,IIMN,ILLO,JNOU,NNOO,ORRU
ACDEHK;
ACDEHO;DNOO,EGNN,FFIN
ACDEHR;
ACDEHS;EEEH,EEIP
ACDEHT;
ACDEHW;AINS,DINS,FIRS,GGIN,INSS
ACDEIN;
ACDEIO;ALTT,ATVV,BKUV,DEFR,DMTT,EGLT,EMTT,ETTX,FFIT,GLLT,HILP,HIRR,HPPT,ILLT,LLRR,LRRW,LTTU,LTUV
ACDEIR;
ACDEIS;CEHK
ACDEIT;ADJU,AOVV,BERZ,BFRU,BRRU,DIJU,EFGN,EKPZ,ERUZ,FFIO,FFKR,JRUU
ACDEIV;AOTV,BKOU,ERTT,RTTU
ACDEJK;AOOR,BOOT,EOOR,FIKN,LLOR,OPTT
ACDEKL;AEKW,ALRW
ACDEKP;ABCK,ABCS,AHRT,BCIK,BLRU,CIRT,EENP,FILT,JOTT,KMOR,MRSU
ACDEKR;
ACDEKS;ABCP
ACDEKT;BFIT,BJOO,JOPT
ACDEKV;BIOU,DEEM,DEIM,EIMR,ELOR,EOPR,EORR
ACDEKW;AEKL,BDIN,CILN,DKLU
ACDEKY;ABSW,HSTW
ACDELL;BHUU,CTUU,DKNO,HNRY
ACDELM;AHTY
ACDELN;
ACDELO;
ACDELP;BILU,BKRU,CETY
ACDELR;
ACDELS;
ACDELT;
ACDELU;BILP
ACDELV;
ACDELW;AEKK,ALNO,CIKN,DITT,DKKU
ACDELY;BEHL,BEIV,BELT,CEPT,DEHT,DELR,DENT,EFFT,EIPP,HNOS,NOOT
ACDEMM;AAIZ,EINT,ENPT,INOT,OTTU
ACDEMO;AISS,BBCK,BGKS,BKSS,CSTU,DITT,HTTU,IISS,MNOS,MTTU,NOPS
ACDEMP;EEKT
ACDEMU;AGHH,AGHR,BBRR,EHTT,EORS,ERRT,GMRS,HORT,HOTT,MOTT
ACDENN;AARV,AFLO,AGIY,DGHY,EEFM,EKLR,ELOV,GIIN
ACDENO;DHOO
ACDENP;EEKP,EGHI
ACDENR;
ACDENS;
ACDENT;
ACDENY;AJLT,DELT,DGHN,EMOT,LOOT
ACDEOP;AEPR,EKRV
ACDEOT;BJKO,FFII
ACDEOX;CIOS,EIRT,EITT,INSW,INTT
ACDEPP;AOOT,EEKN,EINS,NOSW
ACDEPR;BKLU,ORTT
ACDEPS;
ACDERR;AFGN,AFTT,BBMU,ENPU
ACDERS;
ACDERT;
ACDERV;EIKM,EITT,EKOP,EKOR,EORW,OORW
ACDERY;BILT,DIOT,HHOT,IIMT,IIPP,IMMO,ORTT
ACDERZ;ABII,AIIL,AILN,AILS,BEIT,CIIT,EILT,EITU,FIOT,HINS,HIOT,HNOS,INOT,IOST
ACDEST;
ACDESU;FFOT,FGHO,ISTT
ACDESY;ABKW,ACNN,CDIO,CENN,IIPT,IOPT
ACDETT;
ACDETV;CNOO,EENR,EILL,EIRT,ENRY
ACDEUX;BELL,EITT,ELPT
ACDHIR;AGOP,AKTU,BILN,BNNU,DFOU,DGLN,IILT,ORST
ACDHMR;NOYY
ACDHOR;ANNY,MNYY
ACDHOS;ACLO,ASTW,COOW,IILZ,ILMO,ILNY
ACDHRS;GIPY,ITWY
ACDIIM;ALRT,ANNR,ANRY,BELO,EELP,EELZ,EENT,EETV,ELMT,ELPT,ELRV,ELTZ,EOSS,ERRS,IMRU,INST
ACDIIP;ALRR,ALRT,ELMT,ELOS,ELST,EMRU,EPRY,HIOT,LMOT,LRSU
ACDILL;ACIY,ADYY,AFIS,AIRV,BISY,FIUY,HRYY,IJUY,ISUY
ACDILP;AGNR,AIRR,AIRT,EEHM,EEPY,GINS,SSTY
ACDILS;ABHN,AFIL,BILY
ACDILY;AAKS,ACIL,ADLY,ALNO,BEEV,BILS,EEPP,FILU,IJLU,ILSU,LNOO
ACDIMO;AFRR,AGRR,DRSW,EISS,MRUY
ACDIMP;EEIL,EELR,EIRU,ELOR,EORR,GNNO,GNPU,ILOT
ACDINO;AOTV,HOOX,KKRU
ACDINR;
ACDINS;FFHU,PSSU
ACDINW;AERR,CEKL,EGGH
ACDINY;ALLO,BILT,CILO,FGII,LLOO
ACDIOR;DEEF,DFHU,EGIN,ENQU,INNY,KKNU,MMUY
ACDIOS;CDLY
ACDIOT;AEVV,AGNV,ANOV,EETX,EHPP,GNNU,HIIP,JNNU
ACDIOZ;CEIN,EFRT,EHRT,ENRT
ACDIPR;AGLN,AILR,AILT
ACDIPS;CILL
ACDIRS;
ACDIRU;CLOS,DFHO,IIMM,ILOX,ILPS,LOSS,MMOY,MOOS
ACDISS;HLRY,KNQU,NNOY
ACDIST;AABI,AAHK,BIIY,BIUY,HMYY
ACDLNU;
ACDLSS;AFHR,FNOY,HIRY,HOOY,IORU,NTYY
ACDLSU;AAMR,AHNP,AILR,BIOR,CIOR,DLNO,HIMY,HIRY,IMOR,IORS
ACDLTU;INRS,IOPR
ACDLTY;AHLO,BEEL,CEEP,DEEH,DEEN,EEFF,ENOO,GOYZ,LOPY
ACDMPU;EIIR,GINP,GNOR
ACDMTU;AINR,EEHT,EERR,EHOR,EHOT,EMOT,ENOR,GINO,IINO
ACDNOR;ABNT,ACCY,AHNY,BNRY,GIIM,IINY
ACDORW;EERV,EILR,EIMV,ELTU,EORV
ACDOST;AHSW
ACDRSY;AGMN,BIIT,GHIP,HITW,IIMT,INOT,IOOP
ACDSSU;AACR,ABEM,ABMO,AEIL,AMOV,BELS,BENO,DHHN,EILL,EILP,EIOP,EIOQ,EITT,ENOP,IKNQ,INOT,INPS,INST,MOOV
ACDSTU;ACII,CEII,CIIO,EFFO,EIST,FNTY,INSS
ACEEFF;ABEL,ABLT,EMNT,ETTU
ACEEFN;LLTU,LPUU,QRTU
ACEEFR;BNOT,CHLT,IOTV,IOTW,IRTV,LLOV,LLRU,LTTU,NQTU,RRTU
ACEEFS;HITW
ACEEFT;ABFL,CHLR,CINS,EFMN,EFTU,EMNN,FLSS,GIRS,IILT,ILRR,IORV,IORW,IRRV,IRSU,LLNU,LNRS,LNSV,LORS,LRTU,NQRU,ORRS,RRRU
ACEEGN;ABHL,AILL,GILO,HIMP,HINP,ILLO
ACEEGP;DHIN,DINO,HIMN,HINN,IILP,INNT
ACEEHK;BDTW,BRTU,DFIL,FILR,LNRT,MNNY
ACEEHL;ABIV,AIMU,HINW,IMNN,INNP,INNZ,INPX,LNOP,NNOP
ACEEHN;ADEX,ARRT,BORR,CMTU,CORR,DMTT,HILW,KLRT
ACEEHT;
ACEEIP;ADTT,CKOR,DGNO,FNNR,GORS,OORS,QRSU,RRSV
ACEEJT;BILN,BKLU,BNSS,ILRT,KLSS,LMNO
ACEEJY;
ACEEKS;ABNR,BCIP,BDKW,BRTT,CLOT,CORT,ENQU,FILR,IKNR,ILRU,INSS,IQRU,ISST,ITTT,JLST,LLRS,ORRW
ACEELL;ALUV,BCRY,BGIR,BGRY,BIIT,BOPR,BPUX,CHIR,FPUY,IIXZ,KOWY,LMOU
ACEELN;BFII,BINU,FPUU,GGIO,HHIW,HINZ,HNOP
ACEELR;BCLY,BGIL,BGLY
ACEELV;ABHI,ALLU
ACEEMN;HKNY
ACEEMR;
ACEEMS;CGLY,COTY,DLLU,FFLT,GMOU,HLOO,LOOT
ACEEMZ;DIIL,IINT
ACEENR;AAPP,PUVY
ACEENS;EKQU
ACEENT;CEPX,CPXY
ACEENV;CNNO,CNOY,ENOT,GNOR,NOPR,NORT,NPRY,PRUY
ACEEOR;ADPP,BDDW,BIIZ,BLLP,BLPU,BPRR,CIKP,CILV,CKPY,DDFI,DJKO,DKPV,DKRV,DPRY,DRVW,FILV,FLLV,KRRW
ACEEOT;BKLP,DHTU,DITX,EHLM
ACEEPR;AANP,CIKO,CKOY,MNNY,NNOV,NNVY,NUVY
ACEEPS;ALPU
ACEERR;DOVW,FKOW,KORW
ACEERS;
ACEERT;
ACEESS;CIQU,GIIL
ACEESZ;BIRT,CHIT,DRWY,GIIL,IILP,IILT,IIPT,IKPT,ILRT,ILRU,IRTU
ACEFFT;ABEL,CIIY,DDIR,DIKR,EEMN,EETU,IKRR
ACEFHR;CELT,CLTY,EIKL
ACEFHS;ACKL,ADEM,CLOT,HINW,ILOS
ACEFHU;
ACEFIL;DKPT,GKNT,NTUU
ACEFIN;AITZ,HOTT,LLOT
ACEFIR;EOTV,EOTW,OOTV
ACEFIS;GITU
ACEFLS;ABCK,ACHK,AFGO,AGNR,ANPT,APRT,CCKO,CHOT,EFMT,EHPR,ENRT,ENTV
ACEFLU;BNOT,DIMT,INTU,LNTY
ACEFLY;AIST,CHRT,DISS,ELPU,HOPR,LNTU,MOOR
ACEFPU;DIIN,ERST,KLRS
ACEFRR;
ACEFRS;
ACEFRU;
ACEFSS;BHLU,BOTU,DHLR,DIIL,DILY,DIRY,EHTT,FOTU,HIRS,HIRY,HOUV,IILM,IILS,ILRY,KLOR,NNOT,NRTT,OOPR
ACEFST;ADEL,AELP,ALNP,CHLO,DEKR,EEIR,EGIR,ELNV,IIIL,IILP,NNOS
ACEFSU;AMNX
ACEFSY;AILT,BCER,DILS,DIRS,HIRS
ACEFTU;AALQ,DILM,EEFT,ELLN,ILNU,LLNY
ACEGHN;CGIO,GINX,IKNY
ACEGHR;AALP,ABCK,ABEL,ABLY,GIOP,HIJK,IIPP,LOOY
ACEGHS;ILPY,IOOP
ACEGHU;
ACEGIN;
ACEGIR;GHOP,HHJK,HIPP
ACEGIU;ALTV,ANTV,FFNS,HINT,HLOO,HMNN,HNNT,LNQY,NNTX
ACEGLN;ABEH,ABMN
ACEGLP;AAHR,HORT,OORT
ACEGLS;CEMY,OORR
ACEGLY;ABHR,AMOR,BELR,FLRU,HIPS,HOOR,INQU,INTX,OOPS,OOTU
ACEGNU;AELY,AITV,BJLO,ENPR,FLRU,ILQY,INRT,INTX,IQRT,IRTT,NPRY
ACEGNY;AMRT,DDHN,DOSU,ENSW,OORT
ACEGOS;ADIT,AFFL,DEPU,DGIP,EMMU,HIOP,HPTY,LOPY,MMNO
ACEGOW;
ACEGRS;ABLM,AKWY,NSUY
ACEHHL;AIRR,CEKO,EINW,EIRW
ACEHHT;INNP,INOP
ACEHIK;BGLN,BGNO,GNNY
ACEHIL;ABEV,DIOP,EHNW,ENNZ,FOSS,GOOS,GOOU
ACEHIM;
ACEHIN;EHLW
ACEHIP;GOOS
ACEHIR;
ACEHIS;DDIO,GLOO,GLOP,GLPY,GOOP
ACEHKL;
ACEHKR;ABCG,AJMM,AMMT,AOZZ,BETU,BTTU,CCFO
ACEHKS;BCCK,STWY
ACEHLP;
ACEHLS;AMUU
ACEHLT;
ACEHLV;ABEI,ABOU,BEOR,EEIS,IIRS,NORU
ACEHLY;CDNO,CILO,COOT,COSU,DDET
ACEHMN;LLOY
ACEHMR;AJKM,ALMW,CLOO,KLMO
ACEHMS;AGHU,AHKL,ALUU,BBCO,ELOO,ELOP,ELPV
ACEHNP;DDIK
ACEHNR;
ACEHNS;ADDO,DDNO
ACEHNU;AINO,BELQ,BELW,DDFF,DEIV
ACEHOP;HITT,IMXY
ACEHOR;AKZZ,MOUX
ACEHPR;AAGL
ACEHPS;
ACEHPT;
ACEHPY;CNNT,IMOX,NOTY
ACEHQU;ABRS,BELN
ACEHRR;AKLW
ACEHRS;
ACEHRT;
ACEHRV;BELO,GOPT
ACEHRW;ALMM,EHIL,ELNP
ACEHRX;AIOP,BOTT,EEIM,EIMT,MOOU
ACEHSS;ABEE,BCEE,BEHK
ACEHST;
ACEHSW;ABKL,ADIN,ANPW,DDIN,FHIN
ACEHTX;AILN,BORT,IMOO
ACEIKR;FGLU,GKLO
ACEILL;ARTU,INRY,NNNO
ACEILM;CCOP
ACEILN;BEET,BEFI,BEJT,EHHW,EOTV,ITVY
ACEILP;ABFI,BCMY,DHIO
ACEILR;AACI
ACEILT;ENNN,FNUU
ACEILU;AGTV,EGST,GHOO,IJST,LLTY,LOQT,OQTY
ACEILV;ABEH,AGTU,BLTU,ENNU,FFIT,MTUU,NNUY
ACEILX;AHNT,EEGT,EHNP,EORT,NRUU,OPRT
ACEIMM;AADZ,ACKO,AHNN,AHPR,ALTU,APRU,BELT,DEGR,DORT,DORY,GIOR,GMNO,PRTY
ACEIMN;CDNY,DEGI,DEGV,DGIV
ACEIMS;AGKP,ORVW
ACEIMT;IOTV
ACEIMU;DDLO,DENO
ACEINN;CNOV,DGIN
ACEINO;AHNU,BHRR,LLLN,LLNX,NRRR
ACEINP;DFIU
ACEINR;
ACEINS;
ACEINT;
ACEINU;ACDM,ADQY,AHNO,BBGR,DOQR,INQR,NNOZ
ACEINV;ELNU,LNUY
ACEINX;ALLY,DOSW,EHLP,GGHN,GNNO,LLNO,LRUU
ACEIOZ;BEIR,EGRT,HMNR,HMRY,HNST
ACEIPR;
ACEIPS;AGKM,BHOO,GHOO
ACEIQU;GLNY
ACEIRR;BCOX,BKKM
ACEIRS;
ACEIRU;ABET,BHTY,KOTY
ACEIRV;EEPP,FOOT,FRRT,GGIN
ACEISS;CEQU
ACEISV;
ACEITT;
ACEITV;ADJL,AEUV,AGLU,BLLU,CHRZ,EOQU,LMUU
ACEIVV;AETU
ACEJKR;AHMM,ANTT,BBOW,BLMU,DLLO
ACEJKT;ANRT,BDOO,BELU
ACEJLO;BGNU,BITV,EMNT
ACEJNT;AKRT,BEIL,BESS,GIRT
ACEJNU;BGLO
ACEKLM;AGIN,BJRU,HMOR
ACEKLN;AGIM,CGIN,CHOT,FGIT,HNTZ
ACEKLR;
ACEKLS;
ACEKLT;AABT,BCOO,BEJU
ACEKLY;ARRT,BBRR,BLOW,ELOW
ACEKMO;INPT
ACEKNO;BGHI,BGIL,BLLU,CGIP,CHLT,DDLL,IMPT,MRRW
ACEKNR;AJTT
ACEKNT;AJRT,CHLO,CRRU,EHLR,HLNZ
ACEKNU;BHLR,BILP,BLLO,CRRT
ACEKNW;BDDI,CDIL,IPTT,MORR
ACEKPR;ABCK,ABRT,ADHT,CEOY,DKMO
ACEKPT;ABRR,ADHR,BIOT,CDIR,IMNO,INTW
ACEKRR;AEGP,AELW,AHLW,BBLY,BERY,BIKM,BILY,GIIL
ACEKRS;
ACEKRT;AHMM
ACEKRU;BEHT,BHTT,CNRT,IOTY
ACEKRW;AMOR,BBJO,BKOR,EFOR,EORR,MNOR
ACEKRY;BBLR,BCRR,BERR,CEOP
ACEKST;AHMM,CEHM
ACEKSW;ABHL,ABHS
ACEKTT;AABL,DJOP
ACEKTY;BIKS,DHSW,HSSW
ACELLO;ACIN,BINU,DDKN,EHNP,EKWY,FHNP,ILNN,INNN,INNX
ACELLR;ADKW,AITU,EENP,EGHN,EHNN,PUUV
ACELLT;BDEY,BRUU,DELU,DIUV,FNUY,IRUV,MUUY
ACELMN;EENT
ACELMP;BCIY,CCIO
ACELMR;
ACELMS;CEGY,EHOO
ACELMT;AEER,EENN
ACELMU;BIRY,BJKR
ACELMZ;AEIR,ANOP,DEII
ACELNN;ABGM,AERT,EEMT
ACELNR;
ACELNS;
ACELNT;FIUU,HKNZ
ACELNU;BEHQ,BEHW,BGJO
ACELOR;FGUU
ACELOS;AFFG,CCFK
ACELOT;
ACELOV;
ACELPR;BRUW,DNUU,LUUV
ACELPS;
ACELPT;
ACELPU;ADTT
ACELQU;AAFT,BEHN
ACELRR;BBKY
ACELRS;
ACELRT;AMUU
ACELRU;AMTU,LPUV
ACELRV;LPUU
ACELRW;AHMM,EHHI,EHNP,IMNU
ACELSS;
ACELST;
ACELSU;
ACELSV;AACD,ALLU
ACELSX;BCKO,BGNO
ACELTT;
ACELTU;AAFQ,AGIV,BEEX,BEJK,FINU
ACELTY;BDEL,DDEH,EILM,GIIM
ACELYY;HOPX,HPRT
ACEMNO;HHNW,HTUV,NNTT,OTYZ
ACEMNP;CLOT,ORRY
ACEMNR;AADL,AFSU,ALVY
ACEMNU;AILL,HOTV
ACEMOP;ALNZ,CCIL,HILO,HIXY
ACEMOR;EHHM
ACEMOS;BBCH,EHLO
ACEMOT;DDIT,DHTU,EGTY,HNUV,IITV,IRTT,NNNT,NOYZ
ACEMPR;
ACEMRS;
ACEMRT;AFLO,ALUU
ACEMRY;AGNT,AHNT,BDHO,DIIT,DIMO,DMNO,EHTT,GIKT,HNRT,HTTY
ACEMSU;AGHH,FFPR
ACEMTU;CEHN,CENR,COPR,DHOR,DHOT,HNOV,HORR
ACEMUX;AHLU
ACENNO;AHIU,CENV,CINV,CIOR,EPRV,HHMW,IRRR
ACENNR;AADV,AARV,AGTT,DGLU,FOOT,LNOT,OORT,OOTV,RTUU
ACENNS;EEGV
ACENNU;AHIO,CHIM,CHIR,EGPR,EPRT,GHIM,GPRY,IIMR,IIQR,IMRY,RRTU
ACENOR;APPV,INRR
ACENOS;AEUV
ACENOT;
ACENPR;AAEP,AOPV,ENOV,OOVY
ACENPS;
ACENPT;EMMN
ACENPU;
ACENPW;EHLR,IKTT
ACENRS;
ACENRT;
ACENRV;ALRU,AOPP,EGNO,ENOP,ENOT,ENPY,EPUY,GGII,ILUZ,NOOT,OOPY
ACENRY;AHMP,BEUX,EPUV,OOPV
ACENRZ;EGII,EHIM,EILT,EILU,GGII,GIIM,HIMO,ILUV
ACENSS;
ACENST;
ACENSU;
ACENTU;FLLY
ACENUV;AILR,ALRR,EILN,EPRY,HMOT,ILNY,LNOT
ACEOPS;BENR,CIPY,EGIR,GRRU,NNOR
ACEOPT;GHHR,GHRV
ACEOPW;
ACEORR;CHIY,INNR
ACEORS;
ACEORT;CCHW,GHHP
ACEORW;AKMR,BBJK,BKKR,DILR,DLTU,EFIT,EFKR,EKRR,HTTW,LORT
ACEORX;BCIR
ACEOST;ABBO,ACGH,BHWX
ACEOSX;BCKL,BGLN,BHMT,BHTW,BIMN,CDIO,DINW,EHMT,HIMT
ACEOTT;AMMY,EHPY,HHIP,IMRT,IMRU,IRXY
ACEOTU;CDHO,EHIV,HMNV
ACEOTV;
ACEPPR;AAEN
ACEPRR;ABKT,ADLY,ALLY,BLUW
ACEPRS;
ACEPRT;
ACEPRU;BLRW,DIIM,LLUV
ACEPSS;
ACEPST;
ACEPSU;EHQY
ACEPSY;BCER,CIOP,DIIT,DIOT,EHPR,EHQU,HIRU,HORU,KORT
ACEPTU;ADLT,CDEN,DINN
ACEQSU;ABHR,BHOR,CHHO,EEKN
ACERRS;
ACERRT;
ACERRU;BBDM,CNOP,DENP,EGNO
ACERRV;AILL,EEIT,EFIT,EITT,FIRT
ACERRY;ADLP,ALLP,BBKL,BELL,BIKL,DEOP
ACERSS;
ACERST;
ACERSU;
ACERSV;COUU
ACERSY;BCEF,BCEP,ILLV
ACERSZ;DEWY,DFLO
ACERTU;BEHK
ACESST;CDOO
ACESSU;
ACESTT;
ACESTU;BHKW
ACESTX;CIIR,ELPU
ACESTY;BEMO,BIKK,CEMO,DHKW,DIIP,DIOP
ACESUV;ALLL,BLLR,CORU,DIRY
ACESUY;ALMO,BCJN,BLNR,CDLR,CHLO,DGNO,DILO,DIRV,DLNR,EGMN,EHPQ,ENRV,HIPR,HOPR,JNOU,JNOV,LMOR,LOPR
ACFFHS;
ACFFHU;
ACFFHY;GILN
ACFFIN;AGIN,AIPR,GIKM,GILT,HMOR
ACFFLS;AEGO,EEMT,EENU
ACFFSS;AJKT,AKPT
ACFFSY;
ACFGIN;AFIN,BBNO,BDLO,CILY,DIIY,DILU,FILT,IKTY,ILOY,ILOZ
ACFHLN;AELP,ELOP
ACFHRT;AKNS,BENO,CEEL,CITW,EORV,IMST,IOPS
ACFHST;ADNR,AKLR,AKNR,CELO,LMOU,LORW
ACFHSU;LMOT
ACFIIN;AADO,ADOO,AETZ,AFGN,AFPR,BGKR,CNOT,DEIT,DEPU,DGIY,EGTY,FGNY,FGRY,GKTY,GNRT,GNRY,GNRZ,IMPR,NORT
ACFILS;GHNN,HPRT,IOPR,LOPT,NRUU
ACFIMS;AHNR,ALTU,EEIN,GINO,HRTT,IILT,INRY
ACFINN;AFGI,BBGO,CIOT,DMOR,GIRT,GIRZ,GLOT,IORT,LOOT,LOTU
ACFINR;AFIP,AILV,CMOR,FHMO,IIMP
ACFINS;AHLL
ACFIOS;ADPR,BCCE,CENN,DENR,EFIT,GIMN,HNRR,HPRT,INNR,LLPT,NORU
ACFIPY;
ACFIRT;ALMU,CHTW,EEGS,EEOV,EEOW,EESU,EOOV,EPSS,HMOY,HMST,HOPS,OPSS
ACFISS;BHKY,DERY
ACFIST;BERU,EEER,EEGR,EERU,EGIU,EKRU,JKRU,LLOP
ACFKLS;ABCE,ACEH,AHRT,CCEO
ACFKRS;ABDT,AEMP,AHLT,AHNT,ALPT,DEEI,DEET,EFIM,EIIT,EITU,IJTU,NOWY,ORTW
ACFLNO;ABRU,ADEN,ANTU,CLTU,EHLP,NTUY,ORTW
ACFLNU;ABOR,ANOT,BEOT,CLOT,DGII,EELT,EEPU,EITU,ELTY,INOT,NOTY,RRUU
ACFLOT;ABER,ACER,AEMR,ANNU,BEIL,CELU,CLNU,FIIY,NNOR,NNUY,NORW
ACFLPU;
ACFLRU;ILLO,ILOY
ACFMTU;AILR,DEIL,EIOR,ILLO
