AAAARR;CC,CJ,JK,PP
ADNORY;BE,BU,CE,CL,EE,HN,IN,IP,IR,SX
ADNOSU;AV,CR,CU,IR,JR,PR,QR
ADNOSZ;AL,EI,MO
ADNOTT;IO
ADNRST;HY,LO,MO,OO,OW,OY
ADNRSU;AP,AQ,CO,JO,OP,OQ
ADNRTU;AG,AQ
ADNRUW;DE,EJ,EM,EY,OT
ADNSST;CE,CI,EE,EF,EH,EI,EM,EO,HI,II,IP,LO,OU,PU
ADNSSY;BO,EL,EO,EP,HI,IM,IP,LO
ADNSTU;BU,CJ
ADNSTY;AR,CI,HR,IM,IO,LO,OR
ADOORS;BC,BW,CT,FF,LM,MT,MY,TW,WY
ADOOUV;
ADOPRY;AX,CE,EJ,EM,HS,IM,IN,IT,LW
ADOPSS;CT,DY,HI,HT,II,IL,IO,IR,OW,RW,SU
ADOPST;AR,AT,FO,GR,IP,IR,IY
ADORRS;AP,CH,CI,HO,IN,IP,LW,NW,PW
ADORRU;BB,BE,EM,EP
ADORSS;CI,CT,CU,IN,IP,IT,IU,IV,MT,PW
ADORST;AL,AN,AP,GP,GU,HP,HU,JU,LN,NO,NU,NY,RU,UY
ADORSU;BN,GP,GT,JN,JT,NP,NQ,NT,OP,TW,TY
ADORSW;BO,FR,HK,HO,LR,PR,PS
ADORTW;BL,EG,EL,EN,ER,LY,NW
ADORWY;CL,CR,LP,LT
ADOSTT;CU,IM,IR
ADOSTY;AB,CI,DH,HI,IL,IM,IN,IP,LN,NR,RU
ADPPRY;EL
ADPRSU;AC,AN,BE,BI,DE,EE,EI,EN,EO,LO,NO,NS,OO
ADPRTU;CM,II,IR,RY
ADPRUW;LY
ADPSSY;BE,DO,EN,IL,IN
ADQSSU;EH
ADRRSU;CE,EG,EJ,EL,EM,GN
ADRSST;AB,AD,AE,AY,BE,BU,CI,CO,CU,EE,EI,EO,EW,GU,II,IO,IP,IY,MO,MU,TU
ADRSSW;KY,OP
ADRSUW;BF,OT
ADRSUY;BL,BM,CT,MT,OT
ADRSWY;AE,AG,AH,AN,LL
ADRTWY;CI,IL,LO
ADSSTU;BR,CR,GR,MR,NO,NP,RT
AEEEHL;KL,RT
AEEFFN;BO,CI,RT
AEEFFR;DE,DI,LL,LT,NT
AEEFGU;
AEEFIR;GR,GT,IN,KR,KW,RR,RW,TT
AEEFKR;CO,IR,IW,MY,OP,RY
AEEFLM;CI,IT,LR,LT,PR
AEEFNS;GL,GR,GT,LM,MR,RT,SS
AEEFOV;LO,LR,RR
AEEFRR;BO,CE,CP,DI,DL,DO,DY,EW,GI,IK,IR,IW,KY,LR,OV
AEEFRS;BE,DL,DM,DP,EL,EM,LS,LW,MN,MO,WY
AEEFRT;CF,CP,EY,FN,GI,IT,NT
AEEFSS;CI,CL,DL,DN,GR,IR,IT,LL,LM,LR,NS,RT
AEEFSZ;
AEEGGL;AB,OU
AEEGGM;
AEEGGN;OZ
AEEGGR;BD,DD,DJ,DR,DT,IV
AEEGGT;DR
AEEGGW;DW,HI
AEEGHZ;
AEEGJR;DG
AEEGJY;
AEEGLL;AN
AEEGLP;CU,MX
AEEGLR;AC,CC,ET,EV,FI,IT
AEEGLS;AF,AK,CI,DZ,EK,FN,IM,IN,IW,MN,MO,NO
AEEGLT;HO
AEEGLU;CP,GO,IK,IO
AEEGLV;AC,BI,ER
AEEGMM;DO,NR,NS,OS
AEEGMN;
AEEGMR;AD,BT,ET
AEEGMT;BR,BY,ER,IR,OO
AEEGNN;CT,DV,IT,LT,NO
AEEGNR;HP,WY
AEEGNS;FL,HW,LO,LU,OP,PP
AEEGNT;AB,IN,IX
AEEGNV;
AEEGOP;DM,HM,RV
AEEGOT;HL,LN,MO
AEEGPS;BW,IP,NN,NP
AEEGRR;AV,CH,CO,FI,IN,NV,OV
AEEGRS;AC,CE,CI,EW,HI,HO,IU,UZ
AEEGRT;AW,BH,BM,DG,DH,DI,DO,DP,DT,FI,HI,II,IL,IM,IT,IV,LM
AEEGRV;BE,BI,EL,GI,IT
AEEGST;DK,FW,II,IY
AEEGSW;BP,BR,DR,DY,ER,FT,HN,IL,LR,RR,RT
AEEHHW;DE
AEEHIR;AM,BC,BL,BS,BZ,CL,CT,FS,HT,KL,KS,LS,LT,RS,RT,SS,ST,TW
AEEHKM;
AEEHLR;AM,GW,IK,KL
AEEHLT;AB,DY,GO
AEEHLW;DL,GR,MN
AEEHLX;NT
AEEHMR;AB,AI,AL,AN,DM,DP,EP,GP,MR,OW,PR
AEEHMT;AD,IP,IT,LP,UX
AEEHMU;NT,TX
AEEHNP;BP,DP,GR,IL,OR
AEEHNT;CI,IN,NX
AEEHNV;CR,LY
AEEHNX;CG,IM,LT,MT,NT
AEEHPR;EM,GM,GN,KR,MR,NO,OV,UV
AEEHPS;IT,LT,UV
AEEHRR;BB,BT,ET,GT,IT,KN,KP,LT,MM,MP,OV,PT,TU,TW
AEEHRS;BG,BI,BO,FI,GI,GO,IK,KU
AEEHRT;ER,GI,GR,IR,RU,XZ
AEEHRV;CN,OP,OR,PU
AEEHRW;AY,GL,MO,NY
AEEHST;BY,ET,OU,TW
AEEHSV;PU
AEEHTV;AW,CI,CL,CT
AEEIKV;CL,LW
AEEILM;BK,BN,CF,CL,CN,CT,CU,FN,FT,KU,KZ,MN,MT,NT,NZ,TZ
AEEILS;CC,CF,CG,CH,CP,FT,GL,GT,GW,KL,KT,KV,LT,PT,PW,QU,ST,TT,TV,VW
AEEIMN;BC,BL,CH,CL,FL,GL,LM,LZ,UV
AEEIMS;DF
AEEINT;CG,CH,CP,CX,DD,DE,DP,DW,GN,GX,HN
AEEIPR;BD,CE,CP,DD,DL
AEEIRR;FG,FK,GN
AEEIRS;BH,BK,CG,CN,CU,GH,GN,GS,GU,HK,HN,HS,HV,KN,NN,NS,NU,QU,VV
AEEISS;BL,BV,CF,FR,HR,KN,LN,LR,NR,NS,NV,PP,RR,VW
AEEJNT;ET
AEEJRV;
AEEJVY;
AEEKKP;ES,IL,SY
AEEKLN;BI,CC
AEEKLP;BE
AEEKLR;CD,CM,CT,CW,HL,MT,MY
AEEKLV;CI,IW
AEEKMR;BD,BN,CI,CL,DD,DI,FY,IM,LY,OV
AEEKMS;ES,EZ,IL,LS
AEEKMZ;ES,IL
AEEKNS;BV,CH,CJ,CP,KO,NN,NP,PT,PU
AEEKNW;
AEEKNY;
AEEKPR;CD,DH,DR,FO,HR
AEEKRS;HI,IR
AEEKRT;AC,BI,CD,CJ,CL,IL,OV
AEEKRU;PT
AEEKRW;CG,CL,FI,IL
AEELLL;AM,BD,BF,BH,BR,BT,DP,PT,TT
AEELLM;AL,AR,AT,BD,BT,CI,CT,DD,DT,DU,FR,FT
AEELLR;AM,CD,CR,CT,CV,DS,DT,DU,DV,FF,FM,FN,FW,HK,RT,RV
AEELLS;AB,BR,BY,FF,FH,IK,IR,OV,PR,WY
AEELMN;BI,BO,CI,CO,HW,IM,IZ
AEELMP;HT,TT
AEELMR;AH,AL,BM,BZ,FL,KY,RV
AEELMS;GO
AEELMU;CI,IK,KM
AEELMZ;IK,IN,IT
AEELNO;BM,BP,BV,CC,CM,DD,DG,DH,DM,DR,GT,HT,LV,PR,PT,RT,RU
AEELNP;AT,AU,CT,HT,OT
AEELNR;AN,EV,FL,FU,OU,UU,UV
AEELNS;FG,GU,QU
AEELNT;AP,OP,UV
AEELNV;AL,BD,BI,BO,DE,DR,DT,ER,FL,HY,IT,LO,RT,RU,TU,TY
AEELNW;DL,HM
AEELOR;CD,CT,DD,DF,DM,DN,DR,DV,FV,IT,NT,TT,TV,TW,VZ
AEELOT;AR,BK,BL,BT,BV,CL,CR,GH,GN,HN,IR,IT,LT,MT,NP,NR,PT,RT,RV,RW,TT
AEELPR;AP
AEELPS;CH,CI,CO,CT,CY,HT,IT,IW,OX,TT,TV,TZ
AEELPT;LL,LY,MN,NO,SS,SV,SZ
AEELPU;AN,CF,CG,DN,DP
AEELQU;IX,IZ
AEELRR;DF,DO,DR,DY,ES,FR,OS
AEELRS;AB,BL,FW
AEELRT;EG,GU,OT,OV,OW
AEELRV;AT,BO,EG,EN,FO,NT,OP,OT,OZ
AEELSS;AK,BI,BK,BS,BU,CD,CF,CO,CU,DF,DI,ES
AEELST;FI,IK,IP,IT,PT,TT
AEELSV;IM,IW,LO
AEELSW;ER,FR,GI,GR,IP,IV,TV
AEELSY;BL,CP,DI,MN
AEELSZ;BI,GL,GR,IR,QU
AEELTU;AC,AR,AV,BB,BN,BR,CN,CR,DN,IV,NV,RR
AEELTV;AR,AU,BO,CH,CR,LV,MN,NR,NU,NY,OR,RR
AEELTW;AK,BS,BT,NR,OR
AEELTY;BP,CF,CP,DH,DL,DP,HR,LP,PR
AEELTZ;IM,IR
AEELWY;AV,DR,KK
AEEMMM;
AEEMMS;AD,DS,GN,GO,GT,LL,NR,RT,ST
AEEMNP;AJ,DD,DY
AEEMNR;AH,BK,BM,BO,OV,OZ,UV,VY
AEEMNS;NO,OW
AEEMNT;FK
AEEMNX;HT
AEEMPR;AB,CO,EH,HR,PR,RV
AEEMPT;CK,HI,HL,LT
AEEMPW;
AEEMRR;HM,HP,LV,MY,PP,PT,PV,QU,TT
AEEMRS;EF,FO
AEEMRT;EE,EG,RT
AEEMSS;DH,DM,DW,EK,HP
AEEMST;AC
AEEMSW;IT,LN,NR,NT,RT
AEEMTT;AM,BL,BN,DR,GN,LN,LO,LP,PR,QU,RR
AEEMTX;HN,HU
AEENNP;
AEENNT;AN,BR,EV,GI,GL,GR,HI,HX,IV,LR,MR,RV
AEENNX;HT
AEENPR;AT,CC,CR,CT,DD,DP,DR,DT,DU,DX,GH,KT,PT,UV
AEENPS;CI,CK,CN,GN,GO,GP,IO,KN
AEENPT;AD,AL,AR,CI,CL,CO,CR,DI,DL,DR,DT,ET,IL,IR,IT,KR,LO,PR,PT,QU,TY
AEENPU;AL,DL,DR,QT,RV
AEENPW;DK,DO
AEENRR;BR,CE,CP,DD,DE,DG,DH,DK,DP,DW,GI,HK,IM,RW
AEENRS;BV,IU,UV
AEENRT;AP,BD,BE,BN,DD,DP,DU,FF,NU,OO,PP
AEENRW;AC,DD,DR,GY,HT,HY,MT,OV,RR,VW
AEENST;AU,AX,BE,BW
AEENSU;AT,CI,CL,DL,DM,DR,DT,GI,GL,GR,GT,HR,HT,IR,LQ,MR,MT,RT
AEENSV;BK,BR,IT,IW,MR,RR,RT,TT
AEENTW;BS,DI,DM,EG,LR,MR,MS
AEENUV;DD,IM,LT
AEENWZ;DE
AEEOOZ;GL
AEEOUU;
AEEOVV;GR
AEEPPR;AL,CI,CL,PU
AEEPRR;BU,BY,DK,DM,DN,DO,DU,HK,HM
AEEPRS;
AEEPRT;BC,CC,CF,CN,CT,CX
AEEPRV;AC,GO,HO,HU,IT,LO,LU,NU
AEEPSS;AK,AP,BK,EG,GO,IP,NU,NX
AEEPST;DL,DO,HI,HL,IK,IL,IP,IX,LU,LV,LZ,OZ
AEEPSW;BC,BG,DR,DY,FI,IL
AEEPSX;IT,LM,LO
AEEPSY;CL,CT,DW,KK,MM,MR
AEEPSZ;LT,OT
AEEPTT;BY,EN,HI,IN,IP,KR,MR,NP,NY,OR,RR
AEEPVY;
AEEQRU;BB,CI,IZ,RV
AEEQTU;BH,CO,IV,MT,NP
AEERRR;BN,BT,CE,CT,FL,GT,KM,NW,PP,PT
AEERRS;EL,LX
AEERRT;EH,HU
AEERRV;AG,BE,BO,CU,FO,GO,HO,KO,OY,QU
AEERRW;AC,AW,BY,EF,NR
AEERSS;AW,FI,SS
AEERST;
AEERSU;BG,DG,DN,DP,GG,GI,GN,GP,GZ,HN,IN
AEERSV;CZ,IT,IV,MN,NT
AEERSZ;CV,GL,GU,IL,ST
AEERTY;BD,BR,BT,CH,DS,DT,EF,EW,FH,HH,HL,IS,LS,NT
AEERVW;HT,IL,NW,YY
AEESSS;BB,BL,BN,DG,DI,DS,EL,FN,GI,GN,HH,IN,LT,NN,NR,NT,RS,RU,RV,SS
AEESST;
AEESSW;AR,DE,DM,HR,IV,RR,RT
AEESSY;
AEESSZ;IM,PR,RT
AEESTT;BI,BL,BU,EH,HI,HL,HW,IL,IV,LL,LY
AEESTX;AN,BO,BY,CH,CN,CT,DU,GO,IP,IU
AEESTZ;GT,HI,OP,PR,RS
AEESVW;IL,IN,IS,LS,LT,NU
AEEWXY;
AEFFGR;
AEFFGS;AT,OT
AEFFHT;
AEFFIN;GR,LY
AEFFIP;
AEFFIS;AR,GR
AEFFIW;LR,MR
AEFFLR;AL,AP,AT,EL,ET
AEFFLW;
AEFFLY;IN
AEFFNR;ET,OT
AEFFRT;AL,CE,DI,DO,EL,EN,NO,TU
AEFFRY;AD,AR,CH
AEFFRZ;
AEFGLN;LO,OX
AEFGLR;BL,OO,OP,OW
AEFGMU;IT,LN
AEFGNS;ER,ET,FR,RR,RT
AEFGOR;LO,LP,LW
AEFGRU;AT
AEFGRY;IN
AEFHLL;FI,IN,IR,IT
AEFHLN;CD,CS,IL,IS,OT,SS
AEFHRS;EI,IK,IW,MN,NW
AEFHRT;MO
AEFHSS;GO,IM,RT
AEFHSY;
AEFIJO;AD
AEFIKR;BC,ER,ES,EW,GN,HS,MR,UW
AEFIKS;CH,ER,HR,HW
AEFILL;BE,BL,BO,BR,BT,EK,FH,HN,HR,HT,IN,KL,KP,KX,NT,OT,RW
AEFILN;CD,DE,DI,DR,ER,FY,HL,IL,IZ,OR
AEFILR;AD,AI,DI,DN,DO,HL,HO,HS,NN,NO,NT,OO,OS,OT,PP,ST,TT
AEFILS;ER,GO,HM,HR,IM,JO,MY,OR,PW,RU,RV,RZ,WY
AEFILT;AC,AY,BE,BG,BL,CF,DD,EM,ER,HL,HM,MY,RU,UU
AEFIMN;CY,IZ,KN
AEFINN;AU,BR,KM
AEFINR;BN,EI,EL,IV,LN,LO,LU
AEFINS;BU,IS,IZ
AEFIRR;BT,CT,DE,DF,DT,EG,EK,ES,EW,GO,GU,PT,ST
AEFIRS;AF,AR,BL,FG,FP,FX,GU,HK,HL,HW,LO,LU,LV,LZ,QU,RR
AEFIRT;CI,CR,CY,DF,DI,DR,EL,IP,IR,LO,LU,MO,OV,PR,UX
AEFIRY;CL,CP,CT,DE,GN,KL,RR
AEFIST;AC,BB,BE,CC,CH,GG,GU,MO
AEFITX;IV,RU
AEFJNT;
AEFKLN;
AEFKLR;FU,MY,UW
AEFKLS;
AEFKLY;CR,IR,MR
AEFKNS;OR,RR,RT
AEFKRS;CR,HI,NR,NT
AEFKRY;CL,EM,ER,IL,LM
AEFKST;AM,DS,FO,NR
AEFKSY;
AEFLLN;BE,ER,EV,GO,HI,II,IT,RY
AEFLLR;AD,AF,BG,BI,BU,DO,DY,EF,EM,EN,EW,HI,IW,LO,NY,OT,OU,OV,OW,PT,UW,UX
AEFLLS;AF,AV,CS,DN,DW,EF,ES,ET,GS,GU,NN,OT,PS,SW,TT
AEFLLV;EN,OR
AEFLMN;CO,OT
AEFLMR;AB,DU,EL,EP,KY,PR
AEFLMS;FW,HI,HU,II,IL,IT,IY,OS,OY,UW
AEFLNN;OT,OY,TY
AEFLNS;BY,CH,DE,DL,HS,OV,OW,ST,TT
AEFLNU;DT,DW,FT,GM,LN
AEFLNX;GO
AEFLOR;CN,EV,GO,GP,GW,IN,IO,IV,LL,LU,LV,LW,NP,OV,RV
AEFLOT;AM,BU,CN,HN,MN,MU,NN,NP,PP
AEFLOV;DR,ER,IR,LR,RR
AEFLRS;CI,EE,EI,EW,IV,IZ,ZZ
AEFLRT;AF,AW,DW,IN,LP
AEFLRU;BL,KW,LO,LW,LX,MO
AEFLRY;AD,CI,CK,CN,DL,HT,IK,KM,LN,TT
AEFLSS;CE,CL,DE,EL,EM,FN,GL,GN,KO,LP,LW,MO,OU,OW,UV
AEFLST;DE,EL,LT,LY,NT,TT
AEFLSV;IN,IR,IT,NO,OO
AEFLSX;DE,FU,IT
AEFLSY;BI,BN,DI,IM,IW,MO,NU
AEFLTU;AB,BO,GX,IU,MO
AEFLTY;AI,CE,HR,IM,LS,NN,RT
AEFLUW;DN,IR,LR,ST
AEFMNN;IK
AEFMNO;CL,CO,LT
AEFMOR;DE,VW
AEFMRR;LP
AEFMRS;AT,AU,CH,DE,EE,EN,FU,HN,NT,NU
AEFNNR;BI,IL
AEFNNT;GO,LO,LY
AEFNOR;CL,CV,DG,DH,DL,FT,GT,IL,IS,KS,LS,LT,ST,SU
AEFNRR;LU,MY,UY
AEFNRU;BD,DE,DI,IR,RY
AEFNRW;OR
AEFNST;CR,DE,EG,ER,GR,KR,MR,OR,RR,RU,UY
AEFNSU;BI,CI,NT,ST,TY
AEFNSY;BL,CE,LU,OP,TU
AEFNTT;DE,ER,IO
AEFOSS;AM,BD,CI,DO,GH,GU,KL,KR,LM,LR,LU,LW,MU,RY
AEFOSV;FW,LN,LO,RR,RT,TU
AEFPPR;
AEFPRS;CE,DE,FI,IN,KO,NO,NU,OT,OW,ST
AEFPRY;CI
AEFRRS;AI,AW,BO,FL,GO,II,IR,KO,OV,OW,OY
AEFRRT;BI,II,IP,MO,OP
AEFRRU;GI,IN,LN,NY,OV
AEFRRY;AF,AW,BD,DE,EK,IR,NU
AEFRSS;AC,CR,CU,EG,KO,OY
AEFRST;AC,AM,BG,CN,CO,GN,GO,KN,MN,MO,NO,OP,OV,OY
AEFRSU;AM,AQ,BM,FM,FQ,II,IQ
AEFRSW;AL,AR,AY,EL,EY,FL,HI,YZ
AEFRSY;AW,EW,WZ
AEFRTT;AC,AX,EN,GO,HS
AEFRTW;AL,DL,GI,LO,OO
AEFRTY;CI,CU,EE,EH,EM,HL,LT,OS
AEFRWY;OR
AEFSST;BG,DK
AEFSTT;AF,HR,KL,LL,LO,LR,LU,OU,RU
AEFSTV;IL,OR,OU
AEFSTW;AG,EG,IL,IN,LU
AEFSTY;LL,NU,OR
AEFSUV;OT
AEGGGL;IN
AEGGGR;
AEGGHL;BU
AEGGIM;LN,NN,RT
AEGGIN;BG,BZ,CN,FU,GN,IV,MN,NT,NU,NV
AEGGIS;HS
AEGGJR;DE
AEGGLN;AU,PT
AEGGLR;CI,IL
AEGGLW;OY
AEGGMN;IL,IN,NS,OR
AEGGNR;AY,MO,OV,OW
AEGGNU;AL,DG,DL,DT,DU,FI,IL
AEGGOS;AN,AP,BM,DM,DP,EN,EP,FG,FM,HM,MW
AEGGOT;AI,DF,IL,MR
AEGGRS;CR
AEGGRT;DE,MO
AEGGRU;AD,HO,OP
AEGGRW;IN,NO
AEGGRY;
AEGGSU;DI,GL,HM,IM
AEGGWW;DE
AEGHIN;BC,BO,FS,MW,NN
AEGHIO;BN
AEGHIR;PP,PT
AEGHIS;FM,FN,LL,LN,LP,LT,MP,MT,NT,NV
AEGHIW;EG,MN
AEGHLS;AP,AU,AY,CR,ER,IL,IN,IP,IR,RU
AEGHLT;CI,CY,DI,EO,IM,IR,IT,OX,RU,RY
AEGHLZ;
AEGHMO;EP,PT
AEGHNR;AB,AD,DE,DT,EP,OV
AEGHOR;GU,NV,PP
AEGHOS;BU,CU,CW,DD,DH,DO,NX
AEGHPS;AL,IL,IM,IO,NW
AEGHPT;IR,MO,NO,RU
AEGHRS;AD,BD,BE,BU,EL,LU
AEGHRT;BE,DE,DI,DN,DO,DU,EI,ER,IL,IN,IP,LU,LY,MO,PU,TU
AEGHSS;AM,GR,MU,PR
AEGIKN;BT,DN,NW,TW
AEGILM;BD,CU,CY,HT,IO,TU
AEGILN;
AEGILO;BT,CL,GT,IM,KT,NR,NT,PT
AEGILP;BH,DI,OT,PU,RU
AEGILR;EP,ET,GW,PU,TT,TU,TY,VW
AEGILS;BF,BY,EW
AEGILT;AB,AT,BF,BO,FT,GO,HM,HR,HT,IT,IV,OP,RT
AEGILV;CR,ET,IT,RW
AEGIMN;AO,AZ,CO,DE,DF,DO,HW
AEGIMP;CI
AEGIMR;DO,KW,OW
AEGIMS;BI,FH,FI
AEGINN;CG,CV,GG,GV,HN,HV,IN,NX
AEGINR;
AEGINS;AW,HV,VW
AEGINT;AD,AP,CE,CX,DI,EX,KW,OP,PT,PY
AEGINU;CD,DP,FG,MR
AEGINV;ES,GI,GN,MS,SY
AEGINW;BT,CL,HM,KL,KT,LS,ST
AEGINZ;AM,BG
AEGIPP;LU
AEGIPR;GO,HT,LL,LU,TY
AEGIRS;AR,BC,CE,EF,ER,EU,FF,FI,FU,QU,RU,UU,UY
AEGIRT;EH,EI,EL,ET,HL,HP,IR,LT,LU,LY,PP,PY,RY
AEGIRV;AC,AD,BE,CL,EG,LL,LW
AEGIRW;DY,FT,GL,GY,LV,MO
AEGIRZ;CE
AEGIST;BB,EI,IV,KW
AEGISU;ER,FR,GM,GR,LO,QR,RR,RU,RY
AEGISV;EN,HN,IT,NT,NW,NY
AEGISW;AN,CT,DJ,DN,EL,LN,NN,NT,NV,ST
AEGITU;BJ
AEGITY;BG,CM,NP,PR,RR
AEGIUZ;
AEGJLN;
AEGJLT;UU
AEGJRS;HI,LN
AEGJSU;AT,DD,DH
AEGJTU;BI,LU
AEGKLR;
AEGKMS;CO,RY
AEGKRW;CE,CO
AEGKST;AN,CO,DE,IW
AEGLLN;AE,DU
AEGLLS;AM,AS,CO,FS,OR,OS
AEGLLT;DE
AEGLLU;BG,BL,LM
AEGLLY;
AEGLMN;NO,OY,TU
AEGLMR;
AEGLMS;AL,AT,DO,EO,ET,MT,OP,OU,PU,SU
AEGLMV;AN,EN,OT
AEGLMY;AD,AP,BU,CI,DU,ER,IN,NO
AEGLNO;AU,FX,IR,JR,MN,MY,NR,RY
AEGLNR;NO
AEGLNS;EV
AEGLNT;
AEGLNU;FM
AEGLNW;AB,CI,IK,IN
AEGLNY;AC,CE,CO,DO,EV,HO,MO
AEGLNZ;DF,DU,IS,IT
AEGLOR;DI,FO,FW,GY,IN,JN,NN,NY,OY
AEGLOT;EH,GI,HX,IK,IP,MU,PT
AEGLOV;CK,LN
AEGLPR;AL,IL
AEGLPS;AH,MO
AEGLPU;CE,IP,OO
AEGLRR;NW,PP
AEGLRS;CH,HU,RU
AEGLRT;AA,AB,EE,EI,EM,HI,IT
AEGLRU;IL,OS
AEGLRV;CI,DE,EE,IL,IN,IW,RU
AEGLRY;CI,IZ,OO,OP
AEGLRZ;AB
AEGLST;DD,DY,FU,MM,UU,UV
AEGLSU;AH,CF,FT,GG,HR,MR,RR,RT,TU,TV,UY
AEGLSV;SU,TU
AEGLSY;AH,AV,BI,DT,ES,OU,UU
AEGLSZ;DE,EL,IL,IN,IT,OO
AEGLTU;BS,FS,FX,JU,MO,SU
AEGLTW;OR
AEGMMN;AR,DO,ER,OR
AEGMMR;AG,AN,EN,NO
AEGMMS;EO,ET,IT,LT
AEGMNO;BY,CI,CY,DI,DM,DY,LY,XY
AEGMNR;KU
AEGMNS;GN,SY
AEGMNT;
AEGMNY;AB,BI,BO,CO,DE,DO,HO,IL,LO,OX,SS
AEGMOR;AR,DI,DW,GR,GT,IR,IW,PW,RW
AEGMOS;CK,CP,DE,DG,DL,DP,EL,EM,ET,FG,LP,LU,PT
AEGMPS;AR,CO,DO,ER,LO,LU,OT,TU
AEGMRS;AD,AP,AS,AT,AW,KY
AEGMRU;AP,AT,KN,NT,PZ
AEGMRW;DO,IK,IO,OP,OR
AEGMSS;HU,LN,LU,NW,NY,OR
AEGMST;AL,AR,AT,LM,OP,PU
AEGMSY;KR,NS
AEGMUY;BL,DL
AEGMUZ;DP,PR
AEGNNO;AP,CR,CY,EN,LL,LR
AEGNNP;DU,LT,OT,RT
AEGNNT;CE,CY,EL,LP
AEGNOR;GV,HV,JL,LN,UV
AEGNOS;AG,EG,EP,HX,KK
AEGNRR;EL,EV,LW
AEGNRS;AC,FF,YY
AEGNRT;
AEGNRU;BC,IM,KM,OV,PP
AEGNRV;AM,GO,HO,MO,OU
AEGNRW;EY
AEGNRY;AG,BI,CE,CN,DI,EW,FI,IN,IP,IS,IV,IW,PY,SS,SY
AEGNST;BU,SS
AEGNSV;AT,DO,HI,IL,IM,IR,IT,IW,IY
AEGNSY;HR,RY
AEGOPS;AG,BY,CM,DG,DM,DN,HI,IL,LM,PU,SU
AEGOPT;DI,FO,HM,IL
AEGORS;EV,IV,OV,VY
AEGORT;AB,BM,CY,GM,HM
AEGORU;GH,GP
AEGOST;AB,BT,CF,CK,CT,FF,FO,TV
AEGOTT;IS,LL
AEGOTU;LM,NY
AEGOTW;DE,DR,LR
AEGOTX;HL
AEGOVY;
AEGPPR;AW,NU
AEGPRS;
AEGPRT;DE,ER,HI,HU,IP,IY
AEGPRU;AI,AM,GO,HT,IM,MZ,NP,OT
AEGPRW;MO
AEGPRY;AD,CO,IN,IT,LO,NY
AEGPUZ;MR
AEGRRS;AB,AI,AL,BB,BG,BL,CG,CH,FO,GL,HI,IM
AEGRRT;II,IM,IY
AEGRRU;FI,GI,MM
AEGRRV;EN,EO,IN
AEGRRY;AM,BH,CM,IT,NO,SS
AEGRRZ;
AEGRSS;AB,AM
AEGRST;CU,UU
AEGRSU;BB,BE,BH,BL,BT,CH,CT,EI,EL,ET,EZ,HL,IQ,IU,IY,LT,TU
AEGRSV;OO
AEGRSW;AM,BE,DE,DO,EE,EL,ER,ET
AEGRSY;AD,HN,IN,IU,KM,NY
AEGRSZ;AT,EU,NU
AEGRTT;DE,EI,ER,HU,IL,IN
AEGRTU;AD,AF,AM,BS,DH,FI,HP,HT,PS,QU,SU
AEGRTY;CO,IP,IR
AEGRUV;
AEGRVY;IN
AEGRYZ;IL
AEGSSS;AB,AI,AM,AP,AV,AW,DE,EI,EM,EN,IT,NT,NY
AEGSST;AV,AW,BF,BU,CU,EN,EP,ET,NS,PU,UU
AEGSSU;BT,CE,CT,EM,HM,TU
AEGSSW;GI,IT,LO,MN,OT,PU
AEGSTU;DN,EN,ER,FL,LN,LR,MN,NN,NR,NT,TT
AEGSTY;AW,DL
AEGSUV;DI,LS
AEGSUZ;ER,NR,OT
AEGTTU;BE,EL,FH,HR
AEGTYY;
AEHHLT;NU
AEHHPR;CT,DI
AEHHPS;CI,DI,DO,IW
AEHHPY;IM
AEHHRS;CU
AEHHRT;
AEHHSS;IK,IN
AEHHST;DO
AEHHTY;CR,CT,ER
AEHIJR;CK
AEHIKN;AC,DL,LP,MZ
AEHIKS;BL,LM
AEHIKW;CL,CR,KL
AEHILM;FT,GL,GT,IT,RU
AEHILN;AC,AP,AT,CP,CT,EP,FL,KP,LT,OP,TX,TZ
AEHILR;AD,DD,EK,FL
AEHILS;BB,BF,BK,CC,CE,CL,GL,GP,UV
AEHILT;AN,DG,FL,FM,GM,GN,IM,LN,MO,NX,NZ,OZ
AEHILW;CK,KK
AEHIMM;CD
AEHIMN;BO,EX,GW,KZ,NU,UZ
AEHIMR;AE,AU,KT,LU,PT
AEHIMS;DF,DJ,FG
AEHINR;RU,UW
AEHINS;DG,DO,FG,GZ
AEHINV;CR
AEHINW;DD,GM,RT,RU
AEHIQU;
AEHIRS;EF
AEHIRY;LT,ST,TZ
AEHIRZ;AC,BE,OP,SS,TY
AEHIST;BU,DJ
AEHISV;CF,DK,DL,LU
AEHJJS;
AEHJRS;AD,BO
AEHKMS;IL
AEHKNR;BO
AEHKNS;AT,BT,CE,CY,EM,NU,OW,SU,WW
AEHKNZ;IM
AEHKPR;CL,DE,ER,OO
AEHKRS;AY,BU,ET,EU,OO
AEHKRW;DO
AEHKSS;AC,AW,CL,NU,PU
AEHKSU;BR,BT,DN,ER,NN,NS,OT
AEHKSY;AR,CN
AEHKWY;DE
AEHLLL;BE,TY
AEHLLT;BR,DR,FI,IK,IN,LY,MY,NR,NU
AEHLMP;AD,CE,CI,ET,LO,PT
AEHLMR;AE
AEHLMS;AY,FU,MN,NO,OU
