AAABC;AABDRR
ABMMO;ADHORY,AEEPRT,AEIILR,AIINRT
ABMOS;BEIILL,CDIINY
ABMOZ;ACEILR,BEIILL,EEILMR
ABMRS;
ABMRU;DOORZZ
ABMRY;CHIPRS
ABMSY;CDIINO,CHIPRR,IILLPU
ABMUY;ADIPSS,BELSSS,CIILLL,IILLPS
ABNNS;ACLLNO,EGGILP,GILLOO,GILLOW,GIOPPS
ABNNU;DELOUW,EEJLOY
ABNOO;CEFLMR,CFLMRY
ABNOR;
ABNOS;
ABNOT;
ABNOZ;AAIIRT,ADDFII,CGIINR
ABNRS;
ABNRT;AALRWY,CGIIIM,FGIIIM
ABNRU;
ABNRW;AAELRT,CEEHMR
ABNRY;
ABNSS;BCEHRU,EEELQU,EEGLUU,EELMMY
ABNST;
ABNSU;
ABNSW;
ABNTU;
ABNTY;AALRRW,ACHIIN,IILLLR
ABNUY;ADILOV,AFLLPP,BDEGLU,CILLNO,EEJLNO
ABOOT;ABHHIP,ADMRRR,AHHIPP,CHHIPT,EEHIMP,HHIOPP
ABOOY;ACMNNT,ADHMMR,CDHNRR,CDHNRT,CIMNRT,CINTTT,DHHIPR,EHNNTT,GJRRTU,HHINPP
ABOOZ;ACERTT,CEILLN
ABORR;
ABORS;
ABORT;
ABORV;
ABORX;DFNOUU,EHMNOT,EIILTY
ABORY;
ABOSS;
ABOST;
ABOTU;
ABOTW;ABCEGN
ABOUY;ADILNV,CCILLL,CCINNR,CILLNN,CILLNR,CILLRR,EEJLNN,ELMMNR,GILLNR,GJORRT
ABPRS;AAIMPT,ACHHIM,CHIMRY
ABPSU;AAHIOQ,ADIMSY,DEEKLO,GIINNT
ABQRU;ACDIIT,ADIILM
ABQSU;
ABRRY;AALNTW,BGLMOO,CDHNOO
ABRSS;
ABRST;
ABRSU;
ABRSW;
ABRSY;
ABRTU;ACDGHK
ABRTY;
ABRWY;
ABRXY;AILLSU,CEINOT,EELNTU,EIILOT
ABSST;ACHHPY
ABSSU;GILMNP,IILLMN
ABSSW;ADORRT,AEEKTT,CCHIKT,EGLLOR
ABSSY;
ABSTT;HORRUY
ABSTU;
ABSTY;
ABTTU;CCINNO,DIIILY,IILOQY
ABTTY;BGIINS,CIIIOV,CINOOT,EGINNO,EHNNOO,EIINOS
ABTWY;AALNRR,ADEHRS,AHIILS,IIILNN,IIKLOR
ABUZZ;
ABWYY;
ACCDY;AGIORZ,AHLPTY,BDHIIK,IILLNR,IILMNN
ACCEH;
ACCEL;
ACCEM;AAELNT,ABLOPT,AENOPR,CELNOP,DILLOY,EEFILN,EHLORT,ELNNOT,ENNORR,FNNOOR,INOTYZ,LMNOOP
ACCHI;IIMMPT
ACCHK;BCKLOO,EEORTW
ACCHL;AGIIRR,BCKKOO,GIIRRU,HMNRUY
ACCHO;BCKKLO
ACCHT;IIIMMP
ACCIM;BBGKNO,EEEFLN,EEIPST,HIIMPT
ACCIR;
ACCIT;HIIMMP
ACCIW;EGHHTT
ACCKL;
ACCKO;AELLNY,EEEIKL,EEHRTW,EIKTTT
ACCKR;BBEEHN
ACCKS;ABGINP
ACCKY;AELLNO
ACCMO;DDELLU,EEHLRT,EELNNT,EENNRR,EFNNOR
ACCOO;BCHKKL,CCILMR,EHILPZ,FIIMRR,GGIILL,HIPTTT
ACCOS;
ACCOT;AALMRY,ADLMRY
ACCOY;ACNNTU,ADGIRZ,AGNQRU,BINNRU,BKNRTU,CENNNR,EFINRR
ACCSY;EEHMNR
ACCUY;ABLNOT,ACNNOT,IILNTV
ACDDE;HMOOTW
ACDDY;
ACDEE;
ACDEF;
ACDEG;BGIKPY
ACDEH;
ACDEI;CEKKLP
ACDEK;
ACDEL;
ACDEM;
ACDEN;
ACDEP;
ACDER;
ACDES;
ACDET;
ACDEV;
ACDEW;ADDIRS,AIOSTT,NORRTU
ACDEY;
ACDGY;ACIORZ,AELLNO,AHHMNO,ALMORT,BEGIKP,CILNOR,EILOSS,EIMORT,EMNOOT,HIRRRY,ILNRTU,LLOOTY
ACDHO;AGHMNY,HIILTY
ACDHR;
ACDHS;
ACDHY;AANPRS,ABMNOR,ACLPTY,AEILLP,AGHMNO,AIILLS,BCDIIK,BNOORR,BNOORT,EILLLP,EIMMNO,HIILOT,IILLMO
ACDIL;
ACDIN;
ACDIR;
ACDIS;
ACDIT;GILNPU
ACDIY;ACGORZ,BEGGKP,EOPRSS
ACDKR;
ACDKS;ABGLRU,BGNORU,IINOOT,IKNORU
ACDLO;GLOTYY
ACDLS;HLLOPY
ACDLU;
ACDLY;
ACDNS;CLRUUU
ACDNU;AGIMNT,BDEEHU
ACDNY;AAHPRS,AGHHMO,BHOORR,BHOORT
ACDOR;
ACDOS;ACCEUY
ACDOT;AMNRUY,GLLOYY
ACDOY;ACGIRZ,AEGLLN,AELLNT,AGHHMN,AILSUU,AINPRV,BELMMN,BELMNN,BHNORR,BHNORT,BIILSS,BILOSU,CDINRS,DEELST,EGILSS,EGMNOT,EHIMMN,EHLMSU,EHRRTY,ELLPTT,GLLOTY,IIILMR,ILLLLO
ACDRS;AAAMMT,ABGKLU
ACDRY;ACGIOZ,BHNOOR,BHNOOT
ACDSS;
ACDSU;CHHRRW,CHHRRY,GHIMOO
ACDTU;
ACEEK;ABBKRR,ABDDLL,ABDDLP,ABPPRR,BDGGLL,CEIKLO,DGIMNV,DGLNOW,EEEPPR,MORTTY
ACEEP;CEHLLO,LLNOVY
ACEES;
ACEEZ;EHIRTT,HHIIRR,HIIRTT,HILOOR,IILPRU,INNOPT
ACEFH;
ACEFL;BDEELT,BMOORT
ACEFR;CMNNOO
ACEFS;
ACEFT;ABINOT,IIMNOT,IINOPT
ACEGL;
ACEGR;EJMOPT
ACEGS;
ACEGY;AAIRRW,BDGIKP,EHHPRR,EIRRRT,GHOPSU,HHIPPR,HIMOPS,HOPSSS
ACEHK;
ACEHL;DGGGUU
ACEHM;
ACEHN;
ACEHP;
ACEHR;
ACEHS;
ACEHT;
ACEHV;IOOPTT
ACEIL;
ACEIM;
ACEIN;
ACEIR;
ACEIS;
ACEIV;
ACEKL;
ACEKR;
ACEKS;
ACEKW;GGHLOO
ACEKY;
ACELL;AALMPU
ACELM;
ACELN;
ACELP;
ACELR;
ACELS;
ACELT;
ACELV;
ACELY;EELSSS,ELSSSU
ACEMO;
ACEMR;
ACEMS;
ACEMY;AHNSSU,CDLOPT,CEHNNO
ACENN;
ACENO;
ACENP;
ACENR;
ACENS;
ACENT;
ACEOR;
ACEOT;
ACEOX;AAELTT,CEHLNY,CHILPY
ACEPR;
ACEPS;
ACEPT;
ACEPX;AILLMU,EEITTV,GHIILR,GIINRS,GILNTU,HIOOTT,HLOSUY,ILNOST,ILRSTU,LNNOOV
ACEPY;BDGGIK,CIITTV
ACERR;
ACERS;
ACERT;
ACERV;
ACERX;GIINPS,IIPSST
ACERZ;ABOOTT,EEHITT,EHIITT,EIILPU
ACESS;
ACEST;
ACESU;
ACESV;
ACETT;
ACETU;
ACETX;
ACFFH;
ACFFS;
ACFHT;INNOUX
ACFHU;
ACFIL;GNTTUU
ACFIM;AANRRT,ACGLOU,ADENOT,AENRRT,EINOTT,ENOTTU,LNNOTU
ACFIN;
ACFIR;
ACFIS;CFFFHH
ACFKL;INOORT
ACFKR;ILNOOT
ACFLO;CGISUU,EERRUV,EHPRRU,EILRUW,IMORSS,IMPRRS
ACFLS;AMOORR
ACFNR;AAJLMY
ACFNY;AAJLMR,ABELMO,ABLMOY,ALMRST,AMORTU,CEHIIT,DEORTU,EGHLLU
ACFRS;DDHIOU
ACFRT;
ACFRU;
ACFRY;AAJLMN
ACFST;
ACGHN;HOOPRR,HOOPYY,OOOPRR
ACGHT;ADGIIS,CEHITW
ACGHU;
ACGIM;
ACGIN;
ACGIR;DHRRYY
ACGLN;
ACGLS;AAHOPR,ABDKRU,AHMRUU,CHOPRY,DOTYYZ
ACGNO;ADHHMY,HHOPYY
ACGNS;
ACGOR;AEEMMT,EEJMPT
ACGOT;DLLOYY,FLLOOY,MOPRRU
ACGOU;
ACGRS;ABDKLU,AHHPTY
ACGSS;AEEEHT,ALLOTY,HILOOT,ILOOTT
ACGUY;ACNOQR,AEINSW,AILOSS,ALOORT,BEORST,EENPRS,EGHOPS,EJLNOT,ELNORT,FILOSU,HMOOPS,ILLOPS,LLNOOV
ACGWY;AAEIRR,AEINSU,HIKNST
ACHHN;ADGMOY,AEGOTT,GOOPRR,GOOPYY
ACHHT;AAINPX,AAIPSY,AIIMPP,AIIMPR,DIOPRY,GIOPPY,INSSUZ
ACHIK;
ACHIL;AAABCN
ACHIM;AGGHNU,AHIPPT,CIIMPT
ACHIN;
ACHIO;GNTTUW
ACHIR;
ACHIS;
ACHIT;
ACHKL;BCCKOO
ACHKN;BCEELU,DEEHRR,EEIRTW
ACHKR;
ACHKS;
ACHKT;
ACHKW;
ACHLN;
ACHLO;AAGMYZ,BCCKKO
ACHLR;
ACHLS;
ACHLT;
ACHLU;AEEHTX,CDEEHK,CGIIRR,EIOOTT,MMOPRY
ACHMO;AAGLYZ,ADGHNY,BIIIPT,CCEITT,CNNOYY
ACHMP;AHIIPT,BIIIOT,CIIIMT,HIIILP
ACHMR;
ACHMS;
ACHMT;CIIIMP,DIIIRT,GIILOR,HILLOO,IIOPPR
ACHNO;
ACHNR;
ACHNT;
ACHNU;
ACHOO;ADEMRR,AGNPPR,AGNPRR,AMNNRW,BCCKKL,BDEELR,BDELMR,CEILPZ,CGIPPR,DGIPRX,DIINPR,EELRRU,EFNNPR,EGGKLW,EGILPR,EMNNRW,GGILPR,GNOPRR,IILPPR
ACHOP;BHILOO
ACHOR;
ACHOS;
ACHOT;
ACHOV;EEEIRV,EGINPR,EIOPTT
ACHOW;CHMNRU
ACHPR;
ACHPS;
ACHPT;
ACHRR;
ACHRS;
ACHRT;DIIIMT
ACHRY;ACIPPS
ACHST;
ACHSU;
ACHSV;
ACHSW;
ACHSY;BORRUU,CCORRY,CDHRRU
ACHTW;
ACHTY;AALLRR
ACHUV;
ACIIL;AAHPPR,ACGHRR,AEPPRR,AGLOOX,CDLLOU,CEOQRU,CGGLOO,CGHRRU,DLLLYY,EGHPRX,EGHRRU,EKLOOR,HOOPPR,NNQUUX
ACIIM;AEHHPT,AHHPPT,CFOORR,CHHOPR,CHIMPT,EEEHPR,FMORRU,HHILPP,IOSSVV,LLORRV,MOOPRR
ACIIN;
ACIKK;AEGLNW,BGIMNR,CEEELO,DGLNUW,ELLOPU,GGILNO,GMNOPR
ACIKS;ABILOU
ACILL;FMOORR
ACILM;BOORRU,ILORRV
ACILN;AAABCH
ACILP;
ACILS;
ACILT;AALQUY
ACILU;AALQTY,AAMOTT
ACILV;
ACILX;INNQUU
ACIMN;
ACIMP;AELLUX,HHIILP,IMOORR
ACIMR;BLMOUU,CCCLOO,ILLORV,IMOOPR
ACIMS;
ACIMU;ADGRRT,HOOPRT
ACINO;
ACINP;
ACINR;
ACINS;
ACINT;
ACINU;
ACINV;
ACIOR;
ACIOT;
ACIOZ;GLLMOY
ACIPR;
ACIPS;
ACIPZ;AEFLOR,DEEINT,DHLOOS,EEILRU,EGHOTY,EILORT,HLOOTY
ACIRS;
ACIRT;
ACIRU;
ACIRV;
ACISS;
ACITT;
ACITV;CJNNOU
ACJKS;ABBIRT
ACJKY;BBEORW
ACJNO;AGIKOR,CINTUV,DIILNU,EGIKOR,GIIRST,GIKPTT,INORTU
ACJNU;CINOTV,DIILNO,INOORT
ACKKN;ABCGIP,AEGILW,BCGIIP,BELLLU,BGIIMR,CGIITT,DGILUW,GGIILO,GIMOPR
ACKKS;AACCJR,AACHMT,ABEMRR
ACKKY;
ACKLN;
ACKLO;CEEEIK
ACKLP;BGINRU
ACKLS;
ACKLU;AEILOP,BCEEHN,BEKLLN,CEILOP,EIKLOP,IPRTTY
ACKMS;
ACKMU;DDEHOR
ACKNR;
ACKNS;
ACKOR;
ACKOW;
ACKPS;
ACKPU;AEILLO,EIKLLO,ILRTTY
ACKQU;
ACKRS;
ACKRT;
ACKRW;
ACKSS;
ACKST;
ACKSU;
ACKSW;
ACKSY;
ACKSZ;AEHIRZ,EHLNNT
ACKTY;BCNORU,IOOPRR
ACKWY;BBEJOR
ACLLO;
ACLLS;
ACLMO;AAGHYZ
ACLMP;AAGIRT,HHIIIP
ACLMS;
ACLMY;AAGHOZ,ADGORT,AFNRST,ENNOOV
ACLNS;CDRUUU
ACLOP;BGHINO,BHHIOO,GHINNO
ACLOR;
ACLOS;
ACLOT;DGLOYY
ACLOV;
ACLOW;DEEGKN,DEENPR,EGGHKO,EGKNNU,EGMNRY,EIMNOP
ACLOX;EHPSUY
ACLOY;AAGHMZ,ADISUU,AGISSU,DEGISS,DEHMSU,DGLOTY,EHIKMP,ELMMNS,IISUVV,NNNOST
ACLOZ;AAGHMY,GILTYY,ILMTYY
ACLPS;
ACLPT;
ACLPU;
ACLRS;
ACLRT;
ACLRW;
ACLRY;ABDEEF
ACLSS;
ACLST;
ACLSU;
ACLSW;ACHKLU,BEHKSU,EHIITW
ACLSY;
ACLTU;
ACLTY;AGLNOO,FGLOOO
ACLXY;CDEHNO,CEEHNO,IILMNO
ACMMO;AAENRW,AEENRW,AEIPRU,CELNOP,EHHLRT,EHIPRT,EIRRTU,ENPRTT,FIIRRU,HLPRUY,IIOPRR
ACMNO;ADGHHY
ACMOP;IIMORR
ACMOR;
ACMOS;
ACMPR;IIMOOR
ACMPS;
ACMPY;
ACMRS;
ACMRY;ADGLOT,CHHLNU,HOOOTT
ACMSS;
ACMSU;
ACMSY;AIILLM,EEGOTT,EELNOT,ENOOTZ,FIILSS
ACNNO;
ACNNS;
ACNNY;
ACNOP;BDGIRU
ACNOR;
ACNOS;
ACNOT;
ACNOW;AGILLN,BGIRRR,DEELPR,GHITTU,GILRTU
ACNOX;EEPRTT
ACNOY;ADELLT,BIOTTT
ACNPU;
ACNRS;CDLUUU
ACNRY;
ACNSS;
ACNST;
ACNSY;AAARRV,ABCLUU,DDEGHN,EEHLMM,ILLMUU
ACNTY;AACRTT,ABMNOO,ACCNOU,ACDLOR,ACLOPR,ADLMOO,AGLLOO,BIOOTT,DEGMOO
ACOPR;EENNNU
ACOPS;
ACOPT;
ACOPY;EILLLM,MOORTT,OORRTV,ORRRTU
ACORS;
ACORT;
ACORY;MOOPTT
ACOSS;
ACOST;
ACOTT;BIIIVY
ACOTU;
ACOUY;ACCNNT,ACGNQR,AGLORT,BCILLL,BCINNR,BILLNN,EGJLNT,GIJLNT,GLLNOV,HLMMPR,ILLNNT,ILMMNT,ILNNNR
ACPPU;CEEMNO,CEEORT,CENORT,EEENRT,ELNRTU
ACPRS;
ACPRY;GOOSST,LLOSUU,NNOTUU,OOORTV,OORRTU
ACPST;AGHHRY
ACPSU;
ACPSY;AAHHIT,AGHHRT,AHIPST
ACPTU;DGIORR,FIIORR
ACRRS;
ACRRU;BHOSUY,DMOOOS
ACRRY;AABDDI,AIOPPP,CIILTU
ACRSS;
ACRST;
ACRSU;
ACRSW;CDHHRU
ACRSY;
ACRSZ;
ACRTT;
ACRTU;
ACRVY;AAANRS
ACRYZ;
ACSST;
ACSSU;
ACSSW;DLLOOP
ACSTT;
ACSTU;
ACSUY;
ACTTY;AACNRT,BINOOT,CGINOP,EELNPX,MOOOPR
ADDDE;
ADDDY;ABBEIS,ACEKPW,BBEOOR,BEGORU
ADDEF;
ADDEH;
ADDEI;
ADDEJ;
ADDEL;
ADDER;
ADDES;
ADDET;
ADDEV;
ADDEW;
ADDEZ;AACIMM,ABIRST,ACILNS,AEILNR,AGGINR,AINRST,CEILLO,CEILOV,EEFILR,EHIMNU,EHIRRS,EIJOPR,EILOPR,EINRTU,GIIILT,HIOPRS,ILMOPS
ADDFY;
ADDGI;
ADDHO;EIILMT,GILLNN
ADDIM;
ADDIO;ABFINZ,ACJRTU,AILPRT,CEELLZ,HILNOV
ADDLY;
ADDNY;ABELNO,CEHOOP,EFFHLO,ELNTUU
ADDOR;
ADDOS;
ADDPY;AEEHLR,CEHNOO,EEORRT,EHLNOR
ADDRY;
ADDSU;BLMOOR,EIOOPP,ELOOPP,IIILNV
ADDSW;
ADDSY;CEELOT
ADDWY;
ADEEL;
ADEEM;
ADEEN;
ADEER;
ADEES;
ADEET;
ADEEV;
ADEFG;
ADEFK;
ADEFM;
ADEFR;
ADEFS;
ADEFT;
ADEFX;ACINRU,EILLNO,ILNOSU
ADEFY;
ADEFZ;HILOOR
ADEGG;
ADEGJ;CHIKLT
ADEGL;
ADEGM;
ADEGP;BCGIKY,EEHLMT
ADEGR;
ADEGS;
ADEGT;AAALMM
ADEGU;
ADEGW;
ADEGZ;IIMSTT
ADEHJ;
ADEHK;
ADEHL;
ADEHM;BBCCEO
ADEHO;GGIPSU,IIPSVV,IPPSSY,OQSSSU
ADEHR;
ADEHS;
ADEHT;
ADEHW;
ADEHX;
ADEHY;DFFLNO
ADEHZ;LORTYY
ADEIL;
ADEIM;
ADEIN;
ADEIR;
ADEIS;
ADEIU;CNNNOZ
ADEIW;
ADEIZ;
ADEJP;
ADEJS;AIKLRR,BIILNO
ADEJW;
ADEKL;
ADEKN;CEGIMV,CGIIMV
ADEKO;
ADEKR;
ADEKS;
ADEKW;
ADELL;AETTTT
ADELM;
ADELN;
ADELO;
ADELP;
ADELR;
ADELS;
ADELT;
ADELV;
ADELW;
ADELX;AAGRSV,CCHNOY,CEIILS,CEIILZ,GHOPRY,HORSYY,IIOTVY
ADELY;
ADELZ;
ADEMM;
ADEMN;
ADEMP;
ADEMR;
ADEMS;
ADEMT;
ADEMW;
ADEMX;AIIOTZ
ADEMY;CCLOPT
ADEMZ;CIILSU,GIIINN,GIIINT,GIISTT,HIPSTY,IIINTV
ADENO;AAFFNR,EEHNNR
ADENP;
ADENR;
ADENS;
ADENT;
ADENV;
ADENW;
ADENY;AHIIPT
ADEOP;BBFORY
ADEOR;
ADEOZ;
ADEPR;
ADEPS;
ADEPT;ACCFII
ADEPU;
ADEPV;HIIOSV
ADEPW;
ADEPY;AHIINT
ADERR;
ADERS;
ADERT;
ADERU;
ADERV;
ADERW;
ADERX;AAGLSV,ACFINU,GHLOPY,GHOOPR,HLOSYY,HORUYY
ADERY;
ADERZ;
ADESS;
ADEST;
ADESV;
ADESW;
ADESY;
ADESZ;
ADETW;
ADETX;
ADEVW;
ADEWX;BDHOOS,BHOOSS
ADEWY;
ADFFR;
ADFFS;BEEHLU
ADFFY;
ADFIV;CEEORT,CEFIRT,EEMORT
ADFLU;
ADFNO;AAEFNR,ABDIIZ,AFIIPR,AGILRR,CCEERY
ADFNS;
ADFOS;
ADFRS;
ADFRT;
ADFRU;GIIIMR,IMNOPR
ADFRW;EGIPPT
ADGGY;AEGLLL,BCEIKP,EGLLLO,HIILNT,LMOOOT
ADGIL;ACJMTU
ADGIS;
ADGJO;
ADGLN;
ADGLS;AACIIR,COTYYZ
ADGLY;AHRRRY
ADGMO;ACEFLU,EERTUY,GLOOTY
ADGNO;
ADGNR;
ADGNS;
ADGNW;
ADGNY;ACHHMO
ADGOO;ABCGIR,BMRRSS,CERSTT,CHIMSU,CILLOX,CLLTYY,EFGRRT,EHLMOT,ELLPTU,GLMOTY
ADGOP;HIRTTY
ADGOS;CIIRSU,CLTYYZ
ADGRS;HHOPRY
ADGRU;FIIIMR
ADGSU;EHHLOP,HLLNOP
ADGSW;ACHRTU
ADGUY;DIINNQ,EINNST,HMRRRY,IINOPT
ADHIJ;
ADHIK;ABCGNN,BCEGLT,CEIMNT,DEENRT,EEIMNT
ADHIL;
ADHIN;ABILTU,DILOOV
ADHIP;AOPRTY,AORRTY,BHOORY,BMOOOR,FGINNT,IIMORU
ADHIS;
ADHJO;
ADHKS;ACDPWY
ADHLO;
ADHLS;
ADHLU;ABIINT
ADHNO;ACENTT
ADHNS;
ADHNU;ABIILT
ADHNY;BCOORR,CDEOOP,EEOPPT
ADHOR;
ADHOS;EGGIPU,EIIPVV
ADHRS;
ADHRY;BCNOOR,GMRRUY
ADHSS;
ADHST;AMOORY,MNOOOR
ADHSU;CGIMOO,IMOOPP
ADHSY;CLLLOP
ADHWY;GILRRT,LNORRT
ADIIL;ACCOPT,BBDITY
ADIIN;EINNPP
ADIIO;ACLRTT,ADGLRT,BCEERZ,CCLLLU,CEFRTY,CHHLTY,DEINOR,DISTTU,EHIPST,EHPSVV,EIPSTV,ELLTVZ,ENNORY,IINRTZ,INRSVY
ADIIR;BNOOSY
ADIKN;DEEHRT,EEHIMT,EEIRTZ
ADIKO;BBCEEF,CEGGJJ
ADIKS;
ADIKU;CGKLNW,EGNNRT
ADILN;
ADILO;SSSUUY
ADILP;AAGHMR
ADILR;
ADILS;
ADILT;
ADILU;
ADILV;
ADILY;GNOOSS,OSSSUU
ADIMN;
ADIMO;
ADIMR;
ADIMS;
ADIMT;CHIIRT
ADIMX;
ADINN;AMSSYY
ADINO;
ADINR;
ADINT;
ADINV;
ADINW;
ADIOP;EGGGNU,HIIMRU
ADIOR;
ADIOS;
ADIOT;
ADIOU;ABLNVY,CEEHTV,CEEQTV,CEGGNP,CEGNNQ,CENNNZ,CIJLNN,EGGGNP,FMNPRR,HIIMPR
ADIOV;ABGGNN,CEEHTU,CEEQTU
ADIOX;AACLPR,CGHOPR,CGLLOO
ADIOZ;ABDFIN,GGIMNT,GIINTZ,IIINRT
ADIPR;
ADIPS;
ADIPV;EHIOSV
ADIQS;
ADIRR;FGIIMU
ADIRS;
ADIRT;
ADIRX;AACLOP,ACEFNU,AEEHLT,AEELNN,AEELNT,CCEETU,CGHOOP,EEELNP,EGINTT,EGNNTU,HNNOPS
ADIRY;ACCGOZ
ADIRZ;ACCGOY,GGINNO,GHINNO,GIMNNO,IIINOT
ADISS;
ADIST;
ADISV;IILLMU
ADISW;
ADISY;
ADITU;
ADITV;AAGGNN,ACIORR,CGIINN,GGILNU,GILNOU,IILMNU
ADIVV;
ADIYZ;ACCGOR,AILNOT,EHMPST
ADJNU;CIILNO
ADJSU;
ADKKU;CCEMMU
ADKLS;ABCGRU
ADKLY;
ADKMU;BCEHTT,CCEKMU,CDEHOR
ADKNR;
ADKNS;BCGIIL,BCGORU,OORRUW
ADKNY;
ADKOV;
ADKRS;ABCGLU,AMOOTU,BCGNOU
ADKRY;
ADKSU;ABCGLR,BCGNOR,NOORRW
ADKSW;EIMORR
ADLLO;BGIOOY,CCDEMU,CGOTYY
ADLLY;AACRST
ADLMO;GGOOTY
ADLMU;
ADLMW;
ADLMY;EGOORT,GGOOOT
ADLNO;
ADLNS;
ADLNU;
ADLOP;
ADLOS;CGTYYZ
ADLOT;AHOPRR,CGLOYY,GGMOOY,IILPPS
ADLOU;CCDELM
ADLOW;
ADLPS;
ADLRS;
ADLRU;CFIIIY
ADLRW;
ADLRY;
ADLST;BCHOOR
ADLSU;
ADLSW;
ADLSY;CHLLOP,HORTUW,IOSSUU
ADLTU;
ADLUY;ACIOSU,BCDEEH,CFIIIR,CIIIJR,DEEFHR,DENNTU,EEHSTX,IOSSSU
ADMNO;
ADMNS;
ADMNU;
ADMOU;CCDELL
ADMPS;IINOOT
ADMPY;ACHORS,AGHNOR,EOOSTT
ADMRS;
ADMRU;GHRRYY
ADMRY;ACCLOT,ACGLOT,GHRRUY
ADMSU;
ADMSW;
ADMTU;GIINNP
ADMUW;
ADNNO;BGIILN
ADNNU;
ADNNY;ACELST,AIMSSY,BEFIIL,BELRUU,CCIILM,DELTUU,EILTTU,IILOTV,ILOSST
ADNOO;
ADNOR;
ADNOS;
ADNOW;CCEIKS,EEHSST,EHISSS
ADNOZ;ABDFII,BGIIIL,CIIKOT,GGIIIL,GGIIMT,GIIITZ,GIILLR,GILTUZ,IIIIRT
ADNPS;
ADNPY;AACHRS,AEHIIT,AEHTUW,AGHMOR,AHOQRU,CDEHOO,EEGIRZ,FGIIIL,GIIOTU,HIILST,HOOQRU,LOORSU
ADNRS;
ADNRT;
ADNRW;
ADNRY;
ADNSS;
ADNST;
ADNSU;
ADNSW;
ADNSY;IIIORV
ADNTU;ABHIIL,AIILPT,AIILTT,BBIILY,IIILMV
ADNTY;AEHPUW,CEGMOO,DELNUU
ADOPS;
ADOPT;
ADOQU;AERRTW,AHNPRY,EELSST
ADORR;
ADORS;
ADORT;
ADORU;EEGGPY
ADORW;
ADOSS;CENNNO,EMMOTU
ADOST;
ADOSW;ACEITT
ADOTT;GHIPRY
ADOTY;ACCLMR,ACGLMR,AERRRT,CCEHPY,CEGMNO,CGLLOY,EEGMRU,EHLRXY,EHLRYZ,EIILVX,GGLMOO
ADPRS;
ADPRU;BCEELL
ADPRY;AACHNS,AAHHLZ,AAHHRZ
ADPSY;CHLLLO,CLLOTY,GLNORU,LNOORU
ADQSU;
ADQUY;EFIILL,HNOOPR,IINSTT
ADRRU;DEFFIN,FGIIIM
ADRSS;GIIILL
ADRST;AAACMM,ACCCHR
ADRSU;
ADRSW;
ADRSY;
ADRTY;
ADRVY;ACINOP,BIIILT,EGHIOP
ADSSW;ADLNOO
ADSTU;
ADSTW;ACGHRU,LNOOUW
ADSUY;ABILNV,ACCCEO,ACCILL,ACILOU,BELLLN,CIMNNO,DEILNV,EEHLTX,IINQTT,IIOPTT,ILOSSU
AEEFN;BRRRTU,EHIRRT
AEEFR;
AEEFS;
AEEFZ;GIMNRT
AEEGL;
AEEGN;ADDDHI
AEEGP;
AEEGR;
AEEGT;HHIVWY
AEEHM;ACDILX,AGINSS,BBCCDO,CCGILO,IMNSSS
AEEHR;
AEEHT;
AEEHV;
AEEIN;CCCESS,ILQUVV
AEEIR;
AEEIY;ACGLLL,ACLTTV,ADDMRR,AGLNRV,BCFINR,BCLPRV,BLMMPR,BLRRTV,CDMNRT,CFFLTV,CFLLNV,CGLLNR,CGLLNU,CGLLRV,CGNNRT,CGRRRT,CHLLRT,CHMRTT,CHPRTV,CILLNR,CLLLST,CLNQUV,CLNRRV,CLOTVV,CLPRRT,CLPRTT,CNNPPT,DDHNSS,DHHMRT,DINRTV,DMRTTT,EHLRTT,FLNSTT,GHHTVW,GHLMRW,GLLNNT,GLLNRV,GLNNPS,GNORRV,HHPSST,HLMNNP,HMNSTT,HOPRRX,ILRTTV,LLMPRX,LLMTUV,LLNNPR,LLNNSX,LLNSST,LMPRTX,LMPSST,LNNSST,LNPSVX,LNTTTV,LNTTUV,LOPRTV,LPRRRT,NOPRSS,NORTVX
AEEKM;ACGINP,CDGINV,EGGINP
AEEKN;CDGIMV,EGGIMP
AEEKP;EFGINS,EGGIMN,EGGINT
AEEKR;
AEEKS;
AEELL;ADNTTU
AEELN;
AEELR;
AEELS;
AEELT;
AEELV;BBEEPW
AEELW;ACQRRU,BBEEPV,CIPPRR
AEELY;ACGHMP,ACGILL,ACHNNP,CCHLNR,CCHNOX,CFILNV,CIILNR,CINQUV,CLNOPV,HLOPRX,ILNNPR
AEELZ;EGGINO
AEEMM;IILLPR
AEEMN;
AEEMR;
AEEMS;
AEENR;
AEENT;
AEENV;
AEEOZ;BILMMR,CCIRSS,CDIMRT,CIILRS,CIMSTV,GIILNR,HIRRTU,IILMMR,IILNRT,ILNPRS,LNSSSU
AEEPR;
AEEPS;
AEEPT;
AEEPY;ACGHLM,ACHLNN,CCNORR,CGHHRR,DDGHIL,DGGORU,GHMOTT,HILMNN,HIORRX,HLLORX,ILLNNR
AEEPZ;AGINNO,AILLLR,CIILRU,IIILMR
AEERR;
AEERS;
AEERT;
AEERV;CCINNO,CCNNOY
AEERZ;CEHITT,CHHIIR,CHIITT,HIORTU
AEESS;
AEEST;
AEESV;
AEESZ;BENNOZ
AEETX;AACLOT,INNOOR,INORVY
AEETZ;
AEEVW;BBEELP,GHHITY
AEFFG;HIINNT
AEFGN;BCIKOO
AEFHS;
AEFIK;BCGNOO
