AAB;AITV,DDIK,EFGU,EGGG,IPUX,KOOZ,NNOZ
LMY;
LNU;BIIQ,BMPU
LOO;
LOP;
LOR;
LOS;
LOT;
LOU;ABHX,BLVY,BMXY,BOQY,HIMM,ILVV
LOV;BLUY
LOW;ILQU
LOX;AEOZ,AIRU,BCKO,BDOO,BEHL,BMUY,BOOT,BOPT,CEIN,CEMP,CINY,EGNY
LOY;AATT,BEET,BLUV
LOZ;BEEI,CCOO,CIKP,DEII,EEPP,EIPP,GGIN,GOOY,HIOT
LPU;
LPY;
LRU;
LSY;FFNU
LUU;BBDF,BBEK,BDIN,BEGM,BINT,BKNY,BKOT,CDET,CDNO,CFMR,CKNY,DEOT,DFIT,DMNO,EFNT,EIMV,EIQR,ERTV,FGOR,FHRT,GJMU,GMNU,NRTV
LUV;BILO,BLOY,DEGI,EFIX,ILOV
LUX;ABHO,AIOR,BMOY
LUZ;ABER,AEFG,AEFM,AGIY,BEER,IMYZ
LVY;AACL,AACR,AAGL,AALN,AALR,ABCO,ABMO,ACIR,AILR,AILT,AIOT,AIRR,BIIS,BLOU,CIIL,DIIV,IIPR
MMM;CIIK,EIST
MMO;DORU,HNOY,NNOY
MMU;BCKO,CDIO,CENO,CEOT,CHKO,DOOR,HILO
MNO;
MNU;
MNY;EJRU,ERRU
MOO;
MOP;ALLN,ALNW,DGII
MOR;
MOS;
MOT;
MOU;CKMM,HILM
MOV;ABLY,AFIR
MOW;DFLU,DGOU
MOY;CEKR,FIRT,OOTZ
MOZ;AARR,ACCI,ACDR,AINP,AIRU,ANSY,ASUY,CITY
MPU;
MRU;
MSU;
MTU;
MUU;ABLP,AHNN,ALLP,BCFK,BCJK,BDIN,BEGL,BHZZ,BLNP,CFLR,DEFN,DLNO,EERR,EILV,EIVX,EJJN,ELLP,ELNP,JOPT
MUV;DIRU,EHRT,EIUX,GIMN,IIRT
MUX;ABEJ,AIMM,AIMS,BIRS,EIIL,EIUV
MUY;AAKL,BEOT,BLOX,DILT,EJNR,GRYZ,IRTT,NOTT
NNO;
NNU;ACHI,AEGG,CEEF,CGIL,CGIN,CHKU,DFGI,DGGI,DGII,DGIN,DKRU,EEQU,FGIN,GGGI,GGIL,GGIM,GGIN,GILL,GILV,GRUW
NOO;
NOR;
NOS;
NOT;
NOW;
NOX;CFLU,CIPR,DIMW,FHTU,FIKS,FILU,IMOU,IOSU,OOSV
NOY;
NPU;BELL,BLMU
NPW;EEGI,HITU
NRU;
NSU;
NSY;FSUU
NTU;
NWY;CEKR,EHRT
OOP;
OOR;AARW,AIRW,EJVY
OOS;
OOT;
OOW;AARR,AIKK,AIKR,AIRR,BBHU,CEKP,CGRR
OOX;ABCL,ABPS,ADWW,AELZ,ALLT,AMRY,ATYZ,BBMO,BCCM,BCKL,BDET,BDLO,BEHS,BLOT,BLPT,BMOR,BOPR,BPST,EFHL,EHMS,EIMN,EMSY,ENTY,FLPW,FRTT,IMNU,IMPR,INSU,NOSV
OOZ;
OPP;CIKT
OPR;
OPS;
OPT;
OPU;
OPW;EETU,EITU,ETTU
OPX;AADR,ABOS,AIRR,ASTT,BLOT,BOOR,BOST,CINR,DHII,FHIS,FIST,FLOW,IMOR
OPZ;AAAR,AADI,AIMN,ALOY,CIKL,EELP,EORY,EOTY,HIIR
ORS;
ORT;
ORU;
ORV;
ORW;
OSS;
OST;
OSU;ACCQ,ACUV,AEEU,AEIQ,AEQU,AEVZ,BBOU,BIIV,BIOV,CIIV
OSV;CIIU,DOOO,HKOZ,NOOX
OSW;
OSX;ABCH,ABCR,ABOP,APTT,BFHI,BFLU,BGIN,BILT,BOPT,BRTY,DFOR,FFHI,FGIN,FHIP,FIKN,FIPT,INOU,NOOV
OSY;
OSZ;AABG,AABR,ABJZ,ACRY,GISY
OTT;
OTU;
OTW;CIKU,EEPU
OTY;CGIZ,CITU
OUY;AATT,CITT,DETT,FGLO,MNTT
OVW;
OVX;ADUU,EIMR,NOOS
OWW;AADX,AATY,ADOX,AKRR,AKRX,ALRT,AMRX,ANRR,ANRY,BDNO,BDOO,BEKR,BEMR,BLOR,CNOT,DLNO,EMNN
OWX;AADW,ADOW,AKRW,AMRW,DIMN,FLOP
OWY;
OXY;ALST,AOTZ
PPU;
PRU;
PRY;
PST;
PSU;IIKW
PSY;
PTU;
PTW;AHOT,GIIN,HORU,KOOR
PUY;CCHI,CIRV,EJRR
PXY;AHNR,AHSY,ALNT
QSU;ACCO,AKKO,ALOR,CEHI,CEHL,CEIL,CELO,EIIL,GHOO,MORU,MOTU
RSU;
RTU;
RTY;
RUY;AEGI,CCHH,GMYZ,IINQ
RWY;BEEH,CEKN,DEEE,DELL,EEHV,EEJL,EHOS,ENSS,HKOS
SSU;
STU;
STY;
SUW;ABZZ,AFPT,AIIT,BHLO,BIOT,BOOT,BORR,CEFR,CELR,EEER,EEPP,EFHI,EGHH,EGIY,EILR,EIRV,EITT,ELRY,ELRZ,ELZZ,EPPT,FHIL,FILT,FLOP,FORR,GOPR,HIOT,IIKP,IOTT,KOPR
SUY;CIST,FFIQ
SWY;
TTU;CGIN,CIRR,GGIN,GHIN,GIJN,GINN
TUU;AAPR,ABLR,ACEO,ACOR,ADLN,AELL,AFLR,AHIN,ALLN,BCZZ,BILN,BILP,CDEL,CELR,CEOR,DELO,DEOR,DFIL,DIMR,EFLN,ELRV,FHLR,FLOP,JMOP,LLOP,LNRV,LNRY,OOPR
TUX;AABE,AAEG,AAEI,ABEI,ACEI,ACEO,ACER,ADEE,AEEI,AIRV,BCKO,BEFI,CDEI,CEEE,CENP,DEER,EEIZ,EIMR,EIOQ,FHNO,IJNO
UWZ;ABSZ,BGIZ
UZZ;ACIJ,DEIQ,EHIS,EIQR,EIQS
ZZZ;AVYY
