AAB;B,C,L,R,S,Y
ESU;A,C,D,F,G,H,K,L,M,P,R,S,T,Y
ESV;A,D,E,I,L,O,R,S,T
ESW;A,B,D,E,F,H,I,J,K,L,M,N,O,P,R,S,T,Y
ESX;A,E,O,T,Y
ESY;A,B,C,D,E,F,H,K,L,M,N,O,P,R,S,T,U,W,X
ESZ;A,D,E,I,K,L,N,P,T
ETT;A,E,F,H,I,L,N,O,R,S,X,Y
ETU;B,C,D,G,I,J,L,M,N,R,S
ETV;E,I,N,O,R,S,X
ETW;A,E,F,H,I,L,N,P,R,S,Y
ETX;I,N,S,T,V
ETY;A,B,C,D,E,G,H,I,K,L,N,O,P,R,S,T,W
EUY;K,L,Q,S
EVX;T
EWX;E
EWY;D,H,L,O,S,T
EXY;D,S
EXZ;
EYZ;M,O
FFI;B,D,E,I,J,K,M,N,R,T,V,Y,Z
FFO;A,B,C,D,G,K,S,T,Y
FGI;O,R,S,T
FGO;A,F,I,L,O,R,S,W,Y
FGU;F,L,N,R,S,U
FHO;N,O,U,W
FIK;A,E,F,L,N,R,S,U,Y
FIL;A,C,E,K,L,M,O,P,R,S,T,X
FIN;A,D,E,F,I,K,O,R,S
FIR;A,B,E,F,G,K,L,M,N,S,T,Z
FIS;B,C,D,E,G,H,K,L,N,P,R,T
FIT;A,F,G,L,O,R,S,T,X
FIX;A,L,T
FIZ;F,R,Z
FLU;A,B,E,F,G,L,O,R,S,X
FLY;A,E
FMU;B,E,F,H,S,Y
FNO;A,C,D,E,H,I,S,T
FNU;A,D,E,F,G,K,S
FOO;C,D,G,H,L,M,P,R,S,T,W,Y
FOP;L,O,R,S,U
FOR;A,B,C,D,E,G,K,L,M,O,P,S,T,U,W
FOT;C,F,I,L,N,O,R,S,T,U
FOU;B,D,H,L,P,R,S,T
FOW;D,G,H,L,O,R,S,W
FOX;L,Y
FOY;A,B,F,G,O,S,X,Z
FRU;A,C,F,G,L,O,R,S,T,Y,Z
FRY;A,D,E,U
GGI;A,B,M,N,R,S
GHI;H,N,S,T,W
GHO;C,G,H,N,S,T,Y
GHU;A,C,E,N,P,S,T,V,Y
GIJ;O,S
GIL;A,B,D,E,L,M,N,R,S,T,U
GIM;A,G,L,N,P,R,S
GIN;A,B,D,E,G,H,K,L,M,N,O,P,R,S,T,W,Z
GIO;A,B,F,J,N,R,S,Y
GIP;M,N,R,S
GIR;A,B,D,F,G,L,M,N,O,P,R,S,T,Y,Z
GIS;B,C,D,E,F,G,H,J,L,M,N,O,P,R,S,T,V,W,Z
GIT;A,E,F,H,L,N,R,S,W
GIV;A,E,S
GIW;H,N,S,T
GIZ;N,R,S,Z
GJO;A,I,N,S
GJU;A,S
GLO;A,B,C,D,E,F,M,N,O,P,S,V,W,Y
GLU;A,E,F,G,I,L,M,N,P,R,S,T,Y
GMO;A,L,N,R,S
GMU;A,E,G,L,N,P,R,S
GMY;A,P,S
GNO;A,B,D,E,G,H,I,J,K,L,M,N,O,P,R,S,T,W,Y
GNU;A,B,D,E,F,G,H,K,L,M,P,R,S,T
GOO;B,D,F,G,K,L,N,P,R,S
GOR;A,B,C,E,F,G,I,K,M,N,O,P,S,T,W,Y
GOS;A,B,C,D,E,F,H,I,J,K,L,M,N,O,R,S,T,U,V,W,Y
GOT;A,E,H,N,R,S,U
GOV;E,L,S
GOW;D,F,K,L,N,R,S
GOX;
GOY;A,B,D,E,F,H,I,L,N,P,R,S
GPU;A,H,L,M,N,O,S
GPY;A,M,O,S
GRR;I,L
GRU;A,B,D,E,F,L,M,N,S,T,U
GSU;A,B,C,D,E,F,H,J,K,L,M,N,O,P,R,S,T,V,Y
GTU;E,H,L,N,O,R,S
GTY;E,S
GUV;G,H,S
GUY;A,H,L,S
HHO;A,G,P,S
HHS;A,E,H,I,O,U
HHU;N,S,U
HIK;A,C,E,O,S,T
HIM;A,C,I,S,W
HIN;A,C,D,G,S,T,W
HIO;A,I,K,R,S,T,W
HIP;C,S,T,W,Z
HIS;A,B,C,D,E,F,G,H,K,M,N,O,P,R,S,T,U,V,W
HIT;C,G,K,L,N,O,P,R,S,W
HIU;A,C,S
HMM;M
HMO;A,C,E,L,O,R,S,T,W,Y
HMU;A,C,F,P,S
HNO;A,C,D,E,F,G,J,K,O,P,R,S,T
HNT;A,E,I,O,U
HNU;A,G,H,K,S,T
HOO;B,C,D,F,K,L,M,N,P,R,S,T
HOP;A,C,E,H,K,L,N,O,Q,S,T,U,W,Y
HOR;A,C,E,I,K,M,N,O,S,T,U
HOS;A,B,C,D,E,G,H,I,J,L,M,N,O,P,R,S,T,U,W,Y,Z
HOT;A,B,C,D,E,G,I,L,M,N,O,P,R,S,U,W
HOW;A,C,D,E,F,I,K,L,M,P,S,T,W
HOX;A
HOY;A,D,G,L,M,P,S
HOZ;D,S
HPT;A,E,I,O,U
HPU;A,G,M,O,R,S,T,W
HPY;E,O,S
HRY;E
HSY;A,E,O,P,W
HTU;A,B,C,D,G,N,O,P,R,S
HTY;E,M
HWY;C,E,L,S
IIW;K,L,S
IJN;D,K,N,O,S,X
IJZ;Z
IKL;A,B,C,D,E,F,K,L,M,N,O,P,R,S,T
IKN;A,B,C,D,E,F,G,J,K,L,M,O,P,R,S,T,W,Y
IKO;H,J,L,M,N,S
IKP;A,C,E,I,L,N,P,S
IKR;A,B,C,D,E,F,K,L,M,N,S,U,Y
IKS;A,B,C,D,E,F,H,L,M,N,O,P,R,S,T
IKT;A,C,E,H,I,L,N,S,U
ILL;B,C,D,F,G,H,J,K,L,M,N,O,P,R,S,T,V,W,Y,Z
ILM;A,B,D,E,F,G,K,L,N,O,P,S,T,U,Y
ILN;A,B,D,E,G,K,L,M,N,O,R,S,T,Y
ILO;B,C,D,F,K,L,M,N,O,P,R,S,T,V,Y
ILP;A,B,C,E,F,I,K,L,M,O,R,S,U,Y
ILS;A,B,D,E,F,G,K,L,M,N,O,P,T,Y
ILT;A,B,C,E,F,G,H,J,K,L,M,N,O,R,S,T,U,W
IMM;A,E,O,Y
IMN;A,B,D,E,G,I,K,L,O,S,T,U,X,Y
IMO;A,C,D,K,L,M,N,O,R,S,T,X
IMP;A,D,G,I,J,L,P,R,S,U,W
IMR;A,B,C,E,F,G,I,K,O,P,S,T,U,V,Y
IMS;A,B,C,D,E,G,H,I,J,K,L,N,O,P,R,S,T,U,V,W
IMV;R,S
IMX;A,N,O,T,Y
IMZ;B,Z
INN;A,E,G,J,L,O,S,W
INO;A,C,D,E,F,G,J,K,L,M,N,P,R,S,T,V,W,Y
INP;A,E,G,K,O,R,S,T,Y
INQ;C,S,U
INR;A,B,D,E,F,G,K,L,O,P,S,T,U
INS;A,B,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,Y,Z
INT;A,B,D,E,G,H,I,K,L,M,O,P,R,S,T,U,V,W,Y
INU;A,C,M,Q,R,S,T
INV;A,E,O,S,T,Y
INW;A,D,E,G,H,K,N,O,S,T,Y
INX;E,J,M,Y
INY;A,B,K,L,M,O,P,S,T,V,W,X
INZ;A,C,E,G,S
IOP;L,N,S,T,V,Y
IOS;B,G,H,J,K,L,M,N,P,R,S
IPP;A,E,I,K,M,R,S,Y
IPR;A,C,D,E,G,L,M,N,P,S,T,U
IPS;A,C,D,E,F,G,H,K,L,M,N,O,P,R,S,T,V,W,Y,Z
IPT;A,D,E,H,I,N,O,R,S,T,U,Y
IPU;F,L,M,Q,R,T
IPX;Y
IPY;C,E,L,N,O,P,S,T,X
IPZ;E,H,S
IQS;N
IRS;A,B,C,D,E,F,G,H,I,K,M,N,O,P,S,T
IRT;A,B,C,D,E,F,G,H,L,M,N,O,P,R,S,T,W,Z
IRZ;A,F,G,O,T
ISS;A,B,C,D,E,G,H,K,M,N,O,P,R,S,T,W
IST;A,B,C,D,E,F,G,H,I,K,L,M,N,P,R,S,T,U,W,Z
ISU;D,H,M,N,T
ISV;A,B,D,E,G,H,M,N,P
ISW;A,E,G,H,I,M,N,P,S,T,Y,Z
ISX;A
ITT;A,B,D,E,F,I,L,M,N,O,P,R,S,W
ITU;A,C,D,E,K,L,M,N,P,Q,S
ITW;A,E,G,H,L,N,R,S,T
ITX;A,E,F,M
ITZ;A,D,E,I,R,S,Z
IVY;J,N,T,Z
IWZ;H,S
IZZ;F,G,H,J,M,T,Z
JLO;E,L,S,T,W
JNU;K
JOR;I,S,U
JOT;A,L,S
JOW;L,S
JOY;E,K,S
JSU;D,G,O,T
JTU;E,S
KNO;A,B,C,D,E,G,H,I,K,M,O,P,R,S,T,W,Z
KOP;A,C,E,H,L,N,O,R,S,U,Y
KOR;A,B,C,D,E,F,G,H,N,O,P,S,U,W,Y
KOS;A,B,C,E,G,I,L,M,N,O,P,R,S,U,W,Y
KOU;B,D,G,J,L,P,R,S,T,Y,Z
KOW;C,E,G,H,N,R,S
KOY;A,B,C,E,J,L,P,R,S,U
KST;A,E,I,S,U
KSU;A,B,C,D,E,F,G,H,L,M,N,O,R,S,T,Y
KSY;A,E,F,O,R,U
KUY;C,E,O,P,S,Y
LMO;A,D,E,G,H,I,L,O,S,T,Y
LMU;A,C,E,G,I,L,P,R,S
LMY;A,E,I,O,S
LNU;A,E,G,K,L,O,R,S,T,V,Y
LOO;A,B,C,D,E,F,G,H,I,K,M,N,P,R,S,T,W
LOP;A,C,D,E,F,G,H,I,K,L,O,P,S,T,U,W,Y
LOR;A,D,E,F,I,L,N,O,T,U,Y
LOS;A,B,C,D,E,G,H,I,J,K,M,O,P,S,T,U,V,W,Y,Z
LOT;A,B,C,D,E,F,H,I,J,L,M,O,P,R,S,T,U,V,W
LOU;C,D,F,K,N,P,R,S,T
LOV;A,E,G,I,K,S,T
LOW;A,B,C,D,E,F,G,H,J,N,O,P,S,T,Y
LOX;F
LOY;C,D,G,H,I,K,M,N,P,R,S,W
LOZ;A,L,S
LPU;A,E,G,I,K,L,M,O,P,R,S,U,Y
LPY;A,E,I,O,U
LRU;B,C,E,F,G,H,K,M,N,O,P,S,Y
LSY;A,E,I,M,O
LUU;A,L,P,S,Z
LUV;A,N,S
LUX;E,F
LUZ;L,T,U
LVY;E
MMM;H,U
MMO;A,C,E,I,S
MMU;A,M,P,S,U
MNO;A,E,G,I,K,O,R,S,U,W,Y
MNU;A,B,E,G,I,O,S,T
MNY;A,H,I,O
MOO;B,C,D,F,H,I,J,K,L,N,P,R,S,T,V,Z
MOP;C,E,O,P,R,S,U,Y
MOR;A,B,C,D,E,F,G,H,I,N,O,P,S,T,U,W
MOS;A,B,C,D,E,G,H,I,K,L,M,N,O,P,R,S,T,U,V,W,Y
MOT;A,B,E,H,I,L,O,R,S,T,U
MOU;A,B,D,E,N,P,R,S,T,V
MOV;E,O,S,U
MOW;A,B,E,H,N,R,S
MOY;A,B,D,H,L,N,P,S,X
MOZ;E,O,Z
MPU;A,B,D,G,H,I,J,L,M,O,P,R,S,T,Y
MRU;A,D,E,G,I,K,L,O,P,R,S,T
MSU;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,V,W,Y
MTU;A,E,I,N,O,P,R,S,T
MUU;M,S
MUV;O,S
MUX;
MUY;F,P,S
NNO;A,C,E,G,I,O,U,W
NNU;B,O,S
NOO;B,C,D,G,H,K,L,M,N,P,R,S,T,W,Z
NOR;A,B,C,E,G,H,I,K,L,M,O,P,S,T,U,W,Z
NOS;A,B,C,D,E,F,G,H,I,K,M,O,P,R,S,T,U,W,Y
NOT;A,E,F,G,H,I,K,O,P,R,S,T,U,W,Y
NOW;A,D,E,G,I,K,L,M,N,O,P,R,S,T,Y
NOX;A,E,Y
NOY;B,C,D,G,I,L,M,P,S,T,W,X
NPU;A,G,K,O,S,T,Y
NPW;A,O,S
NRU;A,B,C,D,E,G,I,K,L,O,R,S,T
NSU;A,B,D,F,G,H,I,K,L,M,N,O,P,R,S,T
NSY;A,C,D,E,I,O,W
NTU;A,B,C,D,E,G,H,I,K,L,M,O,P,R,S,Y
NWY;A,D,I,N,O,S
OOP;C,D,F,G,H,K,L,M,N,P,R,S,T,Y
OOR;B,D,F,G,H,K,L,M,N,P,S,T,Z
OOS;B,C,D,E,F,G,H,K,L,M,N,P,R,T,W,Y,Z
OOT;B,C,F,H,K,L,M,N,P,R,S,T,W,Y,Z
OOW;D,F,L,N,S,T
OOX;
OOZ;B,E,M,N,R,S,T,U,Y
OPP;E,L,M,O,R,S
OPR;A,B,C,D,E,F,G,K,M,N,O,P,S,T,U,W,Y
OPS;A,B,C,D,E,F,H,I,K,L,M,N,O,P,R,S,T,U,W,Y
OPT;A,E,H,I,L,N,O,R,S,T,U,Y
OPU;A,C,D,F,G,H,K,L,M,N,Q,R,S,T
OPW;C,D,H,L,N,R,S
OPX;E,Y
OPZ;Z
ORS;A,B,C,D,E,F,G,H,I,J,K,M,N,O,P,T,U,V,W,Y
ORT;A,B,C,D,E,F,G,H,I,L,M,N,O,P,R,S,T,U,V,W,Y
ORU;A,C,D,E,F,H,J,K,L,M,N,P,S,T,V,X,Y
ORV;A,E,I,S,T,U,W
ORW;A,B,C,D,E,F,G,K,M,N,P,S,T,V
OSS;A,B,C,D,E,F,G,H,I,J,K,L,M,N,P,S,T,U,V,W,Y
OST;A,B,C,D,E,F,G,H,J,L,M,N,O,P,R,S,T,U,W,Y
OSU;D,F,G,H,J,K,L,M,N,P,R,S,T,Y
OSV;A,B,E,G,L,M,R,S,W
OSW;B,C,D,E,F,G,H,J,K,L,M,N,O,P,R,S,T,V,W,Y
OSX;E
OSY;A,B,C,D,E,F,G,H,J,K,L,M,N,O,P,R,S,T,U,W
OSZ;D,H,L,O
OTT;B,C,E,F,I,L,M,N,O,P,R,S,U,W
OTU;A,B,D,F,G,H,K,L,M,N,P,R,S,T
OTW;D,H,L,N,O,R,S,T,Y
OTY;A,B,D,E,N,O,P,R,S,W
OUY;B,K,R,S
OVW;A,E,R,S
OVX;
OWW;F,H,S
OWX;
OWY;C,E,L,N,S,T
OXY;B,C,D,F,M,N,P,R
PPU;A,L,M,S,U
PRU;A,B,E,H,I,L,M,O,R,S
PRY;A,E,O,S,T
PST;A,E,I,O,S,U
PSU;A,B,C,D,E,G,H,L,M,N,O,P,R,S,T,Y
PSY;A,E,G,H,I,O,R,U
PTU;A,H,I,M,N,O,S,T,Z
PTW;E
PUY;A,B,K,L,M,N,S
PXY;I,O
QSU;S
RSU;A,B,C,D,E,F,G,H,K,L,M,N,O,P,T,U,Y
RTU;A,B,C,D,E,F,G,H,K,M,N,O,R,S,Y
RTY;A,E,O,P,U
RUY;B,D,F,J,L,O,S,T
RWY;A,I
SSU;B,C,D,E,F,G,H,K,M,N,O,P,Q,S,U,W
STU;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,R,T,U
STY;A,C,E,G,O,X
SUW;D,M,S
SUY;A,B,E,G,K,M,O,P,R
SWY;A,E,H,I,N,O
TTU;A,B,F,M,O,P,S,U
TUU;K,S,T
TUX;
UWZ;
UZZ;B,F,M,T
ZZZ;I,S
