AABB;D,G,K,S,Y
AGMP;O,R,S
AGMR;A,E,O,P,S,U
AGMS;A,B,E,G,I,L,N,O,P,R,U
AGMU;G,L,M,N,R,S,T,Y
AGMY;A,E,M,N,U
AGNN;A,I,O,W
AGNO;B,C,D,E,F,H,I,L,M,N,P,R,S,T,U,W,Y,Z
AGNP;A,H,I,O,R,S,U
AGNR;A,D,E,I,K,L,O,P,R,S,T,W,Y
AGNS;A,B,C,D,E,F,G,H,I,K,L,M,O,P,R,S,T,U,V,W,Y
AGNT;A,E,H,I,O,R,S,U,W,Y
AGNU;A,B,E,G,M,O,P,S,T
AGNV;E,S
AGNW;D,H,I,N,O,R,S,T
AGNY;D,E,G,K,M,O,R,S,T
AGOP;D,I,K,L,M,N,R,S
AGOR;A,B,C,G,I,L,M,N,P,S,T,U,Y
AGOS;D,F,I,J,K,L,M,N,P,R,S,T,Y
AGOT;C,E,F,L,M,N,R,S,T,V,Y
AGOY;H,N,R,S,T,Z
AGPS;E,M,N,O,R,S,U,W,Y
AGPU;N,S
AGPW;S
AGPY;L,P,R,S
AGQU;S
AGRS;A,B,C,D,E,F,G,I,M,N,O,P,S,T,U,V,Y
AGRT;A,E,F,H,I,N,O,S,U
AGRU;D,E,L,M,O,S,T,U
AGRV;E,I,S,Y
AGRY;E,G,L,N,O,P,S,V
AGSS;A,C,E,H,K,L,N,O,P,R,T,U,W,Y
AGST;A,E,H,I,N,O,R,S,Y
AGSU;D,E,G,H,K,L,M,N,P,Q,R,S,V,Y
AGSV;A,E,I,N,R,U
AGSW;D,E,K,N,P,S,Y
AGSY;E,G,I,L,N,O,P,R,S,T,U,W
AGSZ;E
AGUY;C,D,M,S,W,Z
AGYZ;L,O,U,Y
AHHO;R
AHHS;A,R,S,Y
AHHT;A,C,E,I
AHIJ;B,D,J,R,S
AHIK;A,C,D,K,M,N,S,T,U,Z
AHIL;C,D,G,P,R,S,T,Y
AHIM;B,C,K,R,S,T
AHIN;C,D,G,K,S,T,U
AHIO;C,S
AHIR;C,J,L,M,S,T,U,Y
AHIS;B,C,D,I,J,K,L,M,N,O,P,R,T,U,V,W
AHIU;K,N,R,S,T
AHIY;L,R
AHJJ;I
AHKL;A,C,S
AHKN;C,E,I,S,T,Y
AHKO;J,O,P,S
AHKP;H,O,S
AHKR;C,S
AHKS;A,C,D,E,F,I,L,N,O,P,R,S,T,U,W,Y
AHKT;C,I,N,S
AHKU;E,G,I,S
AHKW;C,S
AHLL;A,O,S,U
AHLM;A,E,O,S,U
AHLO;A,C,D,E,L,M,N,R,S,T
AHLR;A,C,E,I,O,P,S
AHLS;B,C,D,E,F,I,K,L,M,O,P,R,S,T,U,W,Y
AHLT;A,C,E,I,O,S,U,Y
AHLU;C,D,E,G,L,M,N,S,T
AHLY;E,I,P,S,T
AHMO;A,B,C,E,G,L,R,S,U,W
AHMR;A,C,E,I,O,P,S,T,U
AHMS;A,C,E,I,L,O,P,R,S,T,U,W,Y
AHMT;C,E,I,R,S,U
AHMU;A,L,M,N,O,R,S,T
AHMW;A,O,S
AHNO;C,D,G,L,N,S
AHNR;C,S
AHNS;A,D,E,G,I,K,O,R,S,T,U,W
AHNT;A,C,E,G,I,K,S,U,X
AHNU;B,C,D,I,L,M,S,T
AHNW;G,S
AHNY;D,E,K,M
AHOP;C,K,S
AHOR;A,B,C,D,H,L,M,S,T,Y
AHOS;B,C,D,I,K,L,M,N,P,R,T,Y
AHOT;C,L,R,S,Z
AHOW;C,M,O
AHOX;
AHOY;G,O,R,S
AHPR;C,E,G,L,M,S,U,Y
AHPS;A,C,E,I,K,L,M,O,R,S,T,U,W
AHPT;C,S
AHPU;J,R,S,W
AHPW;S,U
AHRS;A,B,C,D,E,H,I,K,L,M,N,O,P,T,U,Y
AHRT;A,C,E,G,I,M,O,S,W,Y
AHSS;D,E,G,H,K,L,M,N,P,T,W,Y
AHST;A,B,C,D,E,F,G,I,K,L,M,N,O,P,R,S,T,W,Y
AHSW;A,C,E,I,K,L,M,N,P,S,T,Y
AHSY;A,C,D,E,H,K,L,M,O,R,S,T,W
AHTT;E,S,U
AHTU;B,E,G,I,J,L,M,N,T,Y
AHTW;A,C,E,R,S,Y
AHYZ;
AIIL;A,B,C,D,L,M,O,T
AIIN;C,D,M,P
AIIX;S
AIJL;S,W
AIJO;R,S,U
AIJS;B,E,H,L,O
AIKK;A,C,H,M,S,T
AIKL;A,B,E,F,G,M,N,P,S,T,V
AIKM;H,K,L,O,R,S,U,V
AIKN;B,D,G,H,J,L,S,T,U
AIKP;L,O,P,Q,R,S,U
AIKR;A,F,I,M,O,P,R,S,T,U
AIKS;A,C,D,E,F,H,K,L,M,N,O,P,R,S,T,U,V,Z
AIKT;A,B,H,K,L,N,O,R,S,T
AIKU;D,H,M,N,P,R,S,Z
AIKV;L,M,S
AIKZ;H,S,U
AILM;A,B,C,E,I,K,L,M,N,P,R,S,U,X
AILN;A,B,C,D,E,F,G,K,M,O,P,S,U,V,W,Y
AILP;B,C,D,E,F,H,K,M,N,O,P,R,S,T,U,W
AILR;A,B,D,E,F,G,H,M,P,S,T,U,V,Y
AILS;A,B,C,D,E,F,G,H,J,K,L,M,N,P,R,S,T,V,W,X,Z
AILT;B,C,D,E,H,I,K,P,R,S,T,V,Y
AILV;A,C,D,E,K,L,N,O,R,S,T
AILW;E,G,J,N,P,S
AILX;A,C,E,M,S
AILZ;E,L,S,Z
AIMM;E,L,S,U,X
AIMN;A,C,D,E,G,I,L,O,P,R,S,T,V,Z
AIMO;D,G,K,N,R,T,U,W,X
AIMP;C,L,N,R,S
AIMR;A,B,C,D,E,F,H,I,K,L,N,O,P,R,S,T,U,Z
AIMS;A,B,C,D,E,G,H,K,L,M,N,P,R,S,T,V,W,X
AIMX;D,L,M,O,S
AINN;D,E,G,J,O,P,W
AINO;C,D,G,L,M,N,P,R,V,X
AINP;A,C,G,I,L,M,N,O,S,T,V
AINR;A,B,C,D,E,F,G,M,O,S,T,U,V,W,Y,Z
AINS;B,C,E,F,G,H,K,L,M,P,R,S,T,U,V,W,Y,Z
AINT;C,D,E,F,G,H,K,M,P,R,S,T,U,W
AINU;B,C,H,K,L,Q,R,S,T,X
AINV;A,B,C,D,E,L,M,O,P,R,S
AINW;D,G,L,N,R,S,T
AINY;L,R,S,X,Z
AINZ;E,G,M,R,S,Y
AIOT;B,C,D,K,M,P,R,S
AIPP;H,K,L,P,S,U
AIPR;C,D,E,G,I,K,L,M,S,T,U
AIPS;A,C,D,E,H,K,L,M,N,O,P,R,S,T,V
AIPT;E,L,N,O,R,S,T
AIQU;L,M,N,R,S
AIRS;A,B,C,D,E,F,G,H,K,L,M,N,P,R,S,T,U,V,W,Z
AIRT;A,C,D,E,F,G,H,K,L,M,N,O,P,S,T
AIRV;A,B,C,E,G,L,N,S,X,Y
AIRW;N,R,S,Z
AIRY;D,E,F,H,L,N,V
AIRZ;D,E,M,N,S,W
AISS;A,B,C,D,K,L,M,N,O,P,R,T,V
AIST;A,B,D,F,G,H,K,L,M,N,O,P,R,S,T,U,V,W,X,Z
AISV;D,E,G,H,K,L,M,N,O,P,R,S,T,V
AISW;D,F,H,L,M,N,R,T
AISX;I,L,M,T
AITT;C,E,G,K,L,N,P,R,S,V
AITU;D,G,H,N,S
AITV;C,D,E,L,S,T,V
AITW;A,E,F,N,S
AITX;E,S
AITZ;S,Z
AIVV;D,S,T
AJKR;E,O,S
AJKS;C,E,R,U
AJKU;S
AJLR;S,U
AJMS;B,E
AJNN;A,I,S,Y
AJOS;G,I,S,T,U
AJOT;B,S
AJPR;E,S
AJPS;A,E,R,S,U
AJPU;H,S
AJRS;A,E,K,L,P
AJRU;L,M,T
AJSS;O,P
AJSW;
AJSY;E
AJXY;
AJYZ;Z
AJZZ;Y
AKKO;M,P,R,S,W
AKKR;O,S
AKKS;A,C,E,I,N,O,R,Y
AKKY;A,C,S,T
AKLN;B,C,E,F,G,I,P,R,S,U,Y
AKLO;A,C,G,P,S
AKLP;A,C,I,N,O,S,U
AKLR;A,E,N,S,Y
AKLT;A,E,I,S,U,Y
AKLU;B,C,K,N,P,S,T,W
AKLW;E,S,U
AKLY;B,D,E,F,L,N,R,T
AKMO;I,K,R,S,U
AKMR;A,E,I,O,S
AKMS;A,C,E,I,O,R,S,W
AKMW;S,Y
AKNO;B,E,P,R,S,T
AKNP;E,L,O,R,S,U
AKNR;B,C,D,E,F,G,L,O,P,S,T,U,Y,Z
AKNS;A,B,C,D,E,F,G,H,I,K,L,O,P,R,T,U,W,Y
AKNT;A,E,H,I,O,R,S,W,Y
AKNU;I,L,P,R,S,Z
AKNW;E,S,T,Y
AKNY;D,G,H,L,M,R,S,T,W
AKOP;A,E,G,H,I,K,L,N,O,P,S,W,Y
AKOR;B,C,E,I,J,K,M,N,O,S,T,U,W
AKOS;B,G,H,I,K,L,M,N,P,R,S,T,Y
AKOT;E,F,I,N,R,S,U,Y
AKOY;P,S,T,W
AKPR;A,I,N,S,Y
AKPS;A,C,E,H,I,L,N,O,R,U,W
AKPU;C,I,K,L,N,S,T
AKPW;O,S,Y
AKRR;E,I,S
AKRS;A,B,C,D,E,H,I,J,K,L,M,N,O,P,R,S,T,U,W,Y
AKRT;A,C,E,F,I,N,O,S,U
AKRU;B,I,N,O,Q,S,T,U,Y
AKRW;C,E,O,S
AKRY;A,B,D,L,N,P,S,U,Z
AKSS;B,C,E,G,H,I,M,O,R,T,U,V,W
AKST;A,C,E,H,I,L,N,O,R,S,T,U,Y
AKSU;B,C,D,E,G,H,I,J,L,N,P,R,S,T,W
AKSV;A,I,S
AKSW;A,B,C,D,E,F,G,H,L,M,N,P,R,S,U
AKSY;C,H,K,N,O,R,T
AKTU;L,O,P,R,S
AKTY;C,K,L,N,O,S
AKUW;A,L,S
ALLL;E,S,Y
ALLM;A,I,O,S,U,Y
ALLO;C,D,H,M,N,R,S,T,V,W,Y
ALLP;A,E,S,Y
ALLS;A,B,C,E,F,G,H,I,L,M,O,P,T,W,Y
ALLT;O,S,Y
ALLW;A,O,S,Y
ALLY;A,B,D,E,G,K,L,M,O,P,R,S,T,W,X
ALMM;A,E,F,I,S,Y
ALMO;A,C,D,E,G,H,L,N,O,R,S,T,U,Y
ALMP;C,E,I,S,U,Y
ALMR;A,E,I,O,S,U,Y
ALMS;A,B,C,E,F,G,H,I,L,M,O,P,R,S,T,U,Y
ALMT;A,E,O,S,Y
ALMU;A,B,D,E,G,H,I,L,N,O,P,Q,R,S
ALMY;B,C,D,E,F,L,M,N,O,P,R,S,T
ALNO;D,E,G,H,I,L,M,P,R,S,T,W,X,Y,Z
ALNP;E,I,K,O,S,T,U
ALNR;E,G,K,O,S,T,U
ALNT;A,E,O,P,R,S
ALNU;A,B,D,E,H,I,K,L,M,N,P,R,S,W,Y
ALNW;B,E,F,I,O,S,U,Y
ALNX;O,Y
ALOO;B,F,G,M,P,S
ALOP;C,D,E,G,I,J,K,N,O,R,S,T,U
ALOR;B,C,E,F,G,H,L,M,N,P,R,S,T,V,Y
ALOS;A,B,C,D,E,F,G,H,K,L,M,N,O,P,R,S,T,U,V,W,Z
ALOT;B,C,D,F,G,H,L,M,N,P,R,S,T,V,X
ALOV;C,E,G,I,L,R,S,T,V
ALOW;B,C,D,E,G,L,N,S
ALOZ;C,E,N,S,Z
ALPP;A,E,I,S,U,Y
ALPS;A,C,D,E,F,H,I,K,L,M,N,O,P,S,T,U,W,Y
ALPT;A,C,E,I,N,O,S,T,U,Y
ALPU;C,E,I,K,M,N,O,P,S,T,Y
ALPW;I,S
ALPY;A,E,G,H,L,M,P,R,S,T,U
ALRS;C,D,E,F,H,I,J,K,M,N,O,T,U,Y
ALRY;A,C,D,E,F,G,I,K,L,M,O,P,S,T,W
ALSS;A,B,C,E,G,H,I,M,O,P,T,U,W,Y
ALST;A,B,C,D,E,F,H,I,K,L,M,N,O,P,R,S,U,W,Y
ALSU;A,B,C,D,E,F,G,H,K,M,N,O,P,R,S,T,U,V,W
ALSV;A,E,I,O,U,Y
ALSW;B,C,D,E,F,H,I,K,L,N,O,P,S,T,U,W,Y
ALSY;A,B,C,D,E,F,G,H,L,M,P,R,S,T,V,W
ALTU;B,C,D,E,F,G,H,K,P,R,S,V
ALTW;R,S,Y,Z
ALUU;S,V
ALUV;E,S,T,U,V
ALUW;F,K,N,S
ALWW;R,S
ALWY;A,B,F,L,N,R,S,T
ALYZ;G
AMMO;B,C,M,N,S,Y
AMMR;S,Y
AMMS;A,E,I,L,O,R,U,Y
AMMU;G,H,I,S
AMNO;C,D,G,I,J,L,M,R,S,T,W,Y
AMNS;A,D,E,G,I,O,U,W,Y
AMNU;D,F,G,H,J,L,N,R,S,Y
AMNW;O,S
AMNY;A,E,G,H,K,L,O,S,T,U
AMOR;A,C,E,F,G,H,I,J,K,L,N,Q,R,S,T,U,W,Y
AMOS;A,B,C,F,G,H,K,L,M,N,R,S,T,U,W,X,Y
AMOT;G,I,L,N,R,S,W,Y,Z
AMOU;D,H,I,K,L,R,S
AMOW;H,I,N,R,S,T
AMOX;I,S
AMOY;F,L,M,N,R,S,T
AMPR;A,C,E,G,H,I,S,T
AMPS;C,D,G,H,I,L,R,S,T,U,V,W
AMPT;R,S
AMPU;A,L,S
AMPV;S,Y
AMRS;A,B,C,D,E,F,G,H,I,K,L,M,O,P,T,U,W,Y
AMRT;E,H,I,O,P,S,Y
AMRU;B,D,G,H,I,J,L,N,O,R,S,U,V
AMRW;O,S,Y
AMRY;B,C,D,E,L,M,O,R,S,T,V,W
AMSS;A,C,E,H,I,K,L,O,P,T,U,W,Y
AMST;A,E,H,I,L,O,P,R,S,T,U,Y
AMSU;C,D,E,F,G,H,L,M,N,O,P,R,S,T,W,Y
AMSW;D,E,H,I,K,N,O,P,R,S,U,Y
AMSY;A,B,C,E,H,L,M,N,O,R,S,T,U,W,Z
AMTT;E,S
AMTU;A,D,G,H,S,Z
AMTY;E,I,L,M,N,O,R,S
AMYZ;E,S,U
ANNO;C,D,F,G,H,I,S,Y
ANNS;A,B,C,E,J,O,U
ANOR;B,C,D,G,I,K,L,M,P,S,T,W,Y
ANOS;A,B,C,D,E,F,G,H,K,L,M,N,R,T,V,X,Y,Z
ANOT;B,C,E,G,K,L,M,P,R,S,T,U,X,Y
ANOV;E,I,S
ANOW;C,D,G,L,M,P,R,Y
ANOX;A,C,E,I,L,S,T
ANOZ;B,D,E,G,L,S
ANPS;A,D,E,G,I,K,L,S,T,U,W,Y
ANPT;E,I,L,O,S,U,Y
ANPU;C,G,K,L,R,S,T,Y,Z
ANPW;O,R,S
ANRS;A,B,C,D,E,F,G,H,I,K,L,O,S,T,U,W,Y
ANRT;A,B,D,E,G,I,K,L,O,Q,S,T,U,Y
ANRU;A,B,E,F,I,K,L,M,P,S,T,Y,Z
ANRW;A,B,D,E,G,I,O,P,S
ANRY;B,C,D,E,G,I,K,O,P,S,T,U
ANSS;A,B,C,D,E,G,H,I,P,R,T,W,Y
ANST;A,B,C,D,E,G,H,I,K,L,O,P,R,S,U,V,W,Y
ANSU;A,B,D,E,F,G,H,I,K,L,M,N,P,R,T,U,W,Y
ANSV;E,G,I,O,T
ANSW;B,D,E,F,G,H,I,K,L,M,P,R,S,T,U,Y
ANSY;C,D,E,G,I,K,M,O,P,R,S,T,U,W
ANTU;B,D,G,H,I,J,N,O,P,Q,R,S,T,V,X,Y
ANTV;A,S,U
ANTW;G,I,K,S,Y
ANUU;S
ANUY;B,L,M,O,P,R,S,T
ANVY;V
ANWY;E,F,K,L,O,S,T,Y
ANYZ;I
AOPR;C,E,G,L,N,P,S,T,U,V,Y
AOPS;C,D,E,G,H,I,K,L,R,S,U,Y
AOPT;C,D,E,I,L,N,R,Y,Z
AOPU;L,R,S
AORR;B,D,F,L,M,S,W,Y,Z
AORS;B,C,D,E,F,G,H,K,L,M,N,O,P,R,S,T,U,V,W
AORT;A,B,C,D,E,G,H,I,K,L,M,N,O,P,S,T,X,Y
AORU;D,G,K,M,P,S
AORV;B,F,L,P,S,Y
AORW;D,J,K,M,N,R,S
AORY;B,C,F,G,H,L,M,N,P,R,T,V
AOSS;B,C,D,E,F,G,I,J,K,L,M,P,R,T,Y
AOST;B,C,D,E,F,G,H,I,J,K,L,M,N,R,S,T,U
AOSV;E,I,L,N,R,W,Y
AOSY;F,G,H,K,M,N,P,S,V
AOTU;B,C,F,K,N,Q,S,T
AOTY;D,G,K,M,N,P,R
AOVW;S
APPR;E,O,S
APPS;A,E,I,L,R,U,Y
APPU;C,E,I,L,S,Y,Z
APPY;A,G,H,L,N,P,S,U,Y,Z
APRR;A,E,S,Y
APRS;A,B,C,D,E,F,G,H,I,J,K,M,O,P,R,S,T,U,W,Y
APRT;A,E,I,M,O,S,T,U,W,Y
APRU;D,E,H,I,N,O,S,T
APRW;E,N,S,T
APRY;C,D,E,G,H,K,L,N,O,R,S,T
APSS;E,G,H,I,J,L,M,N,O,R,T,W,Y
APST;A,C,E,H,I,L,M,N,R,S,U,W,Y
APSU;A,B,C,E,G,H,J,K,L,M,N,O,P,R,T,Y,Z
APSV;E,I,M
APSW;A,G,H,K,L,M,N,R,S,T,Y
APSY;A,C,D,G,L,N,O,P,R,S,T,U,W
APSZ;A,U,Z
APTU;C,E,K,L,N,R,S
APTY;E,L,N,O,R,S,T
APUY;L,N,P,S
APUZ;N,P,S
APWY;K,S
AQST;U
AQTU;E,N,O,R,S
AQUY;D,K,S
ARRY;A,B,C,E,H,M,O,P,S,T
ARSS;B,C,D,E,F,G,I,K,N,O,P,T,U
ARST;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,W,Y,Z
ARSU;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,V,W,Y
ARSV;A,E,G,I,O,U
ARSW;B,C,D,E,F,I,K,M,N,O,P,T,U
ARSY;A,B,C,D,E,F,G,H,K,L,M,N,P,R,T,U,X
ARTT;A,C,E,I,N,O,P,S,T,U,Y
ARTU;B,C,E,G,J,K,L,N,P,Q,S,T,Y
ARTW;E,H,L,P,S,Y
ARTY;A,B,D,E,F,H,L,M,N,O,P,R,S,T,U,W
ARTZ;S
ARUV;M,S
ARUW;H,S
ARVY;C,D,E,G,I,M,O
ARWY;B,E,L,M,T
ARXY;B,H,S
ARZZ;
ASSS;E,Y
ASST;A,B,C,E,F,G,H,I,K,L,M,N,O,P,R,T,U,V,W,Y
ASSV;E,I,K,T
ASSW;B,C,D,E,G,H,K,L,M,N,P,T,Y
ASSY;A,B,E,G,H,L,M,N,O,P,S,T,W
ASTT;B,C,E,H,I,K,M,O,R,S,T,U,W,Y
ASTU;A,B,C,D,E,F,I,K,L,M,N,O,P,Q,R,S,T,V,X
ASTV;A,E,I,N,S,U,Y
ASTW;A,D,E,F,H,I,L,N,P,R,S,T,Y
ASTY;A,B,E,G,H,K,L,M,N,P,R,S,T,V,W
ASUV;E,F,G,L,R,T
ASUY;C,D,G,M,N,P,Q,R
ASVV;I,Y
ASVW;E,O
ASWW;A,E,L
ASWY;A,G,H,L,M,N,P,S,T
ASYY;
ATTT;R,S,Y
ATTU;B,G,H,N,O,R,S
ATTW;S
ATUV;E,L,N,S
ATWY;B,H,L,N,R,S
AVWY;E
AWXY;
AWYY;B,E,N
AWZZ;
BBBI;S
BBCO;A,S,Y
BBEI;K,L,R,S
BBEL;A,I,S
BBES;A,I,L,Y
BBIJ;A,S
BBIS;B,D,E,J,S
BBLO;I,O,S,Y
BBLU;A,R,S
BBMO;E,I,O,S,U,Y
BBOO;A,G,L,M,S,Y
BBOS;A,C,L,M,O
BBOU;D,M
BBRU;L,S,Y
BBSU;A,L,R,U,Y
BBUU;S
BCEI;A,D,P,S
BCEK;E,S
BCEU;B,D,N,R,S
BCHI;A,M,R,S,T
BCHU;N,S,T,U
BCIR;A,H,K,O,S
BCKO;L,R,S,U
BCKU;O,S,U
BCLO;E,I,K,M,S,Y
BCLU;S
BCMO;E,I,L,O,R,S,Y
BCOS;B,K,L,M,R
BCRU;E,M,O,S
BCSU;A,E,H,K,L,R
BDEE;B,I,L,M,R,S,T,W,Y
BDEI;A,C,D,E,G,J,K,L,M,O,P,R,S,T
BDEL;A,E,I,N,O,U
BDEN;A,L,O,S,U,Y
BDEO;A,D,G,I,J,K,L,M,N,O,R,S,W,X,Y
BDER;A,E,I,O,S,U,Y
BDES;A,E,I,N,O,R,T,U,Y
BDET;A,E,I,S,U
BDEU;A,C,D,G,L,M,N,R,S,T
BDEY;A,B,D,E,G,K,N,O,R,S
BDII;F,N,S
BDIN;I,L,O,S,U
BDIR;A,E,S
BDIS;B,E,I,N,R,U
BDIU;L,N,S
BDLO;A,E,N,O,S
BDLU;A,E,I,S,Y
BDMU;E,O,S
BDNO;E,I,L,R,S,U
BDNU;E,H,I,O,S,T,U,Y
BDOO;A,E,L,R,S,Y
BDOR;A,E,N,O,S,U
BDOS;A,E,L,N,O,R,U
BDOU;B,M,N,R,S,T
BDOY;B,E,O
BDRU;E,O,S
BDSU;A,E,I,L,M,N,O,R
BEEF;S,Y
BEEH;C,N,S,T
BEEL;A,C,D,E,G,I,J,L,N,P,R,S,T,V,Z
BEEN;H,K,L,M,N,S,T
BEEP;L,S
BEER;A,B,C,D,G,L,M,O,R,S,T,V,W,Y
BEES;D,E,F,H,L,N,O,P,R,S,T,Z
BEET;B,D,G,H,L,N,R,S,W
BEGI;A,D,E,L,N,O,R,S,W,Y
BEGO;D,F,I,L,M,R,T,U,Y
BEGR;A,E,I,O,S,U
BEGS;I,R,Y
BEGY;D,I,L,O,S
BEHL;A,C,S
BEHR;A,S,T,Y
BEHT;A,E,R,S
BEIJ;D,R,S
BEIK;B,D,I,R,S,U
BEIL;B,D,E,G,L,O,R,S,T,V,Z
BEIN;G,N,O,R,S,Y,Z
BEIR;A,B,D,F,G,J,K,L,N,R,S,T,Z
BEIS;A,B,C,D,G,J,K,L,N,O,R,S,T,V,Z
BEIT;D,F,L,O,R,S,T,Z
BEIV;L,S,X,Y
BEIX;M,V
BEIZ;A,L,N,R,S,T
BEJN;U
BEJO;D,S,T
BEJU;N,S
BEKM;O,S
BEKO;B,D,H,L,M,O,R,S
BEKR;A,I,O,S,U
BEKS;A,C,I,M,O,R,U,Y
BEKU;I,R,S
BEKY;A,D,S
BELL;A,E,I,S,Y
BELO;C,D,G,I,K,M,N,O,R,S,T,U,W
BELP;E,S,Y
BELS;A,B,E,H,I,L,O,P,S,T,U,Y
BELT;A,E,I,N,O,R,S,U
BELU;D,G,M,O,R,S,T,Y
BELW;O
BELY;A,G,L,P,R,S,U
BEMO;B,C,D,G,I,K,L,P,R,S,W,X,Y
BEMR;A,E,O,S,U
BEMW;A,O,S
BENO;A,C,D,I,L,N,R,S,T,W,X,Y,Z
BENR;A,I,O,S,T
BENS;A,D,E,I,O,R,S,T,W
BENT;E,L,O,R,S,Y
BENU;A,C,D,G,J
BENW;O,S
BEOO;D,K,L,S,Z
BEOP;B,M,R,S
BEOR;A,B,C,D,E,G,K,L,M,N,P,R,S,V,W,X,Y
BEOS;D,E,I,J,K,L,M,N,O,P,R,T,U,W,X,Y
BEOT;G,I,J,L,N,S,T,U,W
BEOY;D,G,M,N,R,S
BEPU;S,Y
BERR;A,E,I,O,S,Y
BERS;A,D,E,G,H,I,K,M,N,O,R,U,V,W,Y
BERU;C,D,G,K,L,M,S,T,X,Y
BERV;A,E,O,S
BERW;E,O,S
BERY;A,C,D,E,H,L,O,R,S,U
BEST;A,D,E,H,I,L,N,O,S,U,Y
BESW;A,M,N,O,R
BESY;A,B,D,G,K,L,O,R,T
BETU;A,D,L,O,R,S,T
BETY;A,N,S,T
BEUZ;A,B,S
BEVY;I,V
BFFI;O,S,U,Y
BFFO;I,O,S,U
BFFU;A,E,I,L,O,S,Y
BFIR;A,E,O,S,U
BFIS;F,R
BFLO;S
BFLU;F,S
BFMU;S
BFOR;I,S,Y
BFOS;F,L,R,U,Y
BFOU;E,F,S
BFOY;O,R,S
BFSU;F,L,M,O,Y
BGGI;S,Y
BGIL;E,I,N,O,S,Y
BGIN;E,L,O,R,S,Y
BGIO;B,E,L,N,S,T
BGIR;E,N,S
BGIS;E,G,L,N,O,R,U
BGLO;E,I,S,Y
BGNO;A,I,O,S
BGNU;A,E,R,S,Y
BGOO;B,M,N,R,S,Y
BGOR;A,E,H,O,S,U
BGOS;I,L,N,O,R,U,Y
BGOY;B,E,G,L,O,S
BGRU;E,H,N,O,S,Y
BGSU;I,N,O,R
BHIS;A,C
BHLU;S
BHOO;S,T
BHOS;A,O
BHOT;C,O,R,U,Y
BHRU;G,M,S
BHSU;A,C,L,R,T,Y
BHTU;A,C,M,O,S
BIIS;D
BIJS;A,B,E
BIKL;A,N,S
BIKN;A,L,O,R,S
BIKR;C,E,I,N,S,U,Y
BIKS;E,L,N,R,S,U
BIKU;E,R,S
BILL;E,R,S,Y
BILM;A,C,I,O,P,S,U,Y
BILN;A,D,G,I,K,S,Y
BILO;A,B,C,E,G,M,O,R,S,X
BILP;A,M,S
BILR;A,E,I,L,O,S,U
BILS;A,E,G,K,L,M,N,O,P,R,S,T,Y
BILT;A,E,S,U,Z
BIMN;I,S
BIMR;A,S
BIMS;A,L,N,O,R,Z
BIMZ;I,O,S
BINR;A,E,G,K,O,S,U,Y
BINS;A,D,E,G,K,L,M,O,R,S,T
BINT;I,O,S
BINY;E,G,L,R
BIOR;C,F,I,L,N,S,T
BIOS;A,E,G,L,M,N,R,T
BIOT;A,E,G,I,M,N,O,R,S,U
BIRR;A,E,S
BIRS;A,C,D,E,F,G,K,L,M,N,O,R,S,T,Y
BIRT;E,H,O,S,T,U
BISS;A,B,E,K,L,N,R,Y
BIST;A,E,L,N,O,R,T,U,Y
BISV;E
BITT;E,R,S,Y
BJOS;E
BKLU;A,N,S,Y
BKNO;A,I,S,U
BKNU;L,O,S
BKOO;E,L,R,S,Y
BKOR;A,C,E,O,S
BKOS;A,C,E,N,O,R,S,U,Y
BKOU;C,M,N,S
BKOY;O,S
BKRU;A,E,I,S
BKSU;A,C,E,I,L,N,O,R,S,Y
BLLO;S
BLLU;A,S,Y
BLOO;A,B,D,E,I,K,M,P,R,S,Y
BLOS;A,B,C,D,E,F,G,I,L,O,S,T,U,W
BLOT;A,E,S,U
BLOW;A,E,N,S,Y
BLRU;A,B,E,I,S,T,Y
BLRY;E,S,U
BLSU;A,B,C,D,E,F,H,K,L,O,R,S
BMNU;S
BMOO;B,C,G,L,R,S,Y
BMOR;C,E,H,O,S,U
BMOS;A,B,C,E,I,O,R,T,U,W
BMOT;I,S
BMOU;B,D,G,J,K,R,S,X
BMOW;E,S,Y
BMOY;B,C,E,O,W
BMPU;H,L,S,Y
BMSU;D,E,F,N,O,P
BNNU;A,S,Y
BNOO;A,G,R,S
BNOR;A,C,D,E,I,O,U,W
BNOS;A,D,E,G,I,K,O,S,U
BNOU;C,D,K,R,S,X
BNOY;B,E,L,N
BNRU;A,G,I,O,S,T
BNSU;A,D,G,K,M,N,O,R,S,T
BNTU;A,D,L,R,S,Y
BOOR;D,G,K,L,M,N,S,T,U
BOOS;B,D,E,G,H,K,L,M,N,R,T,Y,Z
BOOT;A,H,I,R,S,Y
BOOY;A,B,D,F,G,K,L,M,P,S,T,Z
BOOZ;A,E,S,Y
BOPR;E,S
BOPS;E,R
BORS;A,C,D,E,F,G,I,K,M,O,P,S,T,W,Y
BORT;A,H,I,O,S,U,Y,Z
BORW;E,N,S
BORY;A,C,E,F,S,T
BOSS;A,K,L,N,R,T,W,Y
BOST;A,E,I,L,M,O,R,S,T,U
BOSV;
BOSW;E,L,M,R,S,Y
BOSY;E,F,G,K,O,R,S,U,W,Y
BOTT;E,S,Y
BOTU;A,D,E,H,I,L,R,S,Y
BOTY;H,O,R,T,U,X
BOUY;A,S,T
