AABB;AINRR,EIRRZ
AIIN;ABOSS,ANTUX,BOOTV,EENOT,EFNNT,EGGSS,EHLSY,EHLYZ,EIKOS,EITVV,EJLUV,EKLLS,EKLOZ,FGGSY,GNNOT,GOTZZ,INNOT,KLLOZ,NNOTU,NORTU
AIIX;ACMOT,ANNTU,BMRTU,CDILN,CGKNP,CGLMN,CLLNO,DEMRT,DEOTV,DHLOP,DNOOT,EGMNN,GHOPP,NNOTT
AIJL;BCNUY,BILNO,CGHKT
AIJO;BGNNW,BILLN
AIJS;AIJPP,CCKMR,CIRTU,DGNTU,FKRTU
AIKK;DEFLR
AIKL;
AIKM;
AIKN;
AIKP;AGMMN,EEHNT
AIKR;BCCLY,BCLLW
AIKS;
AIKT;CDEFI,CEEPZ
AIKU;BCLLQ
AIKV;BEGNN,BENRR,DGNNY
AIKZ;EEMRT,EILPZ,ELLTW,GINNY,ILLNO
AILM;
AILN;
AILP;
AILR;
AILS;
AILT;
AILV;
AILW;AALRR,ABLOR,BCIIK,BCKLR,HHLWY,IIKTY,LLMTU
AILX;DHIOP,DOPRY,FFNOU,FLNOU,NRTUU
AILZ;CHORU,CIORT,HNOOR
AIMM;AAACD,AGKNP,AORRY,CGHOO,CGORR,FMMOR
AIMN;
AIMO;BELMV,BLMVY,EELOS,ELMOY
AIMP;AGHOO,AHHPT,DEHTW
AIMR;
AIMS;
AIMX;
AINN;
AINO;EIIKS,HOSTU
AINP;
AINR;
AINS;
AINT;
AINU;DDIIV
AINV;
AINW;BEOOP,EEOPZ
AINY;BCTTU,CMMOT
AINZ;IKLLO
AIOT;EEELL,EQTUV,NOQTU,NOTUX
AIPP;CCDEE,EEMOR
AIPR;
AIPS;
AIPT;AHHMP,CIIZZ
AIQU;EOTTV
AIRS;
AIRT;
AIRV;
AIRW;ABLLO,AKKKO,BCKLL,CCHKP,CCKLP,CDHKO,CMOTT,DMOTU
AIRY;GOPRS
AIRZ;CHLOU,CHOPR,CILOT
AISS;
AIST;
AISV;
AISW;
AISX;AANRY,ACCEH,BGNNR,CCEEH,CCEKO,CEEHR
AITT;
AITU;ACELT,ACELZ,APRRT,BCKKO,CELOT,CEOTU,CMOOT,COOTX,EILLV,EOQTV,EORVV
AITV;GGINN
AITW;CMORT,DMORU,IIKLY,ILLMT,LLLMU
AITX;AINNU,CHMOO,CMNOO,CNOOU,COOTU,INNOT,LNRUU,NOOTU
AITZ;AAMNN,ACELU,ADELY,ADEMR,AGGIN,AHMOR,ALLOP,ALOOR,BCEER,BGINP,CCEIR,CEEKP,CEGMU,DEEIM,DEERV,DEGGI,DEOPR,EEKMR,EELLP,EEOPR,EGGHR,EKLLW,ELMUU,EOORW
AIVV;CILNO,EEKLL,EELQU
AJKR;DIINU
AJKS;DIIST,IIMOT
AJKU;DIINR,GNORR
AJLR;AEKWY,EEHHR,GINRY
AJMS;AAAHR,AIRSW,CCIKR,CHIKT,CKPPU,IIKOT
AJNN;CGOTU
AJOS;CEKKM
AJOT;ACLRU,CDORU,CGNNU,CLORU,EEMRT
AJPR;
AJPS;CHIKW,INOPY
AJPU;
AJRS;
AJRU;CDIIY,CEEIQ,CGNOR,DIIKN,EOPSS,GKNOR
AJSS;AIMRW,AINRY,AIRTW,CCEHU,CIKTW,DDEEN,MRTUY
AJSW;CCEKR,CHIKP,DENRU,DGRTU,EERTT
AJSY;GINNN
AJXY;
AJYZ;
AJZZ;
AKKO;AAHIT,BBCCL,BCCCL,BCCKN,BCITU
AKKR;ABBCE,ABCCC,ABCCT,CCEHM
AKKS;
AKKY;
AKLN;AHOTT,AHOTW
AKLO;BDEEI,BEENN,BEERV,DFMOR,EEMRV,EFNRT,EMORT,ENNRT,HLMWY,LMMWY,MNRWY
AKLP;
AKLR;BCILW,CCIPW,CDOTU,DFMOO
AKLT;
AKLU;DEGIR
AKLW;ABDOR,BCIII,BCILR,CCIPR,HLMOY,IIITY,LMMOY,MNORY
AKLY;
AKMO;CCCHT,CCHLT,DENNY,GLNOY,LLMWY
AKMR;
AKMS;
AKMW;
AKNO;
AKNP;AGIMM
AKNR;
AKNS;
AKNT;
AKNU;BCCHH,DDFNY
AKNW;BIORR,DORRW,ILOPR
AKNY;CEJNO
AKOP;
AKOR;
AKOS;
AKOT;CCCHM,CCHLM,CCHLP
AKOY;ACCMM,AGMRR,AGMRY,CEJNN,EGHMR,GLMNO,GLORY
AKPR;CHOTW,EFLOO
AKPS;
AKPU;
AKPW;AAAHP,AEENT,CCHIR,CCILR
AKRR;AGMOY,CHNOW,CLOWY,FFNOT,GJNOU
AKRS;
AKRT;
AKRU;
AKRW;
AKRY;CFFIT,EHMMT
AKSS;
AKST;
AKSU;
AKSV;BCDEL,BEEOR,CEGLO,CEHLO,CEHOR,CEOPR,CEORR,EEMOR,EEORR
AKSW;
AKSY;
AKTU;
AKTY;AEGMR,EEMRR,EHMMR
AKUW;
ALLL;ABBCK,ABBII,AIMUX,BCKOP,BFFFU,CDIOO,CGIIO,CIOUV,DFOOW,IMTUW,IPRUV
ALLM;
ALLO;EEIIP,EIKKO
ALLP;
ALLS;
ALLT;AADFI,AAGIR,ACIIR,BIINR,DEEEZ,DIINU,GIINR,GINNP,ILMUW
ALLW;BCHKU,BCIKR,ILMTU
ALLY;
ALMM;COTUU
ALMO;
ALMP;DOORR,GHOOR,HLOOR,HOOOR
ALMR;
ALMS;
ALMT;
ALMU;
ALMY;
ALNO;
ALNP;AAGHL
ALNR;
ALNT;
ALNU;
ALNW;
ALNX;ABEEN,ABETU,AEPSU,AESTT,CDIII,CEETU,DEERU,DEETU,EESTV,IRTUU
ALOO;ACCDH,AINTV,CDHRW,DERWY,ERRTT,IINTV,INTUV,RTUVY
ALOP;
ALOR;
ALOS;
ALOT;
ALOV;
ALOW;
ALOZ;BHIIR,BIMRY,OOPRT
ALPP;
ALPS;
ALPT;
ALPU;
ALPW;BCEHO,ENNTY
ALPY;
ALRS;
ALRY;
ALSS;
ALST;
ALSU;
ALSV;
ALSW;
ALSY;
ALTU;
ALTW;DDGIN,GGINN,IILMT,ILLMU
ALUU;BCNRY,BENNT,BNNTY,CCIIL,CCIRR,CDENN,CDNNY,CEFTT,CENOT,CFNTT,CINNR,CIRRT,CIRTT,CJNRT,DEPQR,DPQRY,EIRTX,EPPRR,EPRRT,FHMNR,FINNP,FINQY,HMNNY,INRTX,NOPPR
ALUV;BMNOY
ALUW;COORY,HHITT,ILLMT
ALWW;HHILY
ALWY;
ALYZ;BDIRZ,BEIRR,EEHMO,HNOTX
AMMO;ADELR,AELRR,DDDEG,DEELP,DEELR,DEFIR,DEFLR,DEGJL,DJOOR,EEHKR,ILTTU
AMMR;CDNOU,CGIOR,DJOOO,FIMMO,GIILL,HINOU
AMMS;
AMMU;BELNR,CCKKU,CDNOR,CLOTU,EEPRY
AMNO;EKOQU
AMNS;
AMNU;
AMNW;
AMNY;
AMOR;
AMOS;DOPPP
AMOT;CCCHK
AMOU;
AMOW;
AMOX;AALRT
AMOY;CGHII,CGHPY,EGHPU
AMPR;DOOPU
AMPS;
AMPT;ACHLY,AHHIP,HILTU
AMPU;CEFFR,EEMRY,EGHOY,HORTT
AMPV;CEEHL,CILOU
AMRS;
AMRT;
AMRU;EEMPY
AMRW;EEETV,EELTT,EETTT
AMRY;
AMSS;
AMST;
AMSU;
AMSW;
AMSY;
AMTT;AHMOY,BCHKU,HILPU,ILMUU,ILPRU,ILUUY
AMTU;
AMTY;
AMYZ;ADINR,CHIOR
ANNO;
ANNS;DHHIK,FFFFI,FIKLR
ANOR;
ANOS;
ANOT;AHNOZ
ANOV;ACNNT,AOPZZ,BLMUY,LMORU
ANOW;ABIST
ANOX;
ANOZ;AHNOT,AOPVZ,OOPRT
ANPS;
ANPT;
ANPU;
ANPW;ELNTY
ANRS;
ANRT;
ANRU;
ANRW;
ANRY;
ANSS;
ANST;
ANSU;
ANSV;DHLLU
ANSW;
ANSY;
ANTU;
ANTV;CCIII,CGIII,CGIIP,GGIIN,IIIOT
ANTW;
ANUU;ACLRV,ADMQR,BELNT,BLNTY,CCDER,CDELN,CDENN,CDLNY,CDNOR,CELOT,CFILR,CFLTT,CGIMV,CHLOT,CILNR,CINRT,CJLRT,DDEIT,DDENT,DEHNT,DEMNR,DENTT,DGHIP,DNORR,EGIJT,FGHRT,FHLMR,FILNP,FILQY,GIKNQ,IINQQ,ILRTX,LOPPR,NRRTT
ANUY;ACDJV,CDDEE,DDFKN
ANVY;ACDJU,ACIRR,AGLRT,BEELR,BLMOU,CIORR,DELRT,DGIKN,EEGRR,EGLRU,ELRRU,EMRST,ERRST
ANWY;ACCHN
ANYZ;BELOS,EEMOP,GMRTU,HLOTX
AOPR;
AOPS;
AOPT;
AOPU;BGOTT,CDEEG,DEEGG,EGHMY,EIMNN,GHNTU,GNNPT
AORR;IINTV
AORS;
AORT;
AORU;CEFRR,HNORY
AORV;CCEHO,IMNNU
AORW;EILLT,EIOTZ
AORY;
AOSS;
AOST;
AOSV;ACDMU,AMPSS
AOSY;ELQUU
AOTU;EEMRX,GLLOP
AOTY;BEFIS,BETTY
AOVW;CEEIN
APPR;ILMNT
APPS;CDHOO,HMOOT
APPU;GNNOT
APPY;
APRR;CFIMO,CHIOZ,HINOO
APRS;
APRT;
APRU;ALMMY
APRW;CCHIK,CCIKL
APRY;
APSS;
APST;
APSU;
APSV;
APSW;
APSY;
APSZ;CGIIN,CIOOR,EHINN,EHIOR,EIORV,ELORY,HIIRS,LNOOY,LOOTY
APTU;BGOOT
APTY;
APUY;CCORR,CEEHQ,EGHMO,GHORR
APUZ;EILLR,EIMRT,EIRRT
APWY;ELNNT
AQST;
AQTU;
AQUY;ALLNT
ARRY;
ARSS;
ARST;
ARSU;
ARSV;
ARSW;
ARSY;
ARTT;
ARTU;
ARTW;
ARTY;
ARTZ;AABHL,ACEHI,ADEIM,AHIMO,AILOO,BCEEI,BENOU,BNOOU,CCEII,CEHIO,CENOU,CIILO,DEEIV,DENOO,EEEGT,EEGHM,EEHRT,EEIKM,EFINZ,EGGHI,EIOOW,GMNUY
ARUV;AANPT,ABDIO,ADIIQ,BHHII,CDEIY,CDIIL,CINOT,GINNY,GINOT,ILLLP
ARUW;CGNOR,CLOOY,EGOPR
ARVY;
ARWY;ACDDD,CCHHU,CFKNO
ARXY;AIILU,CEETU,CEILL,DEELL,DEIMT,DELLT,DILOP,EELMP,EILLV,EILTT,ILLOU,ILMOV
ARZZ;AAOPP,BERRY,CEEHI,EFINT,EGGGI
ASSS;AABKP,AAFRS,ACHKP,ACORW,AORVV,CMORR,CORUW,DOPRW,GHOPW,NOQRU
ASST;
ASSV;AMOPS,CLMUU,DNOOW
ASSW;
ASSY;IIKKU
ASTT;
ASTU;
ASTV;
ASTW;
ASTY;
ASUV;ACDMO,CDHIO,CIIOV
ASUY;EEFLL,EILTX,ELLOZ
ASVV;AAADT,AAAKK,AAALL
ASVW;
ASWW;DDINR,DDNOR,DDOOR,DHIRT,DHITY,DNNOS,DNOPR,DOPRR,HKORS,HNORT,MORRT,ORRTT
ASWY;
ASYY;ABLLM,ABLLR,BBHIL,BFILL,CCELW,DEERV,ELLRS,GGINN,GGMOT,HIPRT,HNOPT,KNNOR,LMOPT
ATTT;CIINN
ATTU;CEIIX,CEILV,EEELP,EEIPP,EELPQ,ILMMU
ATTW;CIMOR,EEGNO,HHILU,IILLM,INNOW
ATUV;
ATWY;
AVWY;
AWXY;
AWYY;
AWZZ;
BBBI;AAGKN,AEGKN
BBCO;IIILT
BBEI;
BBEL;EEGGR
BBES;
BBIJ;GGMOU
BBIS;ACNOY,FHILR,GILMN,GIOTY
BBLO;ACCKK
BBLU;DDIOY,DIOTY
BBMO;
BBOO;
BBOS;EINNS,GIITY
BBOU;AARRS,ACIIS,AEHLT,AILLR,CEHLY,ENNRR
BBRU;ACDKO
BBSU;
BBUU;BEGLM,CEKTY,EGLMT,ERRTT
BCEI;EIJTV,EJOTV,FJOTY,GIMNR,GJNOT,HOQUU,IINOT,IJNOT,JNOOT,MNNTU
BCEK;AACFL,ABCHN,ACCHK,CHINP,CHKOO,OORRR
BCEU;AAALT,AIMMX,AIMTX,IILPZ,MOTTY
BCHI;CEKNP,EOQUU,FLLNU
BCHU;
BCIR;DEEIV,EGIMN
BCKO;ACHNT,ACKKN,CEHKO
BCKU;ABCKL,ABLTT,AILLQ
BCLO;AACHR,AADPR,AARUV,DDLOO,HNPUW
BCLU;ABKTT,AHKLW,AHLNP,AHOTY,ANOTY,CIMUU,DDEIY,DEIIN,DEILY,FHILN,GHINT,HNOPW,IMMOU
BCMO;
BCOS;CSUUU,EFFIU
BCRU;AAADR
BCSU;MOSUU
BDEE;
BDEI;
BDEL;
BDEN;
BDEO;
BDER;
BDES;
BDET;
BDEU;
BDEY;
BDII;AAACT,CDKRY,CMMUY,DORWW,EEHTX,HRRTY,HRTYY
BDIN;
BDIR;CGKLO,DIOWW,DLLOY,GLMNU,GNNOW,HNORT,IINNU
BDIS;AAAHH,AAAHY,AAALL,AALLT,AALVY,ACCHK
BDIU;AKOOO,CFIIT,CIMMY
BDLO;CGIKR
BDLU;FLLOO,FOOOR
BDMU;AILNT,CIIMY
BDNO;
BDNU;
BDOO;FHNOU
BDOR;CGIKL,DIIWW,DILLY
BDOS;
BDOU;AIKOO,FLLLO
BDOY;CPRTU,HIRSU
BDRU;GILMN,IIINN
BDSU;
BEEF;AACDR,ABDPR,ARRRU,FGIRU,HLOUV,KLRUU
BEEH;BELMU,ELLOR
BEEL;
BEEN;BEEIR
BEEP;ACCIK,ACDHT,ADINT,AIRTZ,DHMTU,DKOOR
BEER;
BEES;
BEET;ACMOY,ATTYZ,CIIJV
BEGI;
BEGO;BGNOW
BEGR;
BEGS;AHHSU
BEGY;AAARU
BEHL;EELOR,EFOUV,EINOR,ELNOY,EOPRY
BEHR;DJLOO,EELLO,EIINZ,GGMUU
BEHT;GHOTU,OOPTU
BEIJ;ACGNT,ACNOT,CEITV,CEOTV,CFOTY,CGNOT,CINOT,CNOOT
BEIK;AGNNV,CCHNP
BEIL;
BEIN;CCHKP
BEIR;
BEIS;
BEIT;CEIJV
BEIV;AANRR,AANRW,ACEMR,AGKNN,AKNRR,CEIJT,CEJOT
BEIX;AADOU,ACELT,ACLTY,ADELN,ADFIS,CIRST,FHOSS
BEIZ;
BEJN;AABBO,ABGIR,AELLO,AELLY,AELOY,ALOYY,BGIIR,CEORT,CGIOT,CIIOT,CIOOT,LOORW
BEJO;AABBN,AELLN,AELNY,ALNYY,LNORW
BEJU;ADEGL,GIRTT
BEKM;ACIQU,CHRUU,EILRU,HILTU
BEKO;
BEKR;EEEEP,EENNN
BEKS;
BEKU;AALMN,NNNOW
BEKY;BCTUU,CNPRU,NOTTU
BELL;HHORT
BELO;FLLPY
BELP;AAALT,ABLMU,ACHIP,AHHOO,AHIMO,CHIIT,CIIUZ,CIMOT
BELS;
BELT;
BELU;CIIPZ
BELW;AACHK,AACHT,AAETV,AAPPS,EGILN
BELY;CDHOT
BEMO;
BEMR;HIRWY,IIIKN
BEMW;HIRRY
BENO;
BENR;EEEFL
BENS;
BENT;
BENU;EKOPS,HKOSU,KOTTY
BENW;AEELR,AELRY,FGIIY,GGGII,HIRRY,IILMT,IRRTY
BEOO;AABCT,ACHIP,ACHPR,AEHPR,AGMNW,AHINP,AINPW,BBHJR,BGGNW,CPRRY,HHMOP,HNPXY,HPTTU,IINVV,IPRRU
BEOP;AAHQU,ACHIO,ACITT,AHHLO,AINOW,CIIIT,DNNUU,EILNX,FLLLY,GHNOY,HNOXY,HOTTU
BEOR;
BEOS;
BEOT;AABCO,ACEMY
BEOY;ALPTT,ATTTY,BCHLU,CFIJT,FLLLP,ILLQU
BEPU;AAHOQ,ABLLM,CIILZ,CRTTU,DNNOU,HOOTT
BERR;
BERS;
BERU;
BERV;
BERW;AACKT,AAHTT,ACKTU,HIMRY,HINRY,INRTY
BERY;
BEST;
BESW;EEHLW
BESY;
BETU;
BETY;BCKUU,CDHLO,CFIIR,CFIJO,CFIOR,CLMOO,DGILO,HOPRY
BEUZ;CIILP,FLMUZ
BEVY;AEGLN,AEGLT,ALOOT
BFFI;AAELX,AEELN
BFFO;AEELR
BFFU;
BFIR;
BFIS;ACCHK,ACHKL,ACKLL,ACKLP,AHNNO,ALOTT,CEEEN,DENUU,DHILN,EEENS,EGNUU,EIMOZ,KLOOP,LOSSU
BFLO;AADLR,AAELT,AAERV,AARVY,ACERY,AEGGL,AHRRU,ARRUW,DEELW,DLLOU,DOORU,ELLPY,ERRWY,INTUU
BFLU;CEEIR,CHILN,DLLOO,DOOOR,EEKRU,EHILT,ERTTY,GHILT
BFMU;DDNOU
BFOR;AAELV,AALTU,AELTW,AHLRU,ALRUW,BMOOP,DLOOU,MMOOR
BFOS;ACEKO,ADKNO,AHINN,AHOTT,DEEEX,DEEOW,EIIMZ
BFOU;AHLRR,ALRRW,DDMNU,DHNOO,DLLLO,DLOOR,ILNTU
BFOY;CEIJT,ELLLP
BFSU;AAAAQ,ACHRT
BGGI;BJMOU,EENTT
BGIL;
BGIN;
BGIO;
BGIR;AILRY,CDKLO,IIKPR
BGIS;
BGLO;HOOPT
BGNO;CKPRU
BGNU;
BGOO;APTTU,DDELU,EGGLX,HIKLT,HLOPT,HTTUU
BGOR;CDIKL
BGOS;
BGOY;ADDRU,AHIPR
BGRU;
BGSU;
BHIS;BFILR,BGLNO,DEELP,DIPRW,EEORR,GHORW,LLNOR
BHLU;AAEGL,AAGLY,ACGIN,ACKLW,ACLNP,ACOTY,ADGLO,AFORR,BGILT,CEEKN,CFILN,CGINT,CNOPW,EEFOV,EFILT,FGILT,GOOPY
BHOO;CEINP,CEKLL,CILPY,DFNOU,EGNPY,EHMOP,ENPXY,GLPUY
BHOS;BGILN,CGINT,EELLX,EMNUW,ENNUY,ILLNR,KRRUW,LLNRU
BHOT;AHILT,IILLN
BHRU;ADDNO,ADNOO,AEEOT,AEIOP,AEIOV,AHIIV
BHSU;EMUZZ,MNOOO
BHTU;BGILL,EFILL,FGILL
BIIS;AACNR,AAEMN,AAHNU,AAHRW,ABBMP,BEOOO,BGNQU,BGOTY,CHHIU,EEFLM,EEFLP,EELOP,EFLTU,GNNOS,GNOPY,LTTUY,NQRUU
BIJS;
BIKL;CDGOR,GHOOT
BIKN;CCEHP,HHIKU
BIKR;
BIKS;ACCDH,ACCFH,ACCKK
BIKU;ACLLQ,ADOOO
BILL;ACKQU,CFHNU,FGHTU
BILM;EEEMZ
BILN;CFHLU,CNOPU
BILO;DDNUW,IQTUY
BILP;CEHIT,CHOOY,DEEFI,EENOX,EENRU,GNORY
BILR;
BILS;
BILT;BCIIO,HILNO,HLNOR,HMNOY
BIMN;CDLOW,DLNOO,EEMRT,EGGGO,EGGOU
BIMR;EHRWY,EIIKN,GILOO,IOPTY
BIMS;EEEMS
BIMZ;ABGNU,EEELM
BINR;
BINS;
BINT;DNRUW,ERRWY
BINY;ACDTU,ACOST,ACTTU,CIOST,DDINS,KSTTU
BIOR;AADHZ,AADUV
BIOS;
BIOT;
BIRR;CFMOO,COOPY,DHITY,DHNOT,FFIMO,FHHOT,FILMO,GIIKP,GNOOW,HOOTT
BIRS;
BIRT;AARRY
BISS;CDIPU
BIST;
BISV;AADLY,ACTUY,ALSUU,AORRU,MNRUU
BITT;AHHLO
BJOS;ADMOR,HORTW
BKLU;
BKNO;
BKNU;ACCHH,HHIIK
BKOO;ADIOU,CHTTU
BKOR;
BKOS;
BKOU;AALTW,ADIOO,DEGIO,DEIKR
BKOY;ENTTU
BKRU;CGNOP
BKSU;
BLLO;DFLOU,EEEHR,EFLPY,EHHRT
BLLU;CFHIN,DFLOO,FGHIT
BLOO;
BLOS;
BLOT;BCIII,DOOOR,DOORW,GHIKO,GHOOP,GIORY,HIILN,HILNR,HIMNY
BLOW;CDKOO,CHORT,CKKOR,DDOOO,DOORT
BLRU;DFOOO
BLRY;AACIL,ACCIK,FIIMO
BLSU;
BMNU;DDFOU,EGGIO
BMOO;EHHOP
BMOR;IIPTY
BMOS;
BMOT;BHOOP,CEMRU,EFLUU
BMOU;CILMU,EFLTU,EIILP,EILLT
BMOW;CDILN
BMOY;AHILP,AILRX,AILRZ,AINRT,FIILR,HHIRT,HILNT,IIPRT,IISSS
BMPU;
BMSU;
BNNU;DDOOW
BNOO;DDENN,DDNUW,DEHMU,DEMNW,DFHOU,EHPXY,EIIVV
BNOR;
BNOS;
BNOU;AELLV,EFGIL
BNOY;CIIST
BNRU;
BNSU;
BNTU;IIIQU
BOOR;AEEHP,BBEHJ,CEPRY,CIPRY
BOOS;
BOOT;
BOOY;
BOOZ;CIIOT
BOPR;AACDI,AACIM,ABFOY,ACIIY,ADGLU,ADLPU,AORTY,BFMOO,CDNOU,CDTUY,CGKNU,CIORY,GHTUU,INOPU,OPRTU
BOPS;ACKLW,AHLTY,AINOT,HMTTU,IMTUU
BORS;
BORT;
BORW;CHLOT,CKKLO,DDIIW,DLOOT
BORY;
BOSS;CCUUU,CMUUU
BOST;
BOSV;AADGN,AGILN,CDEHL,EEISS,EGILL,EHIKL
BOSW;
BOSY;
BOTT;GHOUU
BOTU;
BOTY;ACEEM,BGIIS,CEFIJ,DEGIL
BOUY;BCEHL,CCMRR,EEHMR,EILLQ,GHLOP,GLMOP
BOUZ;ANORT,HIIMR
BOXY;AAEMM,CCMOR,EHNOP
BPRU;CDNOO,CDOTY,CETTU,CGKNO,GHOTU,ILOOT,INOOP,OOPRT
BPSU;GHOOT
BPUY;AHOOT,CDORT,CIILT,GHLOO
BRRR;AACEK,ACEEE,ACENY,ADEOW,ADFII,AEEFO,AEPSY,AEYZZ,AIJNY,AIOOT,CEKOO,CENOO,CEOWY,DEEEY,EEEKS,EEHIT,EIOOT
BRRU;AIIMT
BRSU;
BRTU;
BRUX;AIIMT
BRUY;CDOPT,DIITT
BSSU;CDIIP,DFIRR,DHMOW
BSTU;
BSUY;
BTTU;
BUZZ;EFLMU
CCEE;AAHIN,ABIKP,ACENS,ACNSY,AGLMY,AHKMN,AHKMT,AIPTV,AKLOT,ALPST,ANOTT,AOPSU,AOSTU,BILOX,DLLOT,EIKNP,GINTY,INNNO,KLMNO,LLOOZ,LOSTY,LOTUY,NOOTY,SSSSU
CCEO;AAFGU,ACGLY,ACNPU,CILXY,EINNN,ELLOZ,ELTUY,ENOTY,HHKKO,ILNNU,INNNY,LMOTY
CCHI;IIRTT
CCHO;
CCKO;
CCOO;BILMU,DEILR,DEIMR,DEPRU,DIIRT,DPRTU,EENTY,EGINN,EKKNR,EKLRV,ELLNY,ELLRT,ELMNY,ELMTY,ERRRT,FIILR,GILMY,GILRY,GILTY,GLLLY,IMPRY,KKLRW,KPPPY,LNRTY,NNNRU
CCOR;AGNYY,AMOPY,BMOXY,LNOTY
CCOY;BMORX,BMRRU,EENOT,EHMOR,EHRTT,EINNN,ENOOR,EOPRS,HIPST,IMOPR,IOSTT,NOTTU,OPRSY
CDEE;BBBOW,BGGLO
CDEI;
CDEK;
CDEO;
CDER;
CDEU;
CDHI;ACIIS,AGMOY,AGPSY,AIMSU,APSSY,CHRSU,OOPSZ
CDIK;AAAHT,AAHLN,ABKOR,OOPRW
CDIO;
CDIS;
CDIT;BFIIU,FFILU
CDIU;AEQTT,BFIIT,CEFIR,CGNNO,DHIQT,EEOTT
CDKO;AABBR,AABRT,AARRT,ABBLY,ABIKR,ALRTU,BLOOW,CHOUW,IOPRW,KNNOW
CDKU;ALORT,CHOOW,MPRTU
CDLO;BDLOO,BKOOW,HOPRT
CDNO;AASTT,ADLLU,AKMSW
CDOO;AACHL,ACHOW,ACIPT,AHLRW,AILPT,BDLLO,BKLOW,CHKUW,CKLMU,DHHIL,FIILR,HHITW,IKPRW
CDOR;
CDOS;
CDOU;CGINN,CHKOW,HHNOW,HNNOO
CDRU;AAABR,AAALM,AACHL,ACHNP,KMPTU
CDSU;
CDTU;BFIII,FFIIL,KMPRU
CEEH;
CEEP;FFOOT
CEER;
CEES;MMOUU
CEET;ACIPV,CHOTU,DDOQU
CEEX;ADNNO,AMNTT,ANTTU,EHQRU,INNOV,NRRTU
CEFH;CEKOR
CEFI;ADFKM,CFIIL,DELUV,IKQRU
CEFK;AAMPR,ADFIM,ADIIT,AFIMR,AIIRT,BIIRR,CEHOR,CNOYY,OORRW
CEFL;CFIII,DDIIU,DEIUV,DINOR
CEFY;AAINN,ABCER,ADDII,ADDOR,AHRTT,BIJOT,CKNOY,DHIIM,DINTU,ENQRU,EORRT,IIKNT
CEGK;AABLM,AARWY,ABDIR,AIJNT,AILNY,AIPRR,BTTUU,DIIMM,IIMNY,IINTT
CEGL;DIIOO,DIOOP,EEMNU,EJKOT,HIIRT,HIOOR,HIOOT,IIOOT,ILMOU,IOOOZ
CEHH;AADIR,AGOPR,BORSS,CEERR,CKKOO,DKLOO,DOORR,FIIPS
CEHK;BMRUU
CEHL;
CEHM;EEENV
CEHO;
CEHP;IMTYY
CEHR;
CEHS;
CEHT;
CEHW;
CEHY;NOOPP
CEHZ;AAADR,ACIRV,AEILM,AEIRZ,ALSTU,ARSTV,ARSTW,CITTU,DISTV,EMNOR,EMOOR,GIIOT,IILOO,IIMTY,IISST,ILMOO,ISSTV,LNOSZ,MSSTU,NOOTY
CEIL;
CEIM;
CEIN;
CEIP;AIMTT
CEIR;
CEIS;
CEIT;
CEIV;
CEIW;AEMRV,AFRSS,ALSUY,ARSUY,CDELO,DDEEI,EEIPS
CEKK;AABBR,ABCCH,ACHMR,ACILP,AFIJN,AHILL,AILPT,ALMOR,BCHOO,CHHOO
CEKM;AABJR,AADJP,AADRT,AAHMT,AANTT,ABIQU,ACEHT,ACHKR,AIINT
CEKN;BPRUY,CEEIP,EEEIP,GIIMY
CEKO;
CEKP;AACHJ,AAJLP
CEKR;
CEKU;ELOTY,JOOTY
CELL;EENTX,EMNTY
CELM;
CELO;
CELS;
CELT;
CELU;AALLV
CELW;AALNO,AIOTY
CEMO;
CEMR;
CEMY;BOTTU,DEIMX,IIMNN,OOPTT
CENO;
CENS;HSSYY
CENT;
CENU;EEFQR
CEOP;EFFOT
CEOR;
CEOS;
CEOT;EFFOP
CEOV;
CEOZ;
CEPR;
CEPS;
CEPU;
CERS;
CERT;
CERU;EEFNQ
CERW;
CESS;
CEST;
CESU;
CESY;AABLL,AABLW,AAGLN
CETU;
CETY;ABEMO,BFIJO
CFFO;AIIRY
CFFU;AEMPR,DIILT
CFIL;DEEUV
CFIO;AADPR,ABCCE,AFIRY,AIPRV,BEJTY,CGHKT,GHPTY,KOPPR,OPRRY
CFIS;
CFIU;ACEGL,ADELV,ADIRY,AILTV,ALMPT,ALNRU,BDIIT,CDEIR,CMORR,DEELT,DEELV,EENTT,EFOOT,EIKQR,EMORR,ENNNO,MORRV
CFKU;AIJRT,BELTU,ELOPT
CFLO;DEERT,EERRT,EHORT,HOOTT,NORRU
CFNO;CEKYY,DDRUW,DGHIL,GILNU,LORRU
CFOO;ADDEG,ADILN,AILNT,ALMRY,ALRTY,BIMRR,CIILR,DENRW,DIILR,DIMMY,DIMRR,EEFPT,EFITU,EINRT,EKRRW,IKLLR,IKPPR,ILRTU,IMMRR,IPRRY,LNRRU
CFOR;AADIP,ACHOO,ACLLU,AFIIY,AGHMR,AHMSU,AIIPS,AIIPV,AISUU,ALLSS,ALMOY,DDNUW,DIISU,FRSSU,HIINO,HISSS,IIOPS,IOPRY,LNORU
CFOT;AEFII,AMOOS,BEIJY,CGHIK,CKOOS,DEEII,DEEKS,EEFOP,EEOPS,EOPSY,GHIPY,HIKSS,HLOOT,KOOST,LOOST
CFRU;CDEII,CIMOR,DDNOW,EEELN,EEENQ,EENQY,EFFLU,EIMOR,GINNO,IMORV,LNOOR,MNNOO
