AAAARR;0
AENNOY;3940,6407,6644,15067,15512,15577,15622
AENNPR;9426,11876
AENNPS;
AENNRT;3460
AENNRV;7370,12275
AENNRW;73,2232,10035,11876,12706,14228,15935
AENNSS;4084,11605
AENNST;
AENNTT;6644,9435,13374
AENOPS;
AENOPT;
AENOPV;9634,9715,10515,12538,13824,14745,15537
AENOPW;10291
AENOPY;1343,6689,8287,9375,9788,10497,10498,12551,13055,14743,14745,16055,16172
AENORS;
AENORT;
AENOSS;
AENOST;
AENOSW;5976,6633,11437
AENOSX;8834,14775,15601,16384,16509
AENOTT;1233,6644
AENOTV;
AENOTZ;4190
AENPPR;
AENPPS;
AENPPT;2158
AENPRS;
AENPRT;7643
AENPRW;
AENPRY;3945,6305,7253,9009,9547,9888,9891,12710,16055,16116
AENPRZ;11987,12926,15368,16427
AENPSS;
AENPST;
AENPSV;8836,13630,13846,14355,14585,14588,15801,15923,16120
AENPTT;15588
AENPTU;7643,8856
AENPTZ;4093,16427
AENQSU;4085,15804
AENQTU;14747
AENRRS;
AENRRT;14821
AENRRW;96,5357
AENRRY;6763,15978
AENRSS;
AENRST;
AENRSU;
AENRSV;
AENRSW;
AENRSY;
AENRTT;
AENRTU;14821
AENRTV;
AENRTW;96,2232
AENRTY;14580
AENRUW;
AENRWY;2232,9822
AENSST;
AENSSU;
AENSSW;
AENSSY;2418,6424,11432,15712,16447
AENSTU;
AENSTX;14775,15601,16509
AENSTY;
AENSTZ;
AENSUV;
AENSUY;2130,2342,5590,6066,6829,10527,15592,15598,16334,16473
AENSVW;3150,13838
AENSWY;
AENSWZ;4364
AENSZZ;6209,12273
AENTTT;142,3201,3810,3831,6500,13487,13927,16381
AENTTU;3721,5316,14468,16270
AENTTX;389,3974,4215,4216,12548,13975,14560,15369
AENTTY;4215,4393,5617,6578,6644,14126,14467,14468,16334
AENTWY;2232,3319
AEOOSZ;4426,6618,9911,14719,15222,16278,16344
AEOPPR;3086,4367,5174,7411,14608,14791,14792,16414
AEOPPS;3832,15707,15845
AEOPQU;
AEOPRR;1655,13849
AEOPRS;
AEOPRT;
AEOPSS;
AEOPST;
AEOPTT;1637,4216,8897,9324
AEOPTY;1343,3916,6689,6700,6751,7229,13747,13844,14745,15620,16131,16133,16258
AEORRR;3472,3699,5000,8792,13638,13755,13849,14836,15224,15605
AEORRS;
AEORSS;
AEORST;
AEORSU;
AEORTT;3722,15629,15868
AEORUV;
AEORVW;
AEORVY;2607
AEOSSV;8335,12762
AEOSTV;12782
AEOSTW;1987,16154
AEOSTZ;
AEOTTU;4348,10396
AEOUVZ;8455
AEPPRR;307,375,399,435,3086,3379,15224,15736,15835
AEPPRS;
AEPPRT;
AEPPRU;7411,13037
AEPPRW;
AEPPRY;4442,12488,15224,15226,15644,15860
AEPPRZ;
AEPPSY;3832,10053,15845
AEPPTT;2465,4430,5949,10213,14791,14792,15860,16258,16314,16471,16476
AEPPTU;7411,7637,8856,14792
AEPRRS;
AEPRRT;
AEPRRU;1342,8410,16284
AEPRRW;
AEPRRY;7405,15978
AEPRSS;
AEPRST;
AEPRSU;
AEPRSV;
AEPRSW;
AEPRSX;9695,13831,15831,15842,15865,16509
AEPRSY;9891
AEPRTT;
AEPRTU;
AEPRTX;3833,10221,15636,15865
AEPRTY;
AEPRTZ;14961,16427
AEPRUY;11864,15605,15607,16351
AEPRWY;
AEPSSS;
AEPSST;
AEPSSU;5937,12172
AEPSSV;14250
AEPSSY;776,9655,11691,14219
AEPSTT;
AEPSTU;
AEPSTX;2482,7308,14721,15865,16509
AEPSUX;10033,14492,14721,15769
AEQRRU;
AEQRSU;436
AEQRTU;361
AEQRUV;
AEQSTU;15773,15825
AEQSUY;10007,15773,16399
AEQUYZ;
AERRSS;
AERRST;
AERRSU;11586
AERRSV;
AERRSZ;3406,4364,10370,13501,16375
AERRTT;6646,6827,6839
AERRTY;1346,14183
AERRUZ;
AERRWY;207
AERSSS;
AERSST;
AERSSU;
AERSSV;
AERSSW;
AERSSY;
AERSTT;
AERSTU;
AERSTV;
AERSTW;
AERSTX;14950,15601,16509
AERSTY;
AERSTZ;3841,13397,13483,13764,13952
AERSUU;7124,7620,7627,10446,11501,13739,16403
AERSUV;
AERSUZ;6501,14719
AERSVV;3298
AERSVW;
AERSWX;
AERSWY;
AERSZZ;6060,6402
AERTTT;
AERTTU;16053,16351
AERTTV;359,389
AERTTW;
AERTTY;4373,16133
AERTUU;1652,1654,2599,6442,6817,7643,8457,9401,9771,10368,10521,10528,11949,14969,14997,15478,15597,16247
AERTWY;2232
AERTYZ;1122
AERVWY;
AESSSS;370,3291,9366,9437,13574,13601,13636,14047,14664,14702,14718,14784,16510
AESSST;10481,13575
AESSSY;391,4266,9655,10581,12787,16174,16438
AESSTT;15650,16504
AESSTU;
AESSTV;
AESSTW;1148
AESSTY;4087,16483
AESSVY;9448,10480
AESSZZ;1248
AESTTT;
AESTTU;
AESTUV;
AESTVW;1098
AESTWY;
AESTXY;10472,15601,16120,16311,16483,16509
AESTYY;9821,12742
AESVVY;
AESVWY;11583
AESVYZ;
AESWZZ;
AETUXY;6443,12047,15607,16181
AFFFLS;6841
AFFGRS;
AFFGUW;
AFFHIT;14809
AFFIKR;10585
AFFILP;
AFFIMR;3861,4455,14818,16532
AFFIRT;3861,4455
AFFIRZ;
AFFLNY;10591,11505,14822,16534
AFFLOS;14823,16533,16547
AFFLOY;11505,16546
AFFLSU;5046,5863,6844,13066,13361,13651,16533,16547
AFFLUX;
AFFLWY;
AFFNSY;3859
AFFOPY;
AFFQSU;
AFFRST;
AFFSST;16545
AFFSUW;16547
AFGGLY;16550,16551
AFGGOT;
AFGHOS;6846,9479,10602,14835,16533
AFGIJM;
AFGIKN;5432,13364
AFGIMN;
AFGIMY;4465,16563
AFGINN;
AFGINR;
AFGINS;
AFGINT;
AFGINX;
AFGINY;
AFGINZ;4463,10612,16558,16573
AFGISY;3859,10617,14833,16605
AFGITZ;4463,10612,13671,16558
AFGLNO;
AFGLNU;
AFGLOS;2247,7651,10617,16533
AFGLRU;
AFGMNO;
AFGMOR;3478,16563
AFGNOS;4470,5638,10587,10602,13679,14872,16535,16539,16581,16585
AFGORR;16577,16584,16591
AFGORT;2618,16557,16596
AFGOST;
AFGOTU;13675,14829,14838,16574,16580,16588,16594,16596
AFGRST;3112,13648
AFGRUY;16597,16605
AFHIIR;7986,9492,10599,10621,16530,16549
AFHIKL;
AFHIKR;
AFHIMS;
AFHIOS;6841,14887
AFHIRS;
AFHIST;
AFHLMU;
AFHLOO;
AFHLSY;6852,7417
AFHLTU;
AFHMOT;
AFHORS;6846,13649,13684,14835
AFHRSW;3875
AFHSST;2619,10627
AFIILL;1193,1660,2010,5964,6094,6223,6474,6479,6482,6484,6855,6856,9509,10628,12382,16620,16621,16622,16623
AFIILN;6095
AFIIMN;1189,4453,4477,6847,6858,9522,12384,13081,14817,14917,16573,16577,16627,16629,16635,16636
AFIJNN;10605
AFIKLS;16566
AFIKNU;16588
AFIKRS;9487
AFILLN;2629,7659,13705
AFILLS;6856,6863,10650
AFILMU;1657,12384,13081,14935,14937,14939,14942,16591,16628,16644
AFILMY;1354,2259,4476,10628,10636,16534
AFILNS;1353
AFILNU;6095
AFILNV;2629,16612
AFILNY;1353
AFILOR;3480,13077
AFILPS;4482,5327,8570,10622,10637
AFILRS;1659,2622,2634,7660,10622,10652,10655,11608
AFILRY;14942
AFILRZ;16573
AFILSY;6862,10617,11608
AFIMNR;233,4477,4486
AFIMNY;1354,3881,4486,14956,16629,16648,16655
AFIMRS;16616
AFIMRT;233,2265,3861,3881,4455,4476,4486,6847,9506,10656,13671,14828,14864,14906,14956
AFIMRY;3881,4455,4465,4476,4486,10628,14906,14942,14956,16653,16655
AFIMSS;16542,16600
AFIMSV;
AFIMUZ;14939
AFINNN;4486,14955,14956
AFINNO;7650,10592,13072,16576
AFINNT;16612,16614
AFINRU;439,13086
AFINST;13065
AFINSU;11819,12374,13071,14911
AFINSY;3859,13711
AFINTU;8894,9539,9546
AFINTY;7416,9492,16655
AFINYZ;
AFIORT;1663,2614,4455,4488,8235,13731,14850,14852,16557,16606
AFIQRS;
AFIQRU;439
AFIRRS;855,2013,2634,4470,4481,10652,10654,12408,13075,16630,16657
AFIRRY;2641,4455,7419,7423,9529,16655
AFIRST;4481,16619
AFIRTY;4455,16606,16619,16655
AFIRUY;6492,6862,14942,16605
AFISTW;7653
AFJLRU;
AFKLNS;16566
AFKLSS;5433,13734
AFKNRS;
AFKOST;6494
AFKRST;9471
AFLLMU;
AFLLNO;2630,6234,10591,10633,16644
AFLLNU;1201,9478,14822,14881,14894
AFLLOR;2632,5640,13077,13706,16620,16621,16623
AFLLOW;
AFLLPU;1201,8750
AFLLTY;10620,14974
AFLLUW;
AFLMMS;3613,6864
AFLMNU;1204,3227,6864,6865,12384,13081,14895
AFLMNY;234,441,748,856,1354,2643,3881,5644,14933,16534,16629,16648
AFLMOR;
AFLMRU;4465
AFLMYY;856,13084
AFLNNY;332,2621,5965,6848,11799,16568,16570,16589,16614
AFLNOT;6234
AFLNPU;1201,1355
AFLNSW;6851,10668
AFLNTU;1204,14881
AFLOOS;2644,4482,6099,10652,10658,11512,13085
AFLORS;6099,10622
AFLORV;
AFLOST;
AFLOTY;1578,2272,2630,10620,10633,14933,14988
AFLPPY;1355
AFLPSU;16533
AFLRSU;
AFLRTU;16529
AFLSSU;5642,6237,6473,13378,14862,14943,14979
AFLSTU;
AFLSTY;332,441,2643,7417
AFLSWY;14975
AFLTTY;14974,16611
AFLTUV;2263
AFLTUY;6859,14977
AFLWYY;
AFMNOT;9522,9539,10651,16627
AFMNSU;6864,6865
AFMOOS;2644,14823,14824,14994,16660
AFMORS;
AFMORT;4455,5645
AFMOSU;2247,16547
AFMSSU;2635,13082,14895,16542
AFMSUU;14812
AFNNNO;7650,14825,14955,16580
AFNNOS;4490,6501,13749
AFNNOT;3895,14997
AFNORT;2111,2647,4488,4492,7939,16554,16557,16617,16640,16658,16659
AFNPRY;4492,13747
AFNRSS;2619,2642,2648,3481,10625,13089,16542,16600,16639,16656,16658
AFNRSU;
AFNRYZ;
AFNSSU;8874,8907,12366,12410,13378,13651,14895,14979
AFOORT;4488,10643,14995
AFORRS;855,2634,2644,7664,10652,10654,10669,13738,15007,16630,16657,16659
AFORRW;13731,13744,14837
AFORRY;2641,4455,4492,16655
AFORSS;2642,4487,7665,8573,11844,13089,13749,13750,14922,15005,16637,16639,16642,16658
AFORSV;11844
AFORSY;5646,6862,10661,16605
AFORTU;7663,13755,14829,14838
AFORUV;
AFOSSS;4485,9561,13717,13741,16607
AFOSST;5048,8573,10644,16541,16637,16658
AFOSSU;9504,13089,16639,16658
AFOSTU;16543
AFOSUV;10602
AFPTUW;
AFRRTY;2641,4455,4492,16655
AFRSSW;369,8573,12378
AFRSTU;4481
AGGGIN;
AGGGOS;3899
AGGHIS;12425
AGGHSY;9570,16671,16682,16683
AGGIIL;7666,9572,10684,16708
AGGILN;
AGGILO;444,1871,1872,2653,2657,4517,7666
AGGIMN;8921,13387,15063
AGGINO;4501,6872,8920,13780,15071,16662
AGGINP;13387,13388
AGGINR;
AGGINS;2015
AGGINT;13388
AGGINW;16680
AGGINZ;13098
AGGIOR;444,3486,4498,4501,4517,6505,6872,13780,15060,15071,16726
AGGISW;
AGGIWW;16680
AGGIZZ;16667
AGGKNY;
AGGLNY;9580,13093,16550,16551,16682,16703,16705,16732
AGGLOT;2657,3656,3916,11861,13103
AGGLSU;9569,15029,16706,16710,16719
AGGLSY;16550,16682,16703
AGGLWY;
AGGMNO;3658,8920,8921,13098,13392,15063
AGGMOT;3658,6882,8921,13098,15056,16726
AGGMRU;3914,11863,12450,16726
AGGMSU;
AGGNOU;1665,3915,6882,8248,9577,10688,12422,12423,13392,15056,16670,16679
AGGNOW;16680
AGGNOX;15067
AGGNPU;
AGGNRU;16670
AGGNSU;
AGGNSY;
AGGORS;3242,3899,9581,11852,13799,15077,16671,16683
AGGPRY;4498,4501,11864,16669
AGGQUY;
AGGSTY;
AGHHSU;10700,10705,12456,15086,15098,16741,16755,16756
AGHHTU;6889,10695,10705,12453,13105,15086,15087,15098,16559,16670,16752
AGHIJR;
AGHIKU;859,13807,16786
AGHILN;
AGHILS;1369
AGHILT;
AGHIMN;570,3492,4538,5050,6105,15109,15112,15140,15141,16757
AGHINO;451,570,1061,4537,4959,5050,5051,6105,8930,9637,10740,10755
AGHINR;
AGHINS;
AGHINT;4499,16672
AGHINV;
AGHINW;12468
AGHINY;4501
AGHINZ;10715,13112,16759,16770,16779
AGHIQU;6243
AGHIRR;7434,9600,9642,10760,13817
AGHIRS;
AGHIRT;2679,4551,10741,13122
AGHIST;11408
AGHISU;455,3937,8581,12425,15144,16789,16815
AGHISZ;16814
AGHKSU;5651,8936
AGHLMU;2680,5014,7432,16757
AGHLNU;3942
AGHLOS;7677,16819
AGHLSU;
AGHLSY;7677,11519,15188,15196,16682,16741,16818,16819,16820,16821
AGHLTU;13117,15152,16757
AGHLUY;16741,16742,16820,16821
AGHMOS;454,1669,2683,4558,4959,8581,10700,10737,10742,10768,10769,10771,13110,16763,16769,16772
AGHNNU;15168
AGHNOS;454,4556,4959,6900,10602,10700,13845,15095,16682,16824
AGHNOU;4564,6894,9624,10700,12483,12484,15151,15177,15209,16824
AGHNPS;6528,15095,15192,16682
AGHNPU;2677,3942,4564,15024,15209
AGHNRT;1582,2292,3942,4548,11613,13105,13125,15096,16670,16747
AGHNRU;13105,16670
AGHNRY;2675,2682,10696,10716,10754,16743,16746,16747,16827
AGHNSS;
AGHNST;
AGHNSW;
AGHNTU;1366,2677,3054,3942,6243,9626,10717,16559,16672,16757
AGHNUY;
AGHOQU;
AGHPRS;242,2018,2658,2659,2687,3491,4558,7677,10775,13106,16671,16753,16801
AGHRRU;6889
AGHRRY;2686,3497,3500,3501,8586,8923,10699,10743,10760,10774,12482,13118,13124,14836,15089,15197,15224,15226,16817
AGHRST;2658
AGHRTU;2677,4561,10717,16670,16752
AGHSST;21,456,10718,10734,16560,16822
AGHSSU;16811
AGHSTU;455,3937,4566,10705,15098,16815
AGHSUW;6893,13119,15177
AGHSUY;6904,9570,10771,12426,15212,16741,16755,16756,16820,16821
AGHTTU;1366,4561,7674,9626,9637,10705,10717,10740,10755,15152
AGHTUW;11613,13105,16752
AGIIJN;4499,4574,10605,10788,13145,15245,15246,16661,16662,16672,16673,16695,16696
AGIILN;
AGIIMN;460,6847,10825,16932
AGIINR;
AGIIRT;1062,3088,3978,10708,13165
AGIIST;2014,10604,13139,13143,15010,15122,16675
AGIISV;13860
AGIJLN;
AGIJNP;10846
AGIJNW;1214,13145
AGIJRS;1673,3523,3524,12552,15245,15246,16695,16962
AGIJSW;
AGIKLN;
AGIKLS;8007,9659,9709,10790,13855
AGIKMN;2670,2671,3979,4537,7431,8008,8263,8946,13387,15248,15387,16967
AGIKNR;
AGIKNS;
AGIKNT;13388
AGIKNW;
AGILLU;
AGILMM;6533,6905
AGILMN;
AGILMO;1657,1871,4517,4634,6897,7317,7444,8957,9574,9611,9740,10723,10853
AGILMP;247,335,6897,10853
AGILMY;6897,6905,13147,13811,15431,16563,16983
AGILNN;
AGILNP;
AGILNR;
AGILNS;
AGILNU;463,4522,6922,6923,16854,16988
AGILNV;
AGILNW;
AGILNX;15312,15313,15450,16833
AGILNY;
AGILNZ;2702,2705,2706,3511,4569,4584,4595,4600,10801,10815,10818,15466,16843,16857,16885,16900
AGILOR;4649,8957
AGILOS;
AGILOT;15472
AGILOV;2326,4651,9770
AGILRS;16987
AGILRU;4520,4522,4649,4651,6259,6922,6923,6962,7668,8267,12436,12437,13185,16711,16854,16910,16987,16994,17007,17008
AGILRY;4651,5673,6568,6952,13811,15083,15415,16563,16983,17008
AGILSS;13128,16560
AGILST;
AGILSU;2330,4651,6962,7651,10617,13666,16802,16987,17005,17007
AGILSW;16801
AGIMMS;1669,15160,15481,17010
AGIMNN;
AGIMNP;
AGIMNR;
AGIMNS;
AGIMNT;11614,16672
AGIMNW;13946
AGIMNX;
AGIMNY;9781,15063,15387,16924
AGIMNZ;5058,9597,9602,9779,10781,12495,12498,13133,15044,15046,15109,15112,15140,15253,15273,16843,16866,16900,16917,16924,16932
AGIMOS;1669,6964
AGIMRU;439,2028,4465,13069,16532
AGIMSS;3528,4591
AGIMST;13115,17010
AGIMWW;
AGINNO;1059,7650
AGINNP;
AGINNS;
AGINNT;
AGINNU;463,16976,17025
AGINNW;
AGINOR;
AGINOS;
AGINOT;451
AGINPR;
AGINPS;
AGINPT;13388
AGINPV;12538,16845,16874
AGINPW;
AGINPY;7702
AGINRR;
AGINRS;
AGINRT;
AGINRU;6922,6923,6934,15536,16854,16910,16959
AGINRV;
AGINRW;
AGINRX;9695,13876,16583,16910
AGINRY;
AGINRZ;
AGINSS;
AGINST;
AGINSU;
AGINSV;
AGINSW;
AGINSY;
AGINSZ;2705,4463,4629,6907,6915,10784,10801,16857,16917,16929
AGINTW;
AGINTX;
AGINUX;6271,15074,15541
AGINVW;
AGINWX;
AGINWY;
AGIOPS;455,4051,7667,7670,9813,10744,10863,10866,15481,16815,17010
AGIORS;5799,5978
AGIORU;1665,2679,4649,4671,6554,6952,8614,9577,10689,10745,13675,16596,17027
AGIORV;8610,9712,9727,10798,10803,10823,11924,12444,12467,12474,15011,15022,15054,15060,15456
AGIOTU;2326,2327,2679,4649,6554,6952,7446,8614,13675,15472
AGIOUY;6950,6952,13174,15549,16597,16974
AGIPRS;10876,16801,17003,17010
AGIRST;
AGIRSV;
AGIRTU;1228,2028,2679,4522,4649,4671,6271,6554,6922,6923,6934,6952,8614,15052,16529,16854,16910,16959
AGISST;456,2694,16560,17021
AGISTT;8971,10877,11410,16773,16798,16987,17003,17004,17005,17007
AGISTU;
AGITTW;7428
AGJLMO;
AGJLNY;9816,10847
AGJLSU;
AGJLUU;
AGJNOR;6879,10845
AGJTTY;
AGKLNO;8022,12626,13423
AGKLNS;1190
AGKLOO;9568,16967
AGKLOS;13424
AGKLOT;7684,16588
AGKLOU;16588
AGKNOU;5657,6894,9713,9817,12626,13423,16588
AGKNRS;
AGKNRU;5671,12626
AGKNSY;4628,4630,6946,10722,15384,16567,16783,16966
AGKOPS;4059,5651,13424,15391
AGLLNO;6940,16880,16961
AGLLOP;6972,7443,9725,10853,17045
AGLLOR;
AGLLOW;
AGLLRY;4634,5673,17042
AGLLSU;
AGLMMY;6905,13426
AGLMOR;22,4517,4588,4634,5063,16791,17051,17054
AGLMOS;15189,15575
AGLMSU;468,16987
AGLNNO;3915,3940,4678,11672,15577,15578,17056
AGLNNU;463,3915,4678,16976,16980,16988,17056
AGLNOO;2682,2757,4679,9580,10809,14019,15422,16708,17049,17051
AGLNOP;2757,3940,4555,6583,14019
AGLNOS;
AGLNOU;3514,3530,6567,6882,7687,8762,10811,10871,10906,13184,13423,15056,15152,15417,15578,16574,16588,16594,16679,16976,16980
AGLNOW;9817,14017,15057,16794,16967
AGLNRS;
AGLNRU;6922,6923,16711,16854,16994
AGLNRY;2682,16732,17042,17051
AGLNSS;
AGLNSY;4674
AGLNTY;15577,17048,17051
AGLNUU;5649,6960,10616,10871,16679,16981
AGLOOP;4557,5650,6583,6898,10728,10853,10864,14019,16708,16762,17053
AGLOOR;4557,4679,5063,6543,12571,14019,14026,15422,17051,17053,17054
AGLOOS;4632,5658,15431
AGLOOT;4679,7446,8928,9611,9747,9768,10726,10809,14026,15157,15422,15472,15577,16665,17053
AGLOPS;15,242,4546,5651,7677,15029,16533
AGLORS;242,7677
AGLORU;15574,16742
AGLOSS;16799
AGLOST;8616,16533
AGLOSV;
AGLOSW;
AGLOTV;
AGLOTY;2031,2657,2755,3916,4682,6952,7444,7694,8615,9649,9821,10620,10865,10867,13165,14011,15577,16738,16742,17007,17045,17056
AGLOWY;9822,16742,16794
AGLPSY;7677,10866,14015,15188,16741,16801,16818,16820,16821,17044
AGLPUY;16741,16820,16821
AGLRSU;16790,16802
AGLRUV;16711,16904,16994,16998
AGLRUY;2759,4651,4682,8603,15574,16597,16742,16994,17007,17008,17046,17047
AGLRYY;3501,15190,15465,16823,17051,17054
AGLSSU;2740,3527,5060,6955
AGLSSY;2756,15200,16818
AGLSTU;2741,13164,13186,17005,17007
AGLSUV;
AGMMNO;377,2316,2742,8920,10821,10880,13392,15248,15387,16576,16725,16858,16912
AGMMNU;2743,3909,10880,13392,15417,16913
AGMMSU;4082,12439
AGMNNO;
AGMNNU;2728,11953,15587,16842,16843,16976,16979
AGMNOR;16743
AGMNOS;16824
AGMNOX;
AGMNRU;439,16532
AGMNSU;13760
AGMNUY;6918,14036,15418,17049
AGMOOY;2757,4634,8297,15063,15431,17046
AGMOPS;454,4080,4558,4610,4658,10744,10771,10908,15113,15160,15165,16807,17010
AGMORS;10768
AGMORV;10823,15593,17013
AGMORY;2031,4634,5063,8281,9822,11863,11957,17054
AGMOST;1231,4031,4636,6964,10868,15189,15284,16901
AGMOYZ;241,15140,16924
AGMPRS;6527,10908,17010
AGMPRY;4080,4658,13821
AGMPUZ;
AGMRSU;2681
AGMSTU;6587,13115,16987
AGNNOT;2618
AGNNOY;3940,7690,12625,13181,15067,15387,15512,15577,16576,16705,16876,17056
AGNNRY;
AGNNSU;
AGNNTU;
AGNNUW;9817,16667
AGNOOZ;5058,9779,15149,15536,16558,16708
AGNOPS;15095,15584,15599,16824
AGNOQU;1677
AGNORR;2685,4560,4564,4678,10701,10773,16827
AGNORS;
AGNORU;1665,1677,4564,9577,10745
AGNORW;6943,6958,10823,10874,11609,11613,13105,16680,16810
AGNORY;1677,2682,2760,4501,4555,4563,4564,16732,16743,16746,16747,16827
AGNOSS;
AGNOST;
AGNOSU;14047,16824
AGNOSW;10834,15347,15514,16810,16938
AGNOSZ;5652,10753,10784,11946,16704,16715,16929
AGNOTU;15578,17049
AGNOWY;13181,16794
AGNOZZ;13184
AGNPRS;8617,13196
AGNPSS;
AGNPSU;8617,15598
AGNRRS;
AGNRST;
AGNRSU;
AGNRSW;
AGNRTY;2760,4563,16747,17051
AGNSST;17021
AGNSSU;12366,13443,14047
AGNSSY;3476,16826
AGNSTU;
AGNSTW;
AGNSTY;15219,15598,16826
AGNTTY;2321,2745,4062,4067,4554,4627,5057,6578,6908,7702,9809,14036,15602,16587,16747,16797
AGNTWY;4666,10722,15549,16797
AGOORT;10907,10910,13163,17003,17051,17053
AGOORV;8610,9003,9798,10803,14026,14043,15511,15593,15604,16953
AGOOSZ;15222
AGOPRS;242,4558,7677,10872,10908,13106,16671,16753,17044
AGOPRT;2686,4649,8614,10820,10907,13122,13125,13165,16744,16973,17053
AGOPRU;5278,8614,13191,15574,15605
AGORRT;4649,6889,8614,10907,17053
AGORSS;10910
AGORST;
AGORSU;
AGORSY;7,4546,4552,4651,5652,6904,7452,7677,8584,9651,10763,10775,10910,11877,12632,13106,13196,15099,15216,15223,16671,16753,16830,17044,17047
AGORTU;4649,10907,16752,17053
AGOSTU;
AGOSTV;3521,4619,9654,10900,13852,15509
AGOSYZ;5652,8616
AGOTTU;4682,16594,16946,16980,17028
AGOTUY;3916,13174,16826,17056
AGPRSS;2687,3499,4591,4653,4662,4663,6973,10772,10908,10910
AGPSUU;4566,17002,17039
AGPSUW;4082
AGRRTU;874,1228,4088,4649,4682,5665,6889,8614,9771,10692,10907,12639,13677,13790,15604,16959,17027,17053
AGRSST;21,456,3091,6971,10910
AGRSSU;
AGRSSY;21,456,3499,10772,10908,10910,16830
AGRSTU;
AGRSUU;17039,17040
AGRSUY;4651,6904,9009,12426,13196,15212,17046,17047
AGRUUY;4561,11536,17008,17047
AGSTTU;13648,13792
AGSTUU;4566,6880,6937,6960,16599,16899,16963,17039
AGSUWY;2342,16755,16756
AHHIJR;
AHHIKS;17062
AHHIRS;16736,17062
AHHISS;10918,16560,17067,17075
AHHISV;1392,1393
AHHKOO;
AHHKPS;
AHHKSY;
AHHLPY;345,4529,15083,15637,16669,16738,16741,17065,17071
AHHOOR;5475,5685,6120,6591,6889,9022,9590,9856,10701,10917,13202,15097,15623,15631,15636,16747,16752,17063,17070,17073
AHHOPW;3491,17075
AHHORS;6119,9023,10700,10928,13803,16755
AHHPPU;
AHHRRU;6889
AHHRST;6119,16736,16737,16748,16750,17061
AHHUZZ;
AHIIKP;
AHIILT;471,558,1067,1365,4532,5021,5686,6279,7145,7462,8250,8618,10708,12644,15661,16761,16765,17093
AHIINT;471,3305,4532,4696
AHIISS;1397,3092,5997,6598,6888,6984,8306,10935,11982,12674,13215,14080,15122,15687,16562,16676,16736,17098
AHIJJS;
AHIJRS;470,17088,17108
AHIKKS;4702,15690,17110
AHIKLP;4104
AHIKLS;4702
AHIKLT;
AHIKMR;4535,10720
AHIKMS;
AHIKMV;
AHIKNS;5137
AHIKOW;4537
AHIKPP;255
AHIKRS;
AHIKSS;
AHIKST;13115,16783,16785
AHIKSU;10967,15693,17062
AHIKSZ;2363
AHIKTW;4537,15126
AHILLO;4708,13077,15657
AHILLP;4708,5022,6597,15138,15657,17064
AHILLS;5022,6597,11981,15691
AHILLT;
AHILLZ;4706
AHILMO;16791
AHILMS;
AHILMU;11427
AHILNR;10621
AHILNU;259,561,1067,1689,2779,6609,6986,15616,17070
AHILNY;4705,5695
AHILPS;4687,5022,6281,14053,17064,17117
AHILRW;2669,6619,13811,15126,15693,15711,16794,17111
AHILST;
AHILSV;4702,7271,9037,13462
AHILTU;259,2370,2779,9924,9934,11427,13117,13461,14054,14102,15152,15616,16679,17070,17122
AHILTW;1399,4532,9616,9879,14104,15126
AHILYZ;3308,4706,10984,15140,16759
AHIMNR;17073
AHIMNT;
AHIMOR;3478,3712,4548,9958,12648,12697,15164,17122
AHIMPS;877,5702,6975,6989,11001,17117
AHIMRS;470
AHIMRT;2034,2763,3712,3713,8621,10741,10954,10998,13474,17102,17122
AHIMSU;8581,11001,12666,13115,13220,15772,17108
AHINPR;17073
AHINPT;24,251,1412,7737,11013
AHINRS;13226
AHINRU;17070
AHINSS;6974,6995,10953,11010
AHINST;
AHINSU;12374,12702,15804
AHINSV;
AHINSW;10932
AHIOPS;455,12023,12649,12671,13222,13225,14053,15628,16815,17064,17071,17117
AHIORS;479,2392,4692,9969,9983,17129
AHIORT;3722,12697,13122,13228,14151,15620,15629,15684,16606,17122
AHIORV;8775,9634,12467,12474,13824,15022
AHIPPS;481,4719,6979,6996,16740,17087
AHIPRS;5139,5702,6996,7744,17129
AHIPRU;2677,9090
AHIPSS;
AHIRRS;5702,5706,7270,7742,8619,11006,13226,17062,17134
AHIRRW;2390
AHIRST;
AHIRSU;1004,6991,7742,7923,17062,17108
AHIRSV;
AHIRSW;
AHIRSZ;1408,7334,7335,13225,13472,13483,13764,13819,14134,15125,16814,17077,17124,17139
AHIRTW;24,16606
AHISST;476
AHISSV;10935,10953,10963
AHISSW;336,445
AHISTT;4711,4721,16773,16798,17097,17133
AHISTU;455,3937,9088,13115,13214,16815
AHJKOS;10010
AHJOOP;
AHJPSU;4726
AHJSTU;
AHKKPU;
AHKKSU;
AHKLOO;5077,9568
AHKLPU;5348
AHKMNU;
AHKMOS;7119,10967,17152
AHKMOW;
AHKNPU;
AHKNRS;13231
AHKNSS;2619,6294,13835
AHKNST;8309,8339,9100,10014,12451,13231,14069,16783
AHKNSU;6893,10719,13231
AHKOOS;17110
AHKOPS;4729,4730,6987,15690,17112,17152
AHKOSS;
AHKPUU;
AHKRSS;
AHKRST;5111
AHKRTU;680
AHLLMO;2809,4705,10723,10915
AHLLMU;
AHLLNU;2779,5649,9478,16609
AHLLOO;13077,13216
AHLLOS;
AHLLOT;
AHLLOU;14164,15657
AHLLOW;
AHLLPY;1896,2673,2777,2778,4538,4705,8310,11027,13484,15630,15827,17081
