AABB;575
EEKP;
EEKR;
EEKS;
EEKT;20142
EEKW;
EELM;
EELP;
EELR;
EELS;
EELT;
EELV;
EELW;
EELY;
EEMM;
EEMN;
EEMR;
EEMS;
EEMT;
EEMU;21097
EEMV;
EEMW;
EEMZ;13474,18490,20961,21038,24828,25319,25494
EENN;
EENP;
EENR;
EENS;
EENT;
EENV;
EENW;
EENY;
EEOV;
EEPP;
EEPR;
EEPS;
EEPV;3730,3758,3823,21213
EEPW;21289
EERS;
EERT;
EERV;
EERW;
EERY;
EESS;
EEST;
EESV;
EESW;
EESX;
EESY;
EESZ;
EETT;
EETV;
EETW;13802
EETY;13802,17806,19153,19254,20142,22802,25622
EEVY;2188,8871,13802,17764,19777,19855,19892,20636,20767,20861
EEWX;
EEZZ;
EFFI;9470,20861
EFFJ;
EFFM;8744,8873,14818
EFFS;
EFFT;
EFGL;
EFGS;14833
EFHM;3875,23919,26479,26493,26494
EFHS;
EFHT;
EFIK;
EFIL;
EFIN;
EFIR;
EFIS;
EFIV;
EFIW;
EFKR;
EFKS;
EFKY;
EFLL;
EFLO;
EFLP;1192,11513
EFLS;
EFLT;
EFLU;
EFLW;
EFLX;
EFLY;
EFMR;
EFMS;
EFMU;
EFNO;
EFNR;
EFNS;
EFNT;
EFNU;
EFOR;
EFOS;
EFRS;
EFRT;
EFRY;
EFSS;
EFST;
EFSU;
EFSW;
EFSY;
EFTT;
EFTW;
EFUZ;
EGGL;
EGGS;
EGGT;20936
EGGY;15067,26631
EGHP;26702,26703
EGHU;
EGIL;
EGIN;
EGIS;
EGIT;
EGIV;
EGKS;
EGLN;
EGLO;
EGLS;
EGLT;
EGLU;
EGLY;
EGMN;
EGMR;
EGMS;
EGMU;
EGNO;
EGNR;
EGNS;
EGNT;
EGNU;
EGOR;
EGOS;
EGOT;
EGOV;
EGOY;
EGPS;
EGRS;
EGRT;
EGRU;
EGRW;
EGRX;359,389,3660,9599,9642,9811,12486,13849,18758,24010,24026,24027,24739
EGRY;26432
EGSS;
EGST;
EGSU;
EGTU;
EGTY;
EGVY;13802,26985
EHHS;4094,18691,18761,20695,21025,21799,27165
EHHT;18240
EHIK;4104
EHIL;
EHIR;
EHIS;
EHIV;
EHJU;
EHKO;
EHKS;
EHKT;
EHKU;21120
EHKY;
EHLL;
EHLM;
EHLO;
EHLP;
EHLR;27333
EHLU;
EHLY;
EHMO;
EHMP;1236,17488
EHMR;
EHMS;
EHMT;
EHMV;6513,6605,15164,15652,27192
EHNO;
EHNR;
EHNS;
EHNT;
EHNW;313,4138
EHNY;
EHOP;1236
EHOR;
EHOS;
EHOT;
EHOV;
EHOW;
EHPS;
EHPT;
EHPW;8340,20302,20303,27205
EHPY;25619
EHRS;
EHRT;
EHRU;
EHRY;
EHSS;
EHST;
EHSU;
EHSW;
EHSY;
EHTT;
EHTW;
EHTY;
EHWW;12646
EHWY;12646
EIJV;
EIKK;7552
EIKL;
EIKM;6314
EIKN;
EIKP;
EIKR;
EIKS;
EIKT;
EIKV;
EIKY;
EILM;
EILN;
EILP;
EILR;
EILS;
EILT;
EILU;
EILV;
EILW;
EILX;
EIMM;
EIMN;
EIMR;
EIMS;
EIMT;
EINN;
EINO;
EINP;
EINR;
EINS;
EINT;
EINV;
EINW;
EINX;
EINZ;
EIOU;7415,11588,12423,15506,19078,23668
EIOW;
EIPP;18389
EIPR;
EIPS;
EIPT;
EIPW;27423
EIPY;
EIPZ;
EIRS;
EIRT;
EIRU;
EIRV;
EIRW;
EISS;
EIST;
EISV;
EISW;
EISZ;
EITT;
EITU;
EITV;
EITW;
EITX;
EITY;
EITZ;25462,25475,26604,26831
EIVV;3742
EIVW;
EJKO;
EJKR;
EJKU;
EJLL;
EJLO;17764,21647
EJNO;
EJOS;
EJOY;17764,17867
EJPU;
EJRU;
EJSS;
EJST;
EJSW;1143,4957,12884
EJTU;19538,21399
EJUV;14634
EJUX;
EKKS;
EKLL;550,4222,12255
EKLO;
EKLP;
EKLS;
EKLT;
EKLU;25991
EKLW;
EKLY;17749
EKMO;4104,15248
EKMP;665,18825
EKMR;
EKNO;
EKNP;24574,26257
EKNR;
EKNS;
EKNT;
EKNU;
EKNW;
EKNY;
EKOP;
EKOR;
EKOS;
EKOT;
EKOW;
EKOY;
EKPR;
EKPS;
EKPT;
EKPU;
EKPY;
EKRS;
EKRT;
EKRY;
EKRZ;16427
EKST;
EKSU;
EKSW;
EKSY;
EKSZ;
EKTY;
EKUY;
ELLM;
ELLP;19070
ELLS;
ELLT;
ELLV;
ELLW;
ELLY;
ELMO;
ELMR;
ELMS;
ELMT;
ELMU;
ELMW;24782
ELMY;
ELNO;
ELNS;
ELNT;
ELNU;
ELNY;
ELOO;
ELOP;
ELOR;
ELOS;
ELOT;
ELOV;
ELOW;
ELPR;
ELPS;
ELPT;
ELPU;
ELPW;4992,26856,27423
ELPX;
ELPY;24910
ELRU;
ELRY;
ELSS;
ELST;
ELSU;
ELSV;
ELSW;
ELSY;
ELSZ;
ELTT;
ELTU;
ELTW;
ELTY;
ELUX;25138
ELUY;
ELVY;
ELWY;
ELZZ;
EMMO;3914
EMMS;
EMMY;26033
EMNN;
EMNO;
EMNT;
EMNU;
EMOP;
EMOR;
EMOS;
EMOT;
EMOU;20830
EMOV;
EMOW;
EMOZ;21672,22128,24828,25494,26736
EMPR;
EMPT;
EMPY;
EMRS;
EMRT;
EMRU;
EMSS;
EMST;
EMSU;
EMSW;
EMSY;
EMTU;
EMYZ;
EMZZ;
ENNO;
ENOP;
ENOR;
ENOS;
ENOT;
ENOV;
ENOW;
ENOX;22930,24025
ENOZ;
ENPR;
ENPS;
ENPT;
ENPY;
ENRS;
ENRT;
ENRU;
ENRW;
ENRY;
ENSS;
ENST;
ENSW;
ENSY;19413
ENSZ;25280
ENTT;
ENTU;
ENTV;
ENTW;
ENTX;
ENTY;
ENVY;
EOOS;
EOOZ;
EOPP;
EOPR;
EOPS;
EOPT;
EOPX;9992,13849,15515
EORR;
EORS;
EORT;
EORU;
EORV;
EORW;
EORX;
EORY;12763
EORZ;
EOSS;
EOST;
EOSV;
EOSW;
EOSX;
EOSY;
EOTT;
EOTV;
EOTY;
EOTZ;
EOVW;
EOWY;
EOYZ;3826,15813,15814,23425,24188,25619,26631
EPPR;
EPPS;
EPQU;21471
EPRS;
EPRT;
EPRU;
EPRV;
EPRX;9599,13849
EPRY;
EPRZ;
EPSS;
EPST;
EPSU;
EPSW;4082
EPSY;
EPSZ;15222,20183
EPTW;
EPTY;
EQUY;
ERRS;
ERRU;
ERSS;
ERST;
ERSU;
ERSV;
ERSW;
ERSY;
ERTT;
ERTU;
ERTV;
ERTW;
ERTY;
ERTZ;
ERUV;
ERVY;
ERYY;8361,10005,12763,15567,15621,17806,17858,17926,21158,21431,23958,24167,24188,25625,25775,27129,27174
ESSS;
ESST;
ESSU;
ESSV;
ESSW;
ESSY;
ESTT;
ESTU;
ESTV;
ESTW;
ESTX;
ESTY;
ESTZ;
ESUY;19413
ESWY;
ESXY;
ETTX;196,27197
ETTY;
ETVX;389
ETWY;
FFFU;
FFGO;
FFGU;
FFHU;
FFII;2008,3477,20861
FFIJ;
FFIK;27703
FFIM;8568
FFIN;
FFIR;
FFIT;
FFIV;2239,3861,9470,20861,26358
FFIY;
FFIZ;
FFKO;
FFLU;
FFMU;
FFNU;23875
FFOS;
FFOT;2614,14825,27713
FFOY;22324,25101,26356
FFPT;9468
FFPU;
FFRU;
FFTU;
FGIO;3478
FGIR;3478
FGIS;
FGIT;
FGLO;
FGLU;
FGNU;
FGOO;
FGOR;
FGOS;
FGOW;
FGOY;10617,16605
FGRU;439,13069
FGSU;
FGUU;10619,22318,22990,27703
FHIQ;
FHIS;6842,7648
FHMU;25189
FHNO;10599,22349,24405
FHOO;
FHOU;
FHOW;
FIIN;960
FIJU;
FIKL;
FIKN;
FIKR;27703
FIKS;
FIKU;
FIKY;23330
FILL;
FILM;
FILO;
FILP;
FILR;
FILS;
FILT;
FILX;
FIMR;
FINO;960
FINR;
FINS;
FIOT;
FIPS;4461,13364,14833,23342
FIPU;10645,13086,16642,17586,19951,21545,21550
FIRS;
FIRT;
FIRZ;
FIST;
FITT;
FITX;20649,27767
FIZZ;
FKLO;
FKNU;
FKOR;
FKSU;
FKSY;
FLLU;18051
FLOO;
FLOP;11513
FLOR;
FLOT;
FLOU;
FLOW;
FLOX;
FLRU;
FLSU;
FLUX;
FMOO;7658,14995,19799,20879,23100,24697
FMOR;
FMSU;
FMUY;19609
FNOS;
FNOT;
FNSU;
FOOP;10649,22913
FOOR;7658
FOOS;
FOOT;19608
FOOW;
FOOY;
FOPR;14836
FOPS;19055,19066,19419
FOPU;10645,13086
FORS;
FORT;
FORU;19607
FORW;
FOSS;
FOST;
FOSU;
FOSW;
FOSY;22342
FOTT;2614,2623,7996,27713
FOTU;
FOWW;
FOXY;14834,25158
FOYZ;
FRRU;13069
FRSU;
FRTU;
FRUY;
FRUZ;27747,27757
FSSU;
FSTU;
FTTU;
FTUY;
FTUZ;
FUZZ;
GGHO;444,4498,9568,16669
GGIM;4517,16726
GGIN;
GGIR;27804
GGIS;
GGLU;
GGMU;
GGNO;
GGNU;
GGOO;
GGOR;
GGUV;
GHHI;
GHHO;1364,2016,2280,4498,4529,4530,9587,10701,10702,15094,15097,16669,16743,16744,16747,18031,22387,27853
GHIN;
GHIS;
GHIT;
GHIW;
GHNO;
GHNU;
GHOS;
GHOT;
GHOY;22416
GHPU;2018,2687,8941,9570,9652,10771,12487,15098,16815,26703,27924
GHSU;
GHTU;
GHUV;26665,26712,26791
GHUY;4561,13124,19621,21587
GIJO;
GIJS;
GIKN;
GILL;
GILM;
GILN;
GILR;
GILS;
GILT;
GILU;
GIMN;
GIMP;22410
GIMR;4517,22410
GIMS;
GINN;
GINO;
GINP;
GINR;
GINS;
GINT;
GINW;
GINZ;19631,19633,22420,24466
GIOR;
GIOS;
GIOY;4498,4551,15089
GIPR;
GIPS;
GIRR;13069
GIRS;
GIRT;
GIRY;
GIRZ;1538,18322,19633,22416,24459,27807,27840
GISS;
GIST;
GISV;
GISW;26431
GISZ;
GITW;
GIZZ;24484
GJNO;23906
GJOS;
GJSU;
GKNO;
GKNU;
GKOO;
GKOR;
GKOS;
GKOU;18727
GKOW;9568,9817
GKSU;
GLLU;
GLMO;
GLMU;
GLNO;
GLNU;
GLOO;
GLOP;19626,27844
GLOS;
GLOV;22455
GLOW;24782
GLOY;241,10617,19626
GLPU;
GLRR;1667,4517,4557,4649,4682,5063,7668,13118,17053,17054,18124,28033,28045
GLRU;
GLSU;
GLTU;
GLUY;2740
GMNO;
GMNU;
GMOR;
GMOS;
GMPU;
GMPY;13844,24791
GMRU;17556
GMSU;
GMSY;17556,21011,21766,25378,26783,26786,26787
GNNO;
GNOO;
GNOP;
GNOR;
GNOS;
GNOT;
GNOW;
GNOY;
GNPU;
GNRU;
GNSU;
GNTU;
GNYY;4060,10702,16732,16743,17051,17496,28053
GOOP;101,861,1364,7676
GOOR;7676,10701,10773
GOOS;
GOPR;
GOPU;4566,10771
GOPY;2657,19626
GORS;
GORT;
GORW;
GORY;
GOSS;
GOST;
GOSU;
GOSV;
GOSW;6964
GOSY;
GOTU;
GPSU;
GPSY;
GRSU;
GRTU;
GRUU;18937,19614,22318,25457,26922,27703,27947
GSSU;
GSTU;
GSTY;
GSUV;18055,25547,26961
GSUY;
HHHS;
HHIS;
HHNU;13105,13760,16559,16670,17070,17077,24125,24704,26363,27138,27846,28078,28086
HHOP;575,1236,1237,1364,1395,5473,5682,5685,6120,6591,6976,6977,6978,6979,7710,9851,10696,10701,10702,15094,15097,15620,15636,15637,16669,16741,16743,16744,17063,17064,17067,17071,17073,17083,17603,17695,17839,17840,17959,18389,20278,20533,20536,20694,20695,21025,21782,21788,21800,21801,21804,22517,22523,22528,22532,22533,22537,22947,23515,24417,24512,24514,25619,25623,25629,27149,27174,27853,28086
HHOS;4095,4684,7860,15611,15637,17071,17075,20695,21025,21780,21799,22520,22528,23515,24125,24129,24417,24803,25633,27133,28075,28082,28084
HHSU;4090,4094,17064,18517,27138
HHUU;14881,16670
HIIL;4693,17531,18766,22998,23519,25643,26461,26690,26691
HIIM;4693,7711,10912,17104,18988,21830,25319,26677,27190
HIIO;1398,4696,11620,15684,19036,22998,28103
HIKO;
HIKS;
HIKT;
HILL;
HILT;
HIMS;
HIMW;2390,13811,17744,18070,22844,26717
HINS;
HINT;
HINW;
HIOR;444,4498
HIOS;
HIOT;
HIOW;15629,18393,27231,27804
HIPS;
HIPT;
HIPW;
HIPZ;11011,11987,18529,21038,24828,25619,26656,27215,27858
HIRS;
HIRT;
HIRW;
HISS;
HIST;
HISU;
HISV;
HISW;
HITW;
HIWZ;
HIZZ;
HJNO;
HJOS;
HKLO;6292
HKLU;
HKNO;1416,4728
HKNU;
HKOO;
HKOP;20694,21116,25637
HKOR;1416,4728,17080
HKOW;17080
HKRU;
HKSU;28082
HLLU;
HLMO;18996
HLOO;26490
HLOP;444,17603,17839,18483,19646,19647,20533,21945,22410,27844,28140
HLOS;
HLOT;
HLOW;
HLOY;241,20533
HLRU;
HLSU;
HLWY;16742,24536
HMMM;
HMNY;
HMOO;1071,4560,24527,24539,27907
HMOR;24539
HMOS;
HMOT;20550
HMOW;19458,22844,23026,25768
HMOY;18996,24535,27816
HMPU;
HMSU;
HMTY;4561
HNOO;
HNOP;
HNOR;
HNOS;
HNOT;
HNSU;
HNTU;22599
HOOP;24538
HOOR;4557,9113
HOOS;
HOOT;
HOPQ;3559,13237
HOPS;
HOPT;
HOPU;18996
HOPW;
HOPY;4104,4498,19329,22416,22526,25619
HORS;
HORT;
HORU;
HOSS;
HOST;
HOSU;
HOSW;
HOSY;
HOSZ;576,15222,25618,25795,27189,27310,28110
HOTU;
HOTW;
HOWW;
HPRU;24513,27924
HPSU;
HPSY;
HPTU;
HPUW;
HRSU;
HRTU;
HSSU;
HSTU;
HSWY;
IIKP;
IIKT;1424
IIKW;7023,16760,26846,27423
IILP;4693,10912,19007
IILR;1667,7668,19680,22378,22613,28166
IILW;24558,27423
IIMN;
IIMP;2762,4693,7711,10912,17104,19007,28096
IIMR;18940,19008,19092,19680
IIMS;
IINS;
IINT;
IIPP;
IIPT;3749,7711,18058
IIRS;25900,28197
IIST;
IISW;18940,22091
IITT;20861,21530
IITZ;2706,2824,3574,3584,4595,4753,4798,7771,10777,10781,10829,15046,15913,16900,16939,17197,17213,17758,19631,19633,20296,20383,22376,22420,22434,23986,25462,26831,27215,27883
IJKN;
IJKO;
IJLL;
IJLT;2021,17764
IJMP;
IJMS;470,28022
IJNN;27830
IJNO;
IJNS;
IJNX;
IJOR;27831
IJOS;
IJVY;
IJZZ;
IKKL;
IKKN;609,8600,20899,22607
IKKR;
IKLL;
IKLM;
IKLN;
IKLO;
IKLP;
IKLR;
IKLS;
IKLT;
IKMN;634
IKMO;
IKMR;
IKMS;
IKNO;
IKNP;
IKNR;
IKNS;
IKNT;
IKNW;
IKNY;
IKOS;
IKPP;
IKPS;
IKRS;
IKRU;
IKRY;
IKSS;
IKST;
IKTU;
ILLL;2653,6127,7024,13705,17579,18578,22026,22113,22114,24420,24796,25133,25468,26410
ILLM;
ILLN;22607
ILLO;1714,17476
ILLP;17476,24910
ILLR;
ILLS;
ILLT;
ILLV;22113,27523
ILLW;
ILLY;
ILLZ;24480,25313,25406,25475,26864
ILMN;
ILMO;
ILMP;22410
ILMS;
ILMT;24913,24914
ILMU;
ILMY;
ILNN;22680
ILNO;
ILNR;
ILNS;
ILNT;
ILNY;
ILOO;
ILOP;
ILOR;
ILOS;
ILOT;
ILOV;
ILOY;1714,10271,21781
ILPR;22410,27844
ILPS;
ILPU;
ILPY;24910
ILRT;
ILRV;
ILST;
ILSY;
ILTT;
ILTU;
ILTW;24558
ILWY;27423
IMMO;
IMMY;1354,6352,6905,12074,15744,16622,26033
IMNO;
IMNS;
IMNT;
IMNU;
IMNX;11046,11074
IMNY;
IMOO;4333,17104,17138,22416,22530,24518,27913,28128
IMOR;
IMOS;
IMOT;
IMOX;
IMPP;2783,10912,16314,17104
IMPR;
IMPS;
IMPU;
IMPW;
IMQU;18811
IMRS;
IMRT;
IMRU;
IMRV;11076,21739,24970,28154
IMRY;4866
IMSS;
IMST;
IMSU;
IMSV;28152,28167
IMSW;
IMTT;8621,11008,22521,28154
IMTU;
IMTX;
IMTY;28154
IMXY;4099,4693,11074,14368,15714,16311,17391
IMZZ;
INNO;
INNS;
INNW;
INOP;
INOR;
INOS;
INOT;
INOV;
INOW;
INOY;4753
INPR;
INPS;
INPT;
INPY;
INQS;
INQU;
INRS;
INRT;
INRU;
INSS;
INST;
INSU;
INSV;
INSW;
INSY;
INSZ;17561
INTT;
INTU;
INTV;22420
INTW;
INTY;
INVY;2084
INWY;
INXY;21229,23183,23659,24188,24527,28118
IOPS;
IOPT;
IOPV;20298
IOPY;4498,19038
IORS;
IORT;
IORV;
IORZ;
IOSS;
IOTT;4862,5366,7038
IOVV;4894,8775,11063,14557,16079,18893,19547
IPPR;7676,11016,22588
IPPS;
IPPY;
IPQU;
IPRS;
IPRT;
IPRU;
IPSS;
IPST;
IPSV;28151,28153,28167
IPSW;29
IPSY;
IPSZ;13256,24483,27858,28010,28081,28121
IPTT;28154
IPTU;
IPTY;18058
IPXY;4693,11285
IQTU;
IQUZ;24466
IRRT;4475,4833,16625,17102
IRRY;8586,19216,28033
IRSS;
IRST;
IRTT;
IRTW;
IRTZ;19633,21633,21635,22434,25462,25475,26831,27807
IRWY;16606
ISSS;
ISST;
ISSW;
ISTT;
ISTU;
ISTW;
ISTZ;
ISWY;
ISWZ;16929
ISYZ;18963,21687,24146,25618,26635,27820,27858,28005
ITTW;
ITVY;13802,17867,20861
ITZZ;
IVYZ;21363
IZZZ;
JJUU;
JKNU;
JKOO;
JKOU;
JKOY;
JKUU;
JLLO;
JLOS;28180
JLOT;
JLOW;
JMOO;
JMPU;
JNXY;
JORS;
JORU;
JOSS;
JOST;
JOSU;
JOSW;
JOSY;17108,20564,28180
JRUY;
JSTU;
KKNO;
KKOO;5077,26251
KKUU;
KLNU;
KLOO;
KLOP;
KLOS;
KLOU;10485
KLOV;28026
KLOY;
KLPU;
KLRU;11172,25991
KLSU;
KMNO;427,634,4226,15248,23816
KMOO;
KMOS;
KMRU;25991
KMSU;
KNOO;21116
KNOP;21116
KNOR;
KNOS;
KNOT;
KNOW;
KNOZ;4753,8671,16427,17419
KNPU;
KNRU;
KNSU;
KNTU;
KOOP;
KOOR;
KOOS;
KOOT;1416,4728,17419,21116
KOPR;
KOPS;
KOPU;
KOPY;
KORS;
KORU;
KORW;
KORY;
KOSS;
KOSU;
KOSW;25263
KOSY;
KOTU;
KOUY;
KOUZ;
KPUU;17952
KPUY;
KRSU;
KRSY;
KRTU;25991
KRUU;27703
KSST;
KSSU;
KSTU;
KSUY;
KTUU;
KUUZ;
KUYY;
LLLO;5400,5537,5597,16620,17579,22026,22113,24420
LLLU;221,1328,2887,3539,4672,5537,5591,7618,15941,17336,17337,18578
LLMO;23917
LLMU;18996
LLNO;
LLNU;19069,24780,27773,28072
LLOP;4222
LLOR;
LLOT;
LLOZ;5028,6805,10856,10867,11185,15574,27444
LLPU;
LLUU;603,2910,22668,23917,24422,26370
LLUW;
LLUZ;15574,26864,27444
LMOO;
LMOS;
LMOT;
LMOY;
LMPU;
LMRU;19680
LMSU;
LMSY;
LNOO;
LNOR;19032
LNOU;
LNOW;
LNOY;
LNRU;27769
LNSU;
LNTU;
LNUV;
LNUY;26485,27666,27668,27674,28150,28223,28246,28247,28248
LNXY;28118
LOOP;
LOOR;17424
LOOS;
LOOT;3555
LOOW;9568,27834
LOPP;
LOPS;
LOPT;
LOPU;
LOPW;
LOPY;
LORT;
LORU;
LORY;
LOSS;
LOST;
LOSU;
LOSV;
LOSW;
LOSY;
LOSZ;18963,27189,27738,28110
LOTT;
LOTU;
LOTV;
LOTW;24558
LOWY;
LPPU;
LPRU;
LPSU;
LPUU;16476
LPUY;
LRSU;
LRUY;
LSTU;
LSUU;22741,28245
LSUV;22045,22046,28167
LTUZ;2706,6923,13534,16900,17197,17781,26033
LUUZ;11820,15466,15478,16900,17781,18929
MMMU;
MMOS;
MMPU;
MMSU;
MMUU;24275
MNOO;
MNOR;
MNOS;
MNOU;7392
MNOW;
MNOY;
MNSU;
MNTU;
MOOP;19007
MOOR;7090
MOOS;
MOOT;
MOOV;
MOOZ;17366,25494
MOPP;2783,16623,20543
MOPR;
MOPS;
MOPU;
MOPY;28203
MORS;
MORT;
MORU;
MORW;
MOSS;
MOST;
MOSU;
MOSV;22631,22670,24544
MOSW;
MOSY;
MOTT;
MOTU;
MOUV;10378,10396,10655,21833,22631
MOXY;14762
MOZZ;6152
MPPU;7392
MPRU;
MPSU;
MPTU;19707
MPTY;19007,19655,19663,22537,28143,28154
MPUY;
MRRU;
MRSU;
MRTU;
MSSU;
MSTU;
MSUU;
MSUV;28152,28167
MSUW;
MSUY;
MTTU;
MUZZ;6152
NNOO;3895,25031
NNOU;
NNOW;
NNSU;
NNWY;7010,27965
NOOP;
NOOR;
NOOS;
NOOT;
NOOW;27653
NOOZ;
NOPR;
NOPS;
NOPT;
NOPU;5713
NOPW;25055
NOPY;
NORS;
NORT;
NORU;
NORW;
NORZ;107,478,3560,4885,13239,17077,24459,27747,27930
NOSS;
NOST;
NOSU;
NOSW;
NOSY;
NOTT;
NOTU;
NOTW;
NOTY;
NOWY;
NOXY;7226,7339,17083,22538,24188,24527,24541,28118
NPSU;
NPSW;25850,27378
NPTU;
NPUY;25264,26485
NRRU;4564,16625,17988
NRSU;
NRTU;
NSSU;
NSTU;
NSWY;
NTUY;
NUXY;6443,16181,17348,22538,24527,24541
OOPP;
OOPR;
OOPS;
OOPT;
OOPY;19692
OORS;
OORT;
OORZ;
OOST;
OOSW;
OOSY;11237,11308
OOSZ;
OOTT;
OOTW;26289
OOTY;22455,22660
OOTZ;17419,20296,20383
OOUZ;6152,15472,15536,17366,22460,22982,24490,27005
OOYZ;22416
OPPR;20543
OPPS;
OPQU;3559,13237
OPRS;
OPRT;
OPRU;
OPRW;
OPRY;
OPSS;
OPST;
OPSU;
OPSW;
OPSY;
OPTT;
OPTU;
OPTY;
OPXY;16821
OPZZ;24484
ORRT;
ORRY;
ORST;
ORSU;
ORSV;
ORSW;
ORSY;
ORTT;
ORTU;
ORTV;
ORTW;
ORTY;
ORUV;
ORUX;6100,8516,10525,10542,11320,12763,14140,15541,16384,16752,17699,19607,22538,22688,22964,27250,27499,27525
ORUY;
ORVW;8610,10823
ORXY;2585,6701,13202,15868,22538,25158,25972,26302,28214
OSSS;2091
OSST;
OSSU;
OSSV;
OSSW;
OSSY;
OSTT;
OSTU;
OSTW;
OSTY;
OSUY;
OSVW;
OSWW;11769,19034,23239
OSWY;
OTTU;
OTTW;26218
OTWY;
PPSU;19027
PPTY;
PPUU;13033,16476
PRRU;
PRSU;
PRSY;
PRTY;
PSST;
PSSU;
PSTU;
PSUY;
PTTU;
PTUZ;
PTYY;1429,1544,2660,8629,10775,10927,10950,11035,16823,16973,19626,19663,20536,22389,24461,24512,24514,28120,28136
QSSU;
RRTU;4833,16625,17102
RRUU;608,4671
RSTU;
RSUU;
RSUY;
RTUY;
SSSU;
SSUU;3127,20195,24113
SSUW;28051
STTU;
STUU;
STXY;
SZZZ;
TTUU;10619,10896,11234,22043,27836
TUYZ;26033
TUZZ;13184
UUYZ;
