AAAADNP;ILOTT
ACDEEIR;
ACDEEJT;
ACDEEKR;AHJMM
ACDEELL;HIITT,IIMPY
ACDEELN;
ACDEELR;
ACDEELS;CHHKU
ACDEELT;
ACDEELV;
ACDEEMN;ACKRR,AINNT,CIINS
ACDEEMO;BILST,BLOPS,HRRTU,IIMRS,ISSTV,ISTVZ,MMORT,PSTTY
ACDEEMR;ACKNR
ACDEEMV;
ACDEENR;
ACDEENS;
ACDEENT;
ACDEENV;
ACDEEPR;
ACDEEPS;
ACDEERS;
ACDEERT;
ACDEERY;GHHPR,HLOTT,ILLMP,ILOTV,ILTTV,LOPTT
ACDEETU;CFLLO
ACDEETX;
ACDEFFH;AINRS
ACDEFFS;AHINR,EENST
ACDEFGO;ALNRT,INRTU
ACDEFHU;INNRS
ACDEFIN;IOPTT
ACDEFIR;CEITT,ENORY,MMOOP
ACDEFKL;
ACDEFKR;
ACDEFRS;
ACDEFRT;CEIIT,EIILS
ACDEGGL;
ACDEGGR;
ACDEGGS;IIINT
ACDEGHN;HORST
ACDEGHR;AILTV,EHOPT,HNOST,IILTV
ACDEGHT;AILRV,EHOPR,HNORS,IILRV,IOPSY,IOPYZ,OOPSY
ACDEGHU;
ACDEGIN;AIPTT,IOTTX
ACDEGIR;AHLTV,ALPQU,LOOOY
ACDEGIS;
ACDEGKO;AEPRV,BDNRU,BNRRU
ACDEGLN;
ACDEGLO;AAIMR,AIIPR,AIMRY
ACDEGNO;BDKRU,BEIIT,BKRRU,IITTX
ACDEGNU;
ACDEGOR;AAILM,AEKPV,AIILP,AILMY,AIMMN,BDKNU,BKNRU,EHHPR,EHHPT,IIOPT
ACDEGRS;
ACDEGST;EELLO,ENNOT,HHNOR,HOOPY,LLOYY
ACDEHHN;ADEER,GORST
ACDEHHT;CORSS,EIMOR,GNORS
ACDEHIN;
ACDEHIP;CDNOO,CLMOS,CLOOP,GOTYZ,LNORR,MOOPR
ACDEHIR;
ACDEHIX;ACENO,ACLTY,EHLOR
ACDEHKL;DIRUY
ACDEHKR;AEJMM,BCEOR,CDORY,CORRY,EFHIN,ILNST,IMNSS
ACDEHKS;BEEHS,EHNRR,IMNRS
ACDEHKT;
ACDEHKW;BLSSU
ACDEHLN;CEGIO,CEIOS
ACDEHLR;BHOOO
ACDEHLS;GILNT,IIITT
ACDEHLT;
ACDEHMP;CILOS,IOOPR
ACDEHMR;
ACDEHMS;BLOOR,DKORU,NNOOR,NORRY
ACDEHMT;IINNO
ACDEHNR;
ACDEHNT;
ACDEHOP;ALRRT,CCKST,CDINO,CILMS,GIRRS
ACDEHOR;ACMSU,EEIVV,HILPY,HLPYY
ACDEHOS;ACMRU,CIORU,DKMRU
ACDEHOT;CIILZ,EHPTY,GIPYZ
ACDEHPP;
ACDEHPR;ALORT
ACDEHPT;ALORR,EHOTY,GIOYZ,IIRYY
ACDEHPU;ILLRY
ACDEHRR;EIMNZ
ACDEHRS;
ACDEHRT;
ACDEHSS;IIINP
ACDEHST;
ACDEHSY;ABORR,ADERT,BNORT,COPTY,EISTT,GIOPT,GOOPT,IMMNO,LLLOP,MNORR,ORRTY
ACDEHTT;BCIKS,EFINO,EISSY
ACDEHTW;ADOSS
ACDEHTY;ABORR,ACILX,ALLOR,ANOPR,BNORS,EHOPT,EISST,ELORT,GIOPS,GIOPZ,GOOPS,IIPRY,ILLMO
ACDEHUV;
ACDEIIR;CEMOS,CLRSU,CLRUZ,DIPSV,ELPSU,ELPUZ,EMMOS
ACDEILL;ADGOO,AHLRY,APRRY,BHIRY,BIIRT,EHITT,HPRUY,IOPRY
ACDEILM;
ACDEILN;
ACDEILR;GOOOY,IIMNZ
ACDEILS;
ACDEILT;FLLOU
ACDEILV;ABORU,AGHRT,ARSSU,ARSUZ,EEORT,ERTTY,IIINS,IIINZ
ACDEIMT;FIIOV
ACDEIMV;
ACDEIMY;BHNOR,HNORS,LNNOO,LNOSU,NNOPR
ACDEINO;DELNU
ACDEINR;
ACDEINS;DEENP
ACDEINV;IIILS,IIILZ
ACDEINY;BHMOR,EFIRR,EFORR,MNOPR,NORTU
ACDEIOS;BBEFK
ACDEIPR;FMMOO,HMOOP
ACDEIPS;
ACDEIRR;ALLPY,CCKMO,COOTT,ILTUV,LTTUU
ACDEIRS;
ACDEIRU;ACTUV,EOPPT
ACDEISS;ILTUV
ACDEIST;BEKKY
ACDEISV;ALRSU,ALRUZ,DIIPR,IIILN
ACDEITT;BEJOV
ACDEITY;BEKKS,ENNRV,NNORU
ACDEJLO;
ACDEJNU;
ACDEKKN;
ACDEKLM;IRTTU
ACDEKLN;ABDHY,ABGIL,ABGIP
ACDEKLO;EIOPS,IILPS,IPRST,LOPRW
ACDEKLS;
ACDEKLT;ABDRS,IMRTU,IOPRS
ACDEKLU;ABDGR,BHSSW,DHIRY,IMRTT
ACDEKMS;BNORW,DHORU,HIINT,HINRS
ACDEKNR;ABCIR,BMOSW,HIMSS
ACDEKNS;BMOOW,BMORW,EENRS,EHHRR,GIIRT,HIIMT,HIMRS
ACDEKNU;
ACDEKOR;BCEHR,BGNRU,BIOSW,BMNSW,CCIMR,CHRRY,EGLNW,EISST,ILPST,LLOPW
ACDEKQU;
ACDEKRS;HIMNS
ACDEKRT;ILMTU
ACDEKRW;ABDLR,ABNSS,BIOOS,BMNOS,EGLNO,LLOOP
ACDEKRY;CDHOR,CHORR,DHILU
ACDEKST;
ACDEKSW;ABNRS,BCHIT,BHLSU,BIOOR,BMNOO,BMNOR,EGLNO
ACDELLS;GKOOR,GOTYY
ACDELMM;ABCOO,AIORT,CNOOP,INOSU,INOUZ
ACDELMP;CMNOO
ACDELMS;EMNOT
ACDELMU;
ACDELNO;DEINU,EEIPV,EMNTT,EMPTT
ACDELNR;IIIMZ
ACDELNS;IIIIV
ACDELNT;
ACDELNU;BFNOO
ACDELOP;ABPRR,CMMNO,EEINV,EIINV,HHRYY
ACDELOR;ABPPR,BCHIU,BHHOO,HHPYY
ACDELOS;
ACDELOT;CHIIZ,EMNNT
ACDELOV;EEINP,EIINP
ACDELPP;ABORR,AINRU
ACDELPS;
ACDELQU;ABEIN,AGIPR,EINPT,GIIPR
ACDELRR;ABDKW,ABOPP,CIIUZ,IITUV,ITTUU,OPTTY
ACDELRS;
ACDELRT;ABDKS
ACDELRU;ACNTU,CEEOS,COOST
ACDELRW;ABDKR,EGKNO,KLOOP
ACDELSS;BIOUV,CIKNT,FNOSY,IITUV,INTYY
ACDELST;ABDKR,GLOYY
ACDELSU;BIOSV,BIOVZ,CEEOR
ACDELSW;BHKSU
ACDELTT;CNORY
ACDELTU;
ACDELWW;
ACDEMMR;AEHJK
ACDEMMS;ACOOT,ELNOT,ILNOU
ACDEMNU;EHINZ
ACDEMOR;
ACDEMPR;
ACDEMPS;BELOO
ACDENNS;AAOPU,ABIIL,AHKLR,AIIIM,AIINR,EEKRS,EHIMU,EIIIR,IIIMR
ACDENNT;
ACDENNU;AAOPS,BFLOO,CORTT,ORRTW
ACDENOR;BDGKU
ACDENOS;AANPU,BKMOW
ACDENOT;
ACDENPR;AGINS,EEGIS
ACDENPS;AANOU,EEGIR,EEIRU,HIIIS,HIIIZ,ISSSU
ACDENPT;ACORY,ELMOT,EMOPY
ACDENPU;AANOS,ISSSS
ACDENRS;
ACDENRT;
ACDENRU;
ACDENRY;
ACDENSS;CEMUU,FLOSY
ACDENST;
ACDENSU;AANOP,IPSSS
ACDENTU;
ACDENUV;BEEIL,ENNOT
ACDEOPS;CCHKT,CHTYY
ACDEOPT;ACNRY,CCHKS,EMNPY
ACDEORR;ABLPP,AIIPP
ACDEORS;
ACDEORT;
ACDEOST;EIMSV,EIMVZ,GLLYY
ACDEOTT;BEIJV,EHLRY,IILMR
ACDEOUV;ABILR,ENNNT,ILORR
ACDEPPR;ABLOR,AIIOR,AIITT,AILNU,IINOO,OORTT
ACDEPRS;
ACDEPSU;AANNO,EEINR,INSSS
ACDEQSU;EIINT,EKRRT
ACDERRS;
ACDERST;
ACDERSU;
ACDERSV;DIIIP,IINST
ACDERSY;HORTY
ACDERTT;
ACDERTU;
ACDESTT;ALNPY
ACDESTV;AEMNN
ACDFIIT;CEMOP,CINOO,EIMOV,ENOOR,ENOPT,ENORZ,GIINN,IINNO,IMNOO,LNNOU,MOORY
ACDFIIY;CEGLN,EENRR,ELNST,MOORT
ACDFILM;
ACDFIOT;CEIMP,CIINO,EELLR,EIIMV,EINPT,ELLLU,IIMNO,IMORY
ACDFOOT;CIIIN,EIINR,IIIMN,IIMRY
ACDGGIN;GHOTW
ACDGIIM;AAMNZ,AAMRT,AAPRT
ACDGIKN;ABELL,ABELP,ADPWY,BBILR,BOPPR
ACDGINN;ABEKR,ABOOR,AFHRT,AHIPP,BIOOT,BIORR,IOORT
ACDGINO;BEEIT,BINOT,EITTX,GGHTW,HISUV,HMOTW,INORT,OOPRT
ACDGINR;BHITW,INOOT,OOOPT
ACDGKLO;
ACDGNOT;AEFLR,AEIIL,BEEII,BIINO,CEEIL,EEEIP,EIITX,GGHIW,HIILR,HIMOW,IINOR,IOOPR
ACDGORT;AEFLN,AHHOP,EEHHP,EIIOP,EILMO,HIILN,HIIPT,IINNO,INOOP
ACDHIIL;CLOTY,EELTT,EGRTV,EHNOR
ACDHIMR;HNOOR
ACDHIOP;ANQRU,CDENO,CELOP,ELNRR,EMOPR,GIRTT,NOQRU
ACDHIRY;AELLL,BEILL
ACDHLOR;AHIRY,BEEER,BEEEV,BEHOO,EEHIX,EETTY,EHIPY,EHPYY
ACDHMRS;BELOO,EIKNS,EINRS,ENORY,EOOTW
ACDHNOW;GGGIT,GIMOT
ACDHOOT;AINRV,HINRX,IMNPY
ACDHOPR;AELRT,AINQU,EHILY,EHLYY,GHIRY,GIITT,HINOY,IINQU,INOQU
ACDHORR;AHILY,GHIPY,HIMNO
ACDHORS;CEIOU
ACDHRUY;EMOPS
ACDHRYY;ABCLT,EHLOP,EIIPT
ACDIIIN;DGJTU,DJOTU,FMOOT
ACDIIJT;ADGNU,ALORU,DGINU,EORSU
ACDIINN;ABELZ,AGHPP,BEELL,BELLY,ELVYY
ACDIINO;ABGRR,GHSUV
ACDIINR;BBGKL,BGHTW,BGNOR,BNOUU,HOPQU
ACDIIOS;ABNNN,ARRTV,CCOTT,CEEMR,EEMMR,FFLMO,GHNUV,HHPPT,HMMRT,ORRUV
ACDIIRS;CEEMO,CELRU,CLOOU,DEIPV,EEMMO,OORUV
ACDIIRT;AAAMO,AAGMM,AAGMP,AJLOU
ACDIITY;
ACDIKLS;EEOOP,EOPRT
ACDILLO;
ACDILMO;GMNNY
ACDILMS;LLOOU
ACDILNO;CEEPY,DEENU,EEEPV,GMMNY
ACDILNU;DIIOT,ILMPT,IOOQT
ACDILOP;EEENV,EEINV
ACDILOR;AHHRY,BCIXY,EEHHX
ACDILOT;CEHIZ,CGYYZ,CHILY,EFLLU
ACDILPU;ILMNT
ACDILRT;AALRU
ACDILRY;AHHOR,BCIOX,BEHIL,CHHOR,EELMP,EHHOP,EIITV,EILTU
ACDILST;IINNP
ACDILTW;
ACDILTY;AGLMO,MNSSY
ACDIMMU;CENOT,ELNOZ,MOOTY
ACDIMNO;DHRYY
ACDIMNY;BEHOR,DHORY,HOOPT
ACDIMOO;AAART,EFMPR,EGLRT,EHPPR,EILRT,FIRTY,LLORX,MMTUY
ACDIMOT;AAAOR,AMNOR,HNOPY,MMOUY
ACDINNO;DEELU
ACDINRU;AELPP,AHOPQ,BINOU,HIOPQ,HOOPQ
ACDINST;GILPU,GILTW,LOOOR,OOORR
ACDINSW;AELLO,GILTT
ACDINSY;BNORU,HNORY
ACDIOPR;AHNQU,EFMMO,EHMOP,HHNOY,HINQU,HNOQU
ACDIORR;AEIPP,AHHLY,AINNT,CEOTT,CNOTT,EEEHT,EEMTX,EEMTZ,GHHPY,HHMNO
ACDIORS;
ACDIORT;AAAIM,AAAMO
ACDIOST;EEKOS,HHIPP,IISTU
ACDIOSZ;BEENR,BELUV,CEERS,EEMTV,IKNOT
ACDIOTY;ACHLL,AGLLM,CGLYZ,CHILL,EEGLL,EHLLM,ENNRU,HMNOP,MMMOU
ACDIOXY;BCILR
ACDIPRS;AGHNR,IILNY
ACDIPSS;ABIOR,AGLNN
ACDIPTY;AELLN,HMNOO
ACDIQRU;
ACDIRST;
ACDIRTU;AALLR,ACEUV,AEHPS,AGILS,BCHLS,CLNOO,DNNOS,EEOPP,LOSTY,NOOQS
ACDISST;
ACDITUV;ACERU
ACDJNTU;ADGII,DGIII
ACDKLOP;ELORW
ACDKLSY;
ACDKMOO;ABNSW
ACDKMPU;
ACDKOPR;ELLOW
ACDLLOR;ACORY
ACDLLUY;DEIMO,EHIPR,EIIRT,EOPRR
ACDLNOR;
ACDLNOT;CERTY,CNORY,EEMNT,EEMPT
ACDLOWY;
ACDLSTY;ACMOR,AGMOR,AIILS,COOPY,EGLOY,ELOPT,EOPRT
ACDMMNO;AALPY,ABEGK,EILUZ
ACDMNOP;AALMY,BELOU,CELMO,EELTT,EEPTY,HIOTY,IILTU
ACDMOOW;
ACDMORZ;AEHIT,EIINT
ACDMPSU;ILOOR
ACDMSTU;AIINR,AINNO
ACDNOOR;DDEEH,HHIPY,HIPQU
ACDNORS;
ACDNORU;AEHPP,AHIPQ,HIIPQ,HIOPQ
ACDOPST;BIILL,CCEHK,CEHYY,CLOYY,EEMTY,EIIMN,HHIIP
ACDORST;
ACDORSU;GIPRT,IIORV,ILTTY
ACDORSW;
ACDORUZ;
ACDOSTV;AIIRR,EEIMZ,IIINN
ACDRSTU;ABGHK,AGIIL,BCHIL,GIOPR
ACDRSUU;EILPT,ILNOU
ACEEEPS;CHLLO,EEKPR,FLLTU,LMORT
ACEEEUV;BDILN,DHINR,IPRRT
ACEEFFR;
ACEEFFS;DENST,ILTUX
ACEEFHN;GIORR
ACEEFIN;CGIMN,GHORR,ILQTU
ACEEFLU;BIINN,CDLOT,DIMTT,IINQT,IIQTV
ACEEFMN;CGIIN,GHIST
ACEEFNS;DDNOT,DEFST,DEORT,DLRUU,DRRUU,EERRS,ELPSU,ELSSS,ENRRT,FMORT,MOPRR
ACEEFNY;ABFIL,BIILL,DFLTU,DIIRR,DIORR,ILLRT,LLPUU
ACEEFPR;
ACEEFRS;ABNOR,BENST,BLLOO,CIKRR,CINOV,EENRS,ENNRT,HITTT
ACEEGIL;AABRR,ACHMP,CDHNO,EIMNP,LLRTY,LMOOR
ACEEGNR;
ACEEGNS;DKLOW,EENOS
ACEEGNT;AARVX,MOPRR,ORRUU
ACEEGOT;AIMNR,ALMRT,AMMNN,CEINN,CHILN,CIINN,CILNR,CINNY,DEINP,DHHPR,DINNR,HILNN,HINPT,HLPRR,HLPTY,IIKNN,IIMNR,IMNRU,INNOR,LMNOR,MNPRR,NNRTU,NRRUU
ACEEGPS;AHNOR,AIKMN,BIKNR,GHNRS,HIKMN,HILRY,IKNNP,ILOOS,ORRSU
ACEEGSU;AEGLN,ALORT,CCELN,CHHMR,DHNRR,EGORT,ELMNO,FLLRT
ACEEHHT;CILOR,DGOPR,DIMOR,ELRRU,IOPTT,LMNRY,LORTW
ACEEHIP;ACGLM
ACEEHIT;DILLT
ACEEHIV;
ACEEHKO;
ACEEHKS;BILPU,CDHLU
ACEEHLR;AANPP,DDLNO,EHRTU,NOOPP
ACEEHLS;ADFMY,DKKNU
ACEEHLT;BBBNO,BBIIO,BENRR,EHRRU
ACEEHMP;IIOOT
ACEEHMR;ELOPT
ACEEHMT;AELNP,AINOR,AINTX,ANRTT,CNNOR,EINQU,HLNRY,IIOOP,IIPRR,IIPRU,IMNTY,IOPRV
ACEEHNN;ABGLU,ACHPP,BLQUU,CGIKM,GILOT
ACEEHNP;ACHNP
ACEEHNS;CLOXY
ACEEHOR;ACIMN,ADLNS,BCDKR,BDELR,BDQRU,DHILX,DILMN,DLNUV,GILOS,GMNNY,IIMNS,ILLMS,ILNSS,LNSUV
ACEEHPP;AALNR,ACHNN,CEILN,ELNNO,IILRR,ILLOT,LNOOR
ACEEHPR;AALNP
ACEEHPS;
ACEEHPT;
ACEEHRR;DMNOO,ILOOZ
ACEEHRS;
ACEEHRT;
ACEEHST;
ACEEHTT;AIMNX,AINTU,DFINO,DIILL,GINOP,HIOPT,IMMNY
ACEEHTX;AIMNT
ACEEILP;ACGHM,ACIRZ,HIPRR,OORRZ
ACEEIMT;EHNQU
ACEEINR;ACHMO,BEHHP
ACEEINU;ABHLV,AHTTT,BCGNR,CLPTT,CMMOT,EHMQT,FFGTT,FFOTT,FILQT,IKLMT,LLLTT,LLMTV
ACEEIRR;AABGL,ABFPT,AFGOR,EHOVV,HLOOZ,LOOPZ
ACEEISV;BNNOR,CIOQU,ENNPR,NOOPR
ACEEJKN;
ACEEJSY;
ACEEKNP;
ACEELLN;AHIMO,BFIIY,CIMUY,FPUUY
ACEELLS;KOTTY
ACEELMP;CIPRT,CRTUU,IIMRT,IIRRT,ILOTV,LOTTY,OOTTU,RRTUU
ACEELMR;AHTTY,BMMOO,CPTUU,GILOO,PRTUU
ACEELNR;
ACEELNS;
ACEELNT;BBBHO
ACEELNV;AENPT,ANPTY,ILMTU
ACEELPR;ACIIL,ACIIZ
ACEELPT;
ACEELRR;ACEET,EHHTU,HIOOZ
ACEELRS;
ACEELRT;
ACEELRU;CDEOS,HIQSV,IIMRZ
ACEELRV;
ACEELST;BCLLO,FFIUX,IIOQU
ACEELSU;BHIKP,CDEOR,CDHHK,FFITX,IIOQT
ACEELSV;
ACEELVX;EIRTY,IRTTY
ACEEMNP;GORRT
ACEEMNR;ACDKR,DEIIO,INOOR
ACEEMNS;
ACEEMNT;ACLMU,ADDRU,AHRTT,EHIQU,IIKLU,ILLUV
ACEEMNV;AIIPT,GIILS,ILLTU,ILNOT,IOPST,IRTTU
ACEEMRR;ACDKN,DHNOO,EHOTT,GNOPT
ACEEMRS;
ACEEMRT;BJKLU,CLPUU,GNOPR
ACEEMSS;CCENR,CDNUU,DIOTT,IMOOT,IMOTT,ORTTT
ACEEMSZ;
ACEENNP;ACCTU,ACHHP,AELTV,ALTVY,CITXY,CLOTY
ACEENNR;EGRUY
ACEENNT;CIPXY,CLOPY,IILOV,ILMOV,LMOOU
ACEENNY;ALPTV,CGIOT,CIPTX,CLOPT,EGRRU,ILLNT
ACEENOR;ACHIM,AMPRS,BBISS,BCERS,CEPSV,DEIIM,DFHRW,DFIRY,HIIMS,IMSVW,IRSSY,LOPSU
ACEENOT;AFFIT,BBBHL,CEGIN,CGHIL,CGIIN,CGINY,ELXYY,FFITU,GHILN,GIIKN
ACEENRS;
ACEENRT;
ACEENSS;AAJKP,CDMUU,DEFFT,EEGNO,EGINW
ACEENST;
ACEENSV;ANSST,IMOPT,IOOPR
ACEENTU;ACCNP,AHITT,CEISX,CIMMO,CIOPS,EHIMQ,FFGIT,FFIOT,FIPST
ACEEORS;ABFNR,BBINS,BDEKR,BDIRV,BRSUU,CFINV,DDHHW,DORSU,EHIVV,INRSY
ACEEORT;
ACEEOSS;ACGHT,AFNNN,BDEHR,CCHUU,CCNNN,CDHIR,CHMRU,CIIPP,DIKOT,DIMTT,DORRU,EEGNN,EGNNY,GPRRU,HIMTT,HIMTX,HNPRU,IMMOT,IMMTT,INRRY
ACEEOST;BCLLL,BDILM,CILLP,DIKOS,LLPUY
ACEEOTV;GGINR,GIITX,ILLMP
ACEEPRR;
ACEEPRS;EEEKP,NNNOU
ACEEPSS;
ACEEPST;
ACEEPSX;EORTT
ACEEPTT;HHIOT,LLMOY,LMOOU
ACEERRS;
ACEERRT;
ACEERSS;
ACEERST;
ACEERSU;NNNOP
ACEERTX;
ACEERVZ;
ACEESSS;
ACEESST;DEFFN,IMMOO
ACEESTT;
ACEFFFO;
ACEFFHI;
ACEFFHR;
ACEFFIN;IRRTT
ACEFFIS;
ACEFFOR;
ACEFFST;CEIII,DEENS,IIKRT
ACEFGIP;ALNNT,HLORX
ACEFGLU;
ACEFGOT;EHINR,ELMRR,FIINN,IINRV
ACEFHMR;
ACEFHOR;GILPX
ACEFHRS;ACIIS
ACEFHRU;ACLRT
ACEFHSU;FGINU
ACEFIIL;ANOTZ,ENQTU,EQTUV,GINTT,INOTT,INOTZ,IQTUV,LNNOT,NOQTU
ACEFILL;
ACEFILM;CHNSU,NOPRT
ACEFILR;
ACEFILS;
ACEFINN;BEILU
ACEFINR;DEORY,FIRTT
ACEFINS;GIILM
ACEFINU;BEILN,BLNNO,EFGTT,EFOTT,EILQT,FGHRU,ILOQT
ACEFIRS;CEKRR
ACEFITV;DIIMO,EILQU,EPRTU,EPSTU,IILQU
ACEFITY;ABILL,DILNS,EFLTU,FILLV
ACEFKLR;IIINT
ACEFKLT;IIINR,IINRY
ACEFKRR;
ACEFLRU;IILOS
ACEFLSU;DIINS,EELPT,EENPS,FINNS
ACEFNNO;ALRRT,BDLOU,FGIIT
ACEFNRT;ALNOR,FIIRT
ACEFNRU;FGHIU
ACEFOPR;DIMMO,ELPST,NRSST,RSTTU
ACEFORR;AEGIR,DEINY,EGLMT,EILPT
ACEFOTU;EFINT,IILNQ,IILRV,INPRT
ACEFRRS;
ACEFRRT;ALNNO,EGLMO
ACEFRRU;
ACEFRSU;
ACEFRTU;EIPTV,IIIPV
ACEFSTU;EELLP,EIPTV
ACEGGRR;ABEPT
ACEGHLO;AARRT,ACIMR
ACEGHNR;HOPTY
ACEGHNS;EIKMP,LOPTT
ACEGHNU;ABELN,ABLNY,ILLNO
ACEGHOU;ANPRR,IINTV,ILLNN
ACEGHOW;INRTV
ACEGHRR;AALOT,AHPTY,AILLP,BDOTU,BORTU
ACEGHRS;ACIIO,ACIIP,ACIOP,HIOSY,IOOPP
ACEGHRT;AALOR,AHPRY,AOPRR,IOPPR,OPPYY
ACEGHRU;
ACEGHST;AIOPS,ALSSW,EFLLS,LNOPT
ACEGHSU;
ACEGILL;AHMPT,EETXY,EHMNS,HNNST,IIMTY,KNSSS
ACEGILN;CIKKP,EOOOS
ACEGILP;ABDKN,ABHTY,ACEHM,ACHIR,ADIOR,ADQRU,AFNNT,CIKKN,DIQRU,EEETX,EINNT
ACEGILR;AADMO,ACHIM,ACHIP,ADPQU,FHOPX
ACEGILS;BJKNU
ACEGILT;DMOOR,ELLRY,IOTVY
ACEGIMO;AADLR,ADLRY,AHPTT,DLORT,ELLOR,HPTTY,LLORT
ACEGIMR;AIMPT,AIMTZ,ELLOO,LLOOT
ACEGIMT;AACLT,AHOPT,AIRSS,DLOOR,HOOPR,LLOOR
ACEGINO;DITTX,GITTX,IOTTX
ACEGINP;ABDKL,ADITT,AFLNT,CIKKL,EEEKP
ACEGINR;
ACEGINS;BJKLU,LTUUU
ACEGINV;CHOOR,MMORR,ORRRY
ACEGINY;IINTT,LRSTT
ACEGINZ;BIIOR,HIMST,HOPRR,IIMNT,IIPST
ACEGIOP;DIORT,ELOSS,FILRS,HHRTY,HKNSU,HMTTY,INPST,OOPRT
ACEGIRT;AIMMP,AIMMZ,BLOOY,CMRUY,DLMOO,ELLLY,HHOPY,HMOOP,HOPPR,LLMOO,LLOOO,LLOOP,OOOPP
ACEGIRU;AACOS,ADLPQ,AENOS,ALLOS,ALLPS,AMNOS,BCENN,BCINN,CINTX,CMRTY,DDHNS,DILPQ,ENNPS,FFHNU,FNRRT,ILOSS,MMNOS,MNNOO,MNOST,NOPRS
ACEGIRW;HNOTV
ACEGIST;AHOPS
ACEGJKL;
ACEGKLO;
ACEGKLR;ABDDU,DENOW
ACEGKMO;
ACEGKOR;
ACEGLLO;EOOPY
ACEGLNO;
ACEGLNR;AOTTU,BMUUU
ACEGLNS;BIJKU,ITUUU
ACEGLOT;DIMOR,IITVY
ACEGLOU;BIMNR,CILNO,ILNOR
ACEGLPS;ALOSW,ANOOV,FHHRU,HNOTT,NORTY
ACEGMOP;AHITT,ALNOR,ENRRT,HITTY,HORTY
ACEGNOR;EHPRR,HHPTY,IMMRV,IRRVY,LMTYY
ACEGNOT;AEMMN,DEEIP,DIITX,EMPRR,ERRUU,GIITX,HHPRY,IIOTX
ACEGNSU;AEEGL,AILMT,BIJKL,CCEEL,EFLRS,FILRT,IILRZ,IILTV,ILTUU,IMTTT
ACEGORS;AHILP,FIILP
ACEGORU;AHNPR,BDDKN,BDKNR,BILMN,DINNT,IINNT,ILLNO,IMNNO
ACEGOSS;AELLN,AHIMM,AILLP,ALLPW,AMNTY,DEELN,DEILN,EEENN,EENNY,EILOP,EILPU,GHPUY,HIPTY,HOPTY,IILMT,IIMNT,ILMST,ILNNO,IMNNP,LLTYY
ACEGOSW;ABBMR,ABBNT,ALLPS,DEKLN,KLNNU
ACEGOTT;
ACEGRTU;CIINX,CIMRY,EIMNO,FINRR
ACEGSTU;
ACEGTTU;ACINN,ALNOR,EFFIN,IIMNY,ILNNO
ACEHHLS;CIIIR,CIOSZ
ACEHHLT;ACINT,CEIOR,EERRU,EIPRT,EMNRY,EORTW,IMOPX,IMRUY,IOPTY
ACEHHNS;AAMNT,ABDMR,AGOTT,DEKRR
ACEHHRT;DEIMO,EELRU
ACEHHRU;ILMTY,MOOPT
ACEHHRX;
ACEHHST;AAMNN
ACEHHTT;ACILN
ACEHIKR;BGMNN,DEFHN
ACEHIKS;EINTT,GNOPU,IINPT
ACEHILL;BDIRY,DPRUY,GINYY
ACEHILM;
ACEHILR;BMNUU
ACEHILT;PPRYY
ACEHIMN;
ACEHIMP;
ACEHIMR;
ACEHIMS;
ACEHIMT;
ACEHINN;ELNRT
ACEHINR;BEEHP,ELNNT
ACEHINS;FFGUU
ACEHINT;
ACEHINY;ACLLM,EMMTT,FGIPR,GILLY,ITTTU,LLLMO,LLMOP,LLOPU,LLORU
ACEHIOT;GHPRY
ACEHIPP;CDLOO,CEELN,ELLOT,LNOTY
ACEHIPR;
ACEHIPT;LLLYY
ACEHIRR;AAMTT,AAPTT,DGMOP,DMNSS,EEOVV,KSSSW,MOPSU
ACEHIRS;
ACEHIRT;
ACEHIRV;
ACEHISS;CHLOZ
ACEHIST;
ACEHITY;ACDLX,EMMNT,GLOOP,GMOPT,INTTU
ACEHITZ;
ACEHKLR;
ACEHKLS;GGOOW
ACEHKLT;
ACEHKMN;CGIKR,DIRSS,EGIPS,EILRT,IOSST,IRRSS
ACEHKNY;ABDDL
ACEHKOT;
ACEHKRS;BBCEN,DEHNR,MRSTT
ACEHKRW;
ACEHKRY;CDDOR,CDORR,DDILU
ACEHKUV;
ACEHLLP;AABIT,ACILY,AEENT,AGIMT,AGIRR,AILOT,AOORR,ARTYY,DIRUY,EIOPT,GINOO,ILTYY
ACEHLLS;
ACEHLLT;AEENP,APRYY
ACEHLMT;ACNYY,AEENP,AERTY,EHNRY,IINNT
ACEHLMY;ACNTY,ACOPR,AERTT,CENRS,CHNOR,EHNRT,EOPRT
ACEHLNN;ABEGU,ABGUY,ACIMU,BEQUU,BQUUY,DDOOR,IIMTT,ILMTU
ACEHLNO;ADEGN,ADOPP,ARRTT,BBBET,EOPPR
ACEHLNP;EOOPR
ACEHLNR;AAEPP,ACIPT,AORTT,EGITW,EHMTY,EOOPP
ACEHLNS;
ACEHLOP;ACIMY,AIIRZ,AIRRS,ALORR,BBBSY,BHIRS,CCIMY,CDIMS,CIMSS,DHIRY,DHRYY,DINRR,EIRSX,EISXY,ENOPR,ERRSS,INNRS
ACEHLOR;DHPYY,ENOPP
ACEHLOS;ILLLY
ACEHLOT;BBBEN
ACEHLPS;BBBOY
ACEHLPT;ILLYY
ACEHLPY;BBBOS,OOSTU
ACEHLRS;
ACEHLRT;
ACEHLRY;ADILL,ADLOT,AIILT,AILTT,BCILU,BDIIL,CHMNO,CIILM,DDIKU,GILTU
ACEHLSS;CHIOZ
ACEHLST;
ACEHLTT;BEERY
ACEHMNP;
