AAABC;CR,HT,IR,MR,OR,TW
AEPRW;FO,IK,IT
AEPRY;CC,CH,CM,EM,IX,OV
AEPSS;AG,ZZ
AEPST;AW
AEPSU;BN,EN,GZ,HK,HN,HP,KN,KP,NO,OQ
AEPSV;AG,EY
AEPSX;AH,AN,DN,LO
AEPTT;MT,MU
AEPTU;EM,MT
AEPTX;DE,EI,IM,IY,LN
AEPTY;AL,BL,CL,CN,DL,IN,IX,LL,LN,LS,MN,NS
AEPVY;OR
AEQRU;AF,CI,CL,DI,FF,FI,OP
AEQTU;CI,DT,IL,LZ
AERRR;BI,CI,CY,FI,HI,IP,IT,IV,PS
AERRS;LW,WY
AERRT;MU,OU,QU
AERRU;AO,BJ,BN,BV,DH,DJ,DL,HT,LL,OT
AERRV;FO,NO,OP
AERRW;CL,LS,LT
AERRY;AR,MR
AERRZ;CI,DO
AERSS;DD
AERST;
AERSU;IK,KW
AERSV;DO,JY,OY
AERSW;AE,BB,BE,BM,CC,CO,EI,ER,II,IM,MO,MR
AERSX;AI,BI,BO,CH,CO,DE,DI,EL,EU,HO,HY,MO
AERSY;JV,OV
AERSZ;AP,FF,KN,LN,NP,PP
AERTT;CJ,CK,CX,EX
AERTU;DO,EF,FL,FW,IL,IY,IZ,LO,LV,OR,OV,OW
AERTV;AC,CO,CU,EO,ER,FO,OP,OU,OX
AERTW;AE,BL,BP,EK,ER,EW,EX,LR,LZ,OU,PR
AERTX;AE,CE,CO,CT,CU,DE,DL,DN,EL,EM,ET,EW,HN,HO,IT,MT,OV
AERTY;CK,CU,DI,IU,IV
AERUZ;AN,BL,DN,EG,GI,IM,IN,IT
AERVV;IN,IR
AERVW;
AERVY;AL,BE,BL,BR,CR,IL,IT,KN,LL,LS,QU,ST
AERWX;DE,ET
AERWY;EE,GG
AERWZ;FY,LT,NO
AESSS;CI,IK,IN,IW,IZ,KV,NO,QU
AESST;
AESSV;AG,AN,EN,FU
AESSW;AY,IM,IP,IS,MU
AESSX;DE,ET,EU,LN,LT,NT,NY
AESSY;AW,CC,CU,HK
AESSZ;BR,HN,LO,NT
AESTT;GN,NN,NO,NX
AESTU;FO,HO,HX
AESTV;EH,MZ
AESTW;AG,AN,AP,BC,MM,NN,NP,TT
AESTX;GO,HU
AESTY;HH,HP,OP
AESTZ;AB,AL,GI,HI,IL,IM,LP,LW,MV
AESUV;BI,IS,OZ
AESVW;
AESVX;
AESVY;DE,EJ,EP,GO,GR,HI,JR,OR,RT
AESWW;GG
AESWX;AL,BE,DE,EY,IT
AESXZ;
AETUV;AC,AL,CR,GL,GO,IN,LN,LO,LR,LV,NR,OR,RT
AETVW;EL,IN
AETZZ;AL,BN,IO
AEVWY;
AEVYZ;
AEWYY;
AFFFL;DE,ER,LO
AFFFS;
AFFFY;
AFFGR;
AFFGS;UW
AFFHS;ET,IR,IT
AFFIX;AL,DE,ER,ES,IT
AFFLO;BO,BU,DE,DN,DO,FL,IR
AFFLU;BO,CT,ER,ET
AFFNS;AI,CI,EE,EI,EL,ET,OR
AFFNY;CI,DE,GI,IT
AFFPU;
AFFQU;DE,ER
AFFRS;AE,AI,AL,AP,AY,AZ,EE,EL,EY,EZ,HI,IK,IM,IU,IZ,NO
AFFST;AI,CE,CO,DE,DI,EH,EI,EN,HI,IM
AFFSW;EI,EL
AFFSY;AR,EL,ER,IL,LO,OP
AFFTY;ET,IN
AFFUW;DE
AFGGY;ER,OT
AFGHU;LS,LT,RT
AFGIN;BF,BL,EL,FF,FG,FW,GG,IL,IW,LL,LO,LU,LW
AFGLO;EI,ET,EW
AFGLS;BE,BU,EN,ER,HU,IN,NU
AFGLU;CE,DL,EL,EP,EZ,HS,HT,LY
AFGNO;IT,KP
AFGNS;LU
AFGOS;ER,MR,RR
AFGOT;BO,CE,DE,EL,EO,IN,IT,OT
AFGRS;AE,AN,DE,EE,EL,EO,EU,HI,IN,MO,OR
AFGRT;BE,DE,EI,EN,ER,HU,IN,IY
AFHIT;DE,ER,GN,LW,NU
AFHIZ;ES
AFHKS;IL,IR
AFHLS;BU,DE,EL,ER,ES,GU,IK,IS,MU,OO,TU
AFHRW;DE,EI
AFHST;AM,AW,DE,EF,ER,LU,MO
AFHSU;BL,GL,LM,LT
AFIKL;DE,EN,ER,ET,GN,LY,OT
AFIKR;MN,NT
AFIKS;NU
AFILL;DU,KY,PT,PU,RY,TY,UV,UW
AFILN;AF,AT,BG,CO,FH,FM,GK,GM,GN,GO,GR,GT,GW,MT
AFILO;BC,CN,CY,EG,EJ,ET,GN,KT,MY,TX
AFILP;ET,LN,LT,LU,MY,NU
AFILR;AI,BI,BU,GN,GU,IT
AFILS;BU,HS,MS,TU
AFIMR;BI,BO,CO,CU,EL,EO,ER,LO,OV
AFINR;KT,NO,OS
AFINS;AF,AR,DR,HO,HP,JN,MR,NN,NO,OR
AFINT;CO,CR,DE,DR,EL,ER,EX,IL,KR,LM
AFIQR;
AFIRR;FO,FU,GN
AFIRS;CN,CY,DN,DO,FU,FZ,GN,NO,NU
AFIRT;AA,AP,BB,GN,IL,KN,NU,TU
AFIRY;AW,CF,CN,CP,CS,GN
AFIST;DD,DF,FM,LU,LY,MT,ST,SY,TT,UV
AFISW;EE,EF,EN,HI,HS,HY
AFITW;GN,HL
AFKLN;GI,RY,TU
AFKLS;
AFKLY;BC,IL,NR,OW
AFKNR;DE,EL,ER,IM,IT,LY,MU
AFKNS;IU
AFKOT;EF,GR,IL
AFKRT;EL,GO,HU,IN,RU
AFKSW;
AFLLS;AH,AL,BU,MU,NO,NU,OR,OW,PU
AFLMM;DE
AFLMS;HU,IL,IS,LU,OR,OT,RU,TU,UU
AFLMY;
AFLNS;CO,CU,DY,GO,GU,LO,LU,PU,TU
AFLNW;GI
AFLOO;BC,BF,DF,DM,EV,LY,TW
AFLOR;AJ,AN,DU,NT,WW
AFLOS;CN,EK,EW,LN,LW,SU
AFLOT;BU,BW,IK,IX,LU,OW,PT
AFLOU;BF,BT,DR,LR,LT,MN,MR,NT,RS,RV,SS
AFLPS;ER,TY
AFLRS;AF
AFLRU;AN,DO,LO,OV
AFLRY;GY,KN,OV,PT,TU
AFLST;
AFLSU;AC,BG,BH,BI,BL,CE,CK,CN,EE,EN,EV,GH,GN,HM,LM,LN,MU,WY
AFLSW;EF,EO,LO
AFLSY;DN,FO
AFLTU;BO,CF,CT,DM,LO
AFLTY;IN,IR,PR
AFLUW;SY
AFLWY;AH,EI,KO,LU
AFLXY;
AFMNU;DE,ER,HI,KR,RT
AFMOR;BI,CI,FP,IV,NN
AFMOS;AE,BE,DE,DN,HT,II,LT,NT,TT
AFMOY;IL
AFMRS;LU,NU
AFMSU;AD,CT,EG,HL,IV,IZ,LL,LR,LT
AFNNO;CE,MR
AFNNY;CI,CU,GI
AFNOS;BC,BY,CL,FR,HI,IR,LL,MT
AFNRS;AA,AG,AI,DE,DI,EI,EL,EN,ER,EW,FO,GI,IM,IO,PY
AFNRU;AL,CT,KM,LT,MT
AFNSU;CL,CT,GL,LL,LP,LT
AFNSW;EI,ER
AFNWY;
AFOOT;BG,BY,CD,DP,DW,EG,GT,HP,HW,LS,LW,MN,WY
AFORR;BE,CE,EM,EN,EV,FI
AFORS;CT,DE,DF,DI,EG,EK,EW,FN,IN,IT,OT,TU
AFORV;DE,EG,ER,ET,IM
AFORY;BE,CT,DE,EL,HK,LV
AFORZ;DI,IT,OT
AFOSS;CI,MO
AFOST;CF,CR,DN,HM,IR,MN,MR,MT,OR
AFOSY;BN,FL,FP
AFOTU;BL,CE,DE,HP,LL,LN,NW
AFPRS;AF,NY
AFQSW;
AFRSS;AI,FT,HI,IK
AFRST;MO,OO
AFRSU;AI,FI,IQ,MO,OV
AFRSW;OR
AFRSY;CI,NP
AFRSZ;AF,EF,FI,IL
AFRTY;LP,LU
AFSST;AI,CI,IT,IY,LU,NU
AFSTU;BT,CE,CM,CN,IN,IV,NS,PW
AFSTW;PU
AFSUV;IM,IT,LT
AFTTY;EF,IM,IU
AGGGO;EF
AGGHS;DE,EL,ER,EW
AGGIN;AJ,BB,BD,BN,DD,DF,DN,DU,FF,FN,HN,IN,IV,NN,NU,UV
AGGIR;BE,DE,DL,EF,EJ,ER,ES,ET,EU
AGGIS;BT,CO,IL,LO,OR,ZZ
AGGIW;
AGGJS;EI,ER
AGGJY;AR,ER
AGGLU;EG
AGGMS;AC,AN,EI,ES,IN,NO,OT
AGGMU;IN
AGGNS;AM,AT,AZ,BO,DE,EE,EL,ER,MO,OW,OX
AGGNU;DI,GI,IM,IN,IV
AGGNY;AO,AW,EM,IR
AGGOR;BD,BT,MR
AGGRS;CY,IN,MU,NU,PY
AGGRY;AJ,AL,IN
AGGSU;AK,AQ
AGGSY;CR,ER,PR
AGGTY;DE,ER,FO,MO
AGHHI;ET,FS,GS,MN,NS,WY
AGHHU;
AGHIL;AD,AR,DO,EK,ER,GI
AGHIN;GG,GN,IN,KN,PP
AGHIT;EH,EM
AGHIZ;
AGHKU;
AGHLU;AE,BR,DE,ER
AGHMO;BO,CI,JN,RY
AGHNO;BR,EL,EM,EX,JM,OW
AGHNP;DE,EI,IP,IR,IT
AGHNS;DE,ER,LU,NU,RU,UY
AGHNT;AA,AE,AG,AK,AL,EE,EL
AGHNW;AM,DE,DO,EE,OO
AGHOY;EP,MR
AGHPR;AA,CI,DE,DI,IN
AGHRT;OO,OW
AGHSS;CW
AGHST;CE,CO,DE,EL,EO,EP,LY
AGHSU;CE,CO,CR,DR,EM,NN,NP,NR,OQ,RR
AGHTU;PY
AGHUW;DE
AGIIT;AN,BG,BN,CU,DL,FN,GN,KL,LN,LP,LY,NW,NX
AGIIV;GN,LN,LO,NV,NW,NZ
AGIJR;EG,NP,NR
AGIKL;BE,EH,ET,IT,WY
AGIKN;HN,IP,JU,KY,NU,NY,OY,QU
AGILL;BN,DE,DN,EE,EL,EM,EN,EP,ER,ES,ET,EV,EY,EZ,FN,GN,HN,JN,LN,MN,NP,NW,NY,OR,OT,YZ
AGILN;FL,FO,FT,LL,OT
AGILO;FN,HN,KN,NN,NP,NZ
AGILR;BT,DG,HT,WX
AGILS;BM,GI,MM,MP
AGILU;DY,EO,ET,MP,YZ
AGILW;AT,EE,KY,OR,RX
AGILY;BG,DU,EL,ET,IT,KW,LZ,SS,ST,UZ
AGIMN;BJ,BM,DD,DM,JM,OV
AGIMO;AD,AN,FN,IR,NN,NR,NT,NV,RU
AGIMS;BL,BR,FJ,HP,LP,RU,WW
AGINN;DG,DH,DI,DR,GG,GH,GI,GN,GR,HI,HK,IR,IZ,KR,KY,NV,RY,YZ
AGINO;AL,AM,EZ,FL,FM,KL,KY,LM,LP,LV,LZ,MV,OO,OP,VW
AGINP;AE,DD,DP,EE,EH,EK,EP,EZ,HP,IK,OO,PP,PZ
AGINR;
AGINS;DD,DI
AGINT;IL,LY,TT,TU,TV,UV,YZ
AGINW;AW,FF,FI,ZZ
AGINX;CO,HO
AGINZ;AA,AB,AK,BI,BZ,IN,IV,JZ,NO,NW,NY,OT,PP,TY,VY,WZ
AGIOP;BT,CE,LN,LT,NO,NR,PT
AGIOR;DT,ET,IM
AGIOS;CG,DD,DJ,EG,EH,ET,HT,TU,UY
AGIPR;CH,DH,DU
AGIRS;BM,DU,MU
AGIRT;AL,BD,BL,DO,FY,MR,MY,VY
AGIRV;AC,TY
AGIST;BG,BK
AGISV;AL,HU,TU
AGISY;AR,ET,EZ,HR,LS,LT,MO,OU
AGITT;AE,AO,BN,CN,FN,FO,HN,MN,NP,NR,NT,NU,NV
AGITU;BN,CI,DN,FN,NN,NP,NT,NV
AGJLU;
AGJOS;LM,NR
AGKLN;NU
AGKLO;BC,CD,CE,CL
AGKNR;AA,EO
AGKNS;BO
AGKNY;CI,IK,IN,IO,IR
AGKOP;FN,MN,NT
AGKOS;AE,BE,BN,BO,HW,IN
AGKSS;EM,ET,IN
AGKSU;AG,LO,NR
AGKSW;EI,ER,HI,HO,IN
AGKWY;IL
AGLLS;AN,NO,OP,OR,OS,OW,RY
AGLLY;AV,FL,FU,IN,IZ,PT
AGLMO;AG,DN,EU,PY
AGLMS;AM,AN,BI,BY,IM,IN,IP,IT,MY
AGLMU;BL,BN,BO,DE,EO,EP,ER,IL,IN,IP,OR
AGLNO;BD,CI,CR,CY,DD,DI,DM,DR,DY,GI,HI,IM,IR,IT,IV,IZ
AGLNR;CO,DO
AGLNS;FU,HU,NU
AGLOO;EZ
AGLOP;AE,BY,ER,IT,MY
AGLOR;AN,CN,DN
AGLOS;AG,BU,CU,EU,LU
AGLOT;AC,BH,BR,LT
AGLOV;
AGLOW;EF,IR
AGLPY;BO,IN,LT,MO,OO
AGLRU;AD,AU,JU
AGLRY;AG
AGLSS;AT,BE,DE,EE,EH,EJ,EP,ER,ES,ET
AGLSU;AN,BF,BO,CN,CO,FN,KO,NN,NO
AGLSY;BM,IT,LR,MM,OW,YZ
AGLTU;LN,NY
AGLYY;SZ
AGLYZ;IL,IN,IU,SY
AGMMU;AT,AY,ER
AGMMY;AU,OR
AGMNO;AI,AT,CI,CP,HJ,IL,IT,IV,KP
AGMNS;TY,YY
AGMNU;AH,BL,CI,DE,ET,GI,IL
AGMNY;AB,AP,BO,ST,SY
AGMOP;AY,CE,CN,DE,KN,LY,RR,RU
AGMOR;BW,GR,II,IU,PR,PU,RU,RW
AGMOS;AU,YZ
AGMOT;AD,AN,EN,IN,NN
AGMPR;EE,EI,IN,KU,OR,OU
AGMPS;HI,IL,UZ
AGMRS;BI,IN
AGMRU;BH,HR,KP,LO,OP,OR
AGMSU;AO,BB,BC,EF,EH,EY,EZ,PZ
AGMTU;AM,EN
AGMUY;AM
AGNNO;CR,HU,NO,OR
AGNNW;EO,MO
AGNOP;AE,AR,BR,CM,EE,ET,FK,IO,IR,KM,KT
AGNOR;NO
AGNOS;AN,GX,GY,NY
AGNOT;CD,CE,CO,DE,EL,EM,EP,ER,KP,RR
AGNOU;
AGNOW;DE,DH,EN,HO,IV,MN,TU
AGNOY;AG,AL,BM,CL,DL,ES,GS,IK
AGNOZ;AR,EI,IL,IN,IR,IT
AGNPR;BO,DE,EL,ET
AGNPS;DE,EL,EN,LY
AGNPU;DE,IJ,IT,IY,LO,LY
AGNRR;DU
AGNRS;
AGNRT;AA,AD,AM,AV,OR,OU
AGNRW;
AGNRY;
AGNSS;EE,ER
AGNST;
AGNSU;CE,CL,DE,EL,FL,HL,HY
AGNSV;
AGNSW;AM,AN,AY,BE,EL,EM,NU
AGNSY;AU,AW,HU,MY,NO
AGNTU;BI,DE,DI,EE,EI,EL,EM,ER,ET,FI,IP,IT,IV,LL,LY,RY
AGNTW;AE,DE,EL,ER,OU
AGNTY;AA,AI,BI,HU,IX,IZ
AGOOZ;AK,EL,MY
AGOPR;AD,AN,BN,EL,EP,IN,MR
AGOPS;AS,BT,PT
AGORS;DW,FR,OV
AGORT;AK,CD,CI,DI,HW,IN
AGORU;BR,MR
AGORY;CR,EV,RT,TU
AGOSS;AI,AP,CE,DE,EH,ET,EU,IP
AGOST;BP,HI,PP
AGOSY;CW,EM,EN,EV,GN,IM,IU,LW,NN
AGOTT;AI,FI,FO,LL
AGOTV;ET,EU,IN
AGOTY;FG,GM,RR
AGOYZ;
AGPPY;IN
AGPRS;AP,DU,GY
AGPRY;IN
AGPSS;AE,AO,EL,EU,IO
AGPSU;DR,EL,ER,ES,ET,EZ,MR,MZ,OR
AGPSW;ER,HI
AGPSY;AE,GR,IN
AGQSU;AG,HI,HO,NO
AGRSS;AG,AN,IL
AGRST;
AGRSU;AJ,AV,CH,HI,HR
AGRSV;AU,LU,OO
AGRSY;AD,AI,AM,AR,CG,GP,HI,HT,IN,LL
AGRTU;NY
AGRUU;AL,CO,DE,DN,ER,JL,LN,LV
AGRVY;IN,IT
AGSST;BU,UU
AGSSU;BT,TU
AGSSW;CH,IJ,IN,LO
AGSSY;
AGSTY;AH,HL,HR,IL,JT
AGSUV;HI,IT
AGSUY;AN,EM,IO,OZ
AGSWY;AN,CO,IN,LO
AGTTU;AU,IN
AGUWY;
AGUYZ;IL,OS
AGYYZ;LS
AHHIT;EG,ES,NS,ST
AHHKP;
AHHOR;AP
AHHPY;
AHHRS;LY,RU
AHHSS;AB,GU,KY
AHHSY;BU,DW,ET,LR,RT
AHIIS;DJ,DK,DM,FR,FW,HM,KP,KR,LP,LT,MT,NT,PR
AHIJJ;
AHIJR;AN
AHIJS;CK
AHIKK;HR
AHIKM;CI,NO
AHIKN;AC,AM,CG,GN,GR,GW,MO,TT
AHIKS;AP,GW,IP,OW,PP
AHIKT;AR,NT
AHIKU;FY
AHIKZ;
AHILP;AE,AV,DE,DO,ER,ET,MO,PY,RT
AHILR;AG,AM,DY,GS,GT,IY,KS,LT,OY,PT
AHILS;AW,AY,BO,FS,NO,NR,NS,NU,NY,WY,YZ
AHILT;MO,NR,OY,OZ,PR
AHILY;CR,CS,CW,DE,DO,DR,DS,EM,ET,EV,IR,KS,LT,MM,OR,OT,PP,PS,ST,SW
AHIMR;AL
AHIMS;DD,DI,DN,GN,HI,IS,IT,NN,OS,TV
AHIMT;AI,AL,BC,BE,CE,CS,EG,ES,IS,LO,PS,SV,UZ,VZ
AHINS;AM,FO,FP,LM,LO,LP,LY,MN,MP,YZ
AHINT;DO,ER,FU,KT,LL,LR,NX,OR,OZ,RY,UU
AHINU;CN,CV,DG,DP,FM,FT,HM,IT,MN,TU
AHIOS;AT,BL,BO,BT,BU,DL,DO,DT,EG,GT,KW,LL,LM,LN,MS,OT
AHIPP;AN,CE,DE,ER,ET,GN,LY
AHIPS;AA,AK,EK,EN,ET,EW,FN,GN,GW,IK,NT,WW,WY
AHIRS;
AHIRT;AC,AE,AK,AP,AV,CE,CR,CU,CY,DE,EF,EL,EN,LL,LN,LP,NY
AHIRU;EL,OV
AHIRY;CK,CL,CT,GS,IL,LO,NT,NV,PW
AHIST;AA,AO,AW,DH,DO,IM,MP,MV,OO
AHISU;BE,BO,EQ
AHISV;GU,KM,MP,MT
AHISW;AL,AT,EK,EL,EP,FI,FY,GG,GK,GP,HK,KM,KO,LY,MP,PW,PY,TT
AHITU;BE,CP,CR,FN,IN,MZ,NU
AHJKO;
AHJPU;
AHJTU;
AHKLS;BE,BY,DO,OO,PU
AHKNS;AD,AG
AHKNT;BE,DE,EE,ER,IT
AHKNY;AD,CE
AHKOO;ER
AHKOP;DI
AHKOS;DL,DU,GW,IR,IW
AHKPS;EI,ER,EU,II,IL,IP,IR,LU,NU,UU
AHKRS;AA,AL,BU
AHKSS;HY,KU
AHKST;AB,AE,AJ,AK,AL
AHKSU;AP,BC,BR,CC,CR,DH,DO,LP,PU,RS,RT
AHKSW;AE,EI,ER,EY,GI,GO,HI,IM,IO,IR,MO
AHKSY;BL,IL
AHLLO;DE,DL,DN,EV,NY
AHLLS;CE,EF,EL,ER,ET,MU,NU,PU,PY,RT,TU
AHLLU;EV,PS,ST
AHLMO;CP,DY,EN,ER,RU
AHLMS;BY,CY,CZ,NY,TZ
AHLMU;ER,OR
AHLNO;BI,DL,GI,IL,LY,RT
AHLNU;DF,MY
AHLOR;EE,EF,EI,EM,EP,ES,IY,MU,NP
AHLOS;BI,FO,KO
AHLOT;BG,GI,IM,IZ,NP,OW,UU
AHLPR;CO,DE,EI,EO,IT,NO
AHLPS;CT
AHLPY;DM,IP,MN
AHLRS;CI,CO,DO,GI,IK,IN,LT,OT
AHLSS;AL,AR,FI,IK,IL,IN,IT,IV
AHLST;GY,LR,MZ
AHLSU;LO
AHLSW;CO,IY,LO
AHLSY;AI,AK,CI,CM,DI,IK,IN,IT,IW,IZ,MN
AHLTU;BR,CC,CN,OU
AHLTY;AB,GS,IL,IS
AHMMU;MU
AHMMY;IL,OT
AHMNU;AG,CO,CR,FI,HI,LY
AHMNY;EI,EO,OR,RY
AHMOR;AP,BD,DE,EG,EL,EN,ET,KR,LU,RU
AHMOS;DH,FT,MW,OP,TZ
AHMOU;CN,IL,LR,RR
AHMOW;NS
AHMPR;CO,HU,IO
AHMPS;EL,NO,OO
AHMRS;
AHMRT;CE,EE,EL,EO,EU,KU
AHMRU;AL,CE,CN,EL,EN,ET,FL,HP,KT,LO
AHMSS;II,IR
AHMST;FO,II,IP,IV,LZ,OZ
AHMSU;EE,EG,EW
AHMSW;CU,EU,IK,IP,IR,KO,MO,NO,OY,RT
AHMSY;AK,BL,BU,FI
AHMTU;BD,CP,IZ,KP,KR,NN
AHNNO;GI,GU
AHNOS;BE,BO,BT,EX,FI
AHNRS;AC,AD,AG,AJ,AM,CC,CE,DE,DU,EE,EG,EH,EP,ET,GT,GU,MU,PU
AHNSS;CO,MO,NU
AHNST;BO,OR
AHNSU;AC,AW,CO,GR,GY
AHNSW;AB,AD,AU,MO,TU
AHNTU;DO,FI,II,IU,MN
AHNTX;AM,AN,AR,CI,ER,IN
AHOOW;FT,GN,LP,LT
AHOOY;CN
AHOPS;BO,JO,MN,MO
AHORS;CK,CL,CR,CU,RW
AHORT;DP,EM,EO,EP,GO,PY
AHORY;CP,FK,IL,PT,TT
AHOST;AI,DE,DI,EG,EU,FM,GI,IO,MU,UU
AHOSY;BD,CN,CP,DW
AHOTZ;IL,IN
AHPPY;IL,NU
AHPRS;AD,AP
AHPRU;CE,HM,LY
AHPRY;CE,CO,ET,IW,NX,OT,RT
AHPSS;
AHPST;AL,BY,CI,CL,IM,IN,UZ
AHPSU;AK,BC,CP,DD,DU,EK,EP,HP,KU,TZ
AHPSW;GI,IM,IR,IW,IY,OT
AHPUW;
AHQSU;AM,CI,DE,EE,EI,ER,GI,GO
AHRRU;BB,BO,CC,CT,ET
AHRRY;BE,PT
AHRST;BU,LL
AHRSU;AO,BD,BK,BT,CC,CG,CK,CO,DG,DN,DO,GN,GT,KT,OT
AHRSY;GI,OO,RU
AHRTW;AA,AP
AHRTY;AN,CF,CI,CN,DN,IN,OP,OT,PR
AHRUU;ET
AHRUW;EO,TY
AHRXY;CE,ES,NP
AHSST;KR,RT
AHSSW;BU,DO
AHSSY;CT,EK,EL,HK,LP,MO,QU
AHSTT;AC
AHSTW;BU,GU,IT,NU
AHSTY;AG,BP,EH,EI,EP,GL,IL
AHSWY;EE,EK,EL,ER,FI,IL,IP,MO
AHTTU;BB,CE
AHTUY;BO,GH,GN,GP,RW
AHTWY;AP
AHUZZ;DE,EM
AIIKR;EL,GN,RU,TT
AIILL;CN,ET,LP,NV,QU,UV
AIILM;AR,BU,CE,CM,EP,ER,IT,RT,RY
AIILO;BV,CV,DN,FR,GV,MN,PP,RV
AIILT;AP,DG,DS,EF,EL,ES,EZ,FN,FR,GK,GN,GP,GY,IM,IN,MN,MR,NP,NU,NV,NY,RS,RV
AIIMN;BB,BR,KN,OR
AIIMR;AL,BF,BN,CN,EL,ET,EV,LT,LY,NT
AIINP;EO,GK,LT,LU,OS,ST
AIIPR;AL,CT,ER,LU
AIISX;
AIJKN;CG,GU
AIJLS;BB,BE,ER,EZ,GN,OR
AIJLW;EK,EN
AIJNN;DE
AIJOR;NT
AIJOS;CT,DG,DN,EF
AIJOU;
AIKKM;NR,OT
AIKKS;BE,BI,BU,EP,IW,LU,UZ
AIKKT;BI,MO
AIKLM;EJ,EP,ER
AIKLN;DY,LY
AIKLP;AN,AR,CE,EE,EM,EN,MU,WY
AIKLS;CD,RY
AIKLT;AA,BC,CY,FO,GI,GN,RT
AIKLV;EN,ER
AIKMO;AR,CT,HN,KT,QT
AIKMR;AN,AO,AS,EL,EN,EW,FN,GN,KN,MS,NS
AIKMS;AR,BR,PR
AIKMU;AT,DO,QT
AIKMV;
AIKNS;AR,CR,DO,DR,KO,NN
AIKNT;HT
AIKNU;BG,EL,GJ,GQ,GW
AIKOP;DH,KY
AIKOR;AH,AM,AU,BL,CH,CL,CS,DL,HS,OW
AIKOS;AY,CH,CR,GN,HR,HW,RR
AIKOT;CM,EL,FL,KM,MQ
AIKPP;AR,EG
AIKPQ;
AIKPR;AL,AP,AR,CT
AIKPS;AH,DD,EH,EK,HI,IT
AIKPU;LM
AIKRR;AP,CC,GN,IU
AIKRS;BD,BM,CC,CN,CO,DN,GN,LY,MM,MN
AIKRT;BZ,CP,IT,LT,UZ
AIKRU;DQ,EQ,IR,TZ
AIKSS;DU,EI,ER,ES,FR,RR
AIKST;CE,EF,IP
AIKSU;BK
AIKSV;EE,HN
AIKSZ;AI,CP,DD,DT,EN,ER
AIKTT;CE,CN,HN,IR,LR
AIKUZ;BO,BU,RT
AILLM;AM,AN,AR,AX,BN,BY,DM,GN,NY,OT,PT
AILLS;AA,AB,AX,BB,BI,BW,BY,DI,DY,GU,NW,PR,PU,QU,RU
AILLV;AU,DY,FU,IU,PU,TY
AILLZ;EG,OR
AILMM;AL,AN,AR,AX,CI,DL,HO,HY,IN,KN,OR,UU,UW
AILMN;BL,DD,DW,FF,FT,PT
AILMP;CY,FY,LT,NT
AILMR;AA,AC,AD,AH,AI,AL,AM,BY,FO,IY,MO
AILMS;GO
AILMU;CC,DE,DO,MU,MW
AILMX;AL,AM,BE,BO
AILNO;AG,AV,FG,GG,GH,GN,GR,GV,GZ,HL,LL,LN,QU
AILNP;AD,AJ,AK,BL,FL,HL,LY,RW
AILNS;HR,IN
AILNU;EK,EL,EQ,EW,OQ
AILNV;AM,AO,AT,CI,DI,IM,IT
AILNW;DM,PR,TY
AILNY;BR,CC,CN,CO,CP,DD,DK,DR,EL,EN,ER,IR,KL,LP,OP
AILOP;BR,BY,CT,GT,IP,RT,TT,TV
AILOU;AB,BC,BT,CN,DE,DM,DT,EG,HM,NQ,NT,QT,ST
AILOV;AN,AR,BI,BR,CC,CI,CR,CT,DO,EL,ER,ET,IR,MO,PT,RY,TY
AILPP;AL,AT,GN,HY,IO,RU,TY
AILPR;BO,CT,DO,DY,GN,HT,IU,NW,OT,PU
AILPS;
AILPT;AI,AP,AR,AT,FL,GI,GO,HR,LM,MO,OR,OT,OV,PY
AILPU;CE,CI,IR,PR
AILPW;EN,GN,KY,NR
AILQU;FY,IL,KY,NO,NT,OT,TT,TY
AILRS;CH,CN,CS,HK,HN
AILRT;FI,GH,HL,HP,IV,KT
AILRU;AE,DE,EF,EH,EL,IP,LP,PP
AILRV;AE,AO,AR,AT,BO,CE,CO,CY,DE,EE,EF,EI,EK,EN,EO,EP,EV,EY,IO,IT,OY,RY,TU
AILRY;AN,AP,BM,BN,BR,HO,OV,RV
AILSS;FH,FY,HL,HT,QU,TU,TX
AILST;FY,JW,TY
AILSV;
AILSW;AH,BL,HY,LM,OY,TU
AILSX;AE,AL,CE,EN,NP
AILSZ;BR,BY,DO,DR,FR,HY,OP
AILTT;AC,AP,AR,AT,BY,CE,CY,EE,EF,EH,ER,FY,KR,OP,OS,QU,RS,RU,RY,SY,TY
AILTV;CO,CU,EE,EN,EO,EY,IN,IR,LY,NU,OP,OY,RU
AILTY;BI,BT,CI,CK,CP,CT,FL,FS,FT,GI,GS,HL,HS,LS,LV,PP,PS,QU,ST,TT
AILZZ;AP,JY
AIMMS;BC,BR,HR,JJ
AIMMU;BC,BT,CD,LU,LW,NT
AIMMX;IN,MU
AIMNO;AB,AG,AH,BB,FG,GV,HK
AIMNP;AJ,CU,LU
AIMNR;KK
AIMNS;
AIMNT;FL
AIMNV;ER,GO,GP,RT
AIMNZ;AH,OP
AIMOR;AC,AD,AK,BD,BF,CE,CF,DD,DR,EF,EL,EP,ER,FL,FV,GU,LM,RU,TT,UZ
AIMOT;EX,EZ,KK,KQ,RT
AIMOU;DE,DK,DL,EN,GR,HL,NR,NT,RR,RZ
AIMOW;DE
AIMOX;BL,CH,ET
AIMPR;AC,CY,DY,GN,HO,NO,RY
AIMPS;BT,EG,EM,ET,EV,EW,EY,OT,OY
AIMQU;AL,KT
