AABB;HHIOOPT
CGKU;AABDHRT
CGLO;AAAHMYZ,EEMNRWY
CGOR;ELMMOYY
CGOS;EEMTYYZ
CGSU;
CHIK;
CHIL;
CHIM;
CHIN;
CHIP;
CHIR;
CHIS;
CHIT;
CHIU;ABEEKLP,EGINNUZ
CHIV;AAAGLNN
CHIW;AAEMRRR
CHIZ;DEIMOOT,GMOOOTY
CHKO;
CHKU;
CHLO;
CHLY;AAAGMOZ,AACDPTY
CHMO;
CHMU;
CHNO;
CHOO;
CHOP;
CHOR;
CHOS;
CHOT;
CHOU;
CHOW;
CHRU;
CHSU;
CHTU;
CHUY;EEIMPTT
CHWY;AAMNOST
CIKK;
CIKL;
CIKM;AABDDNO,AAGHMNT,ACEGHNT,AEEGNPT
CIKN;
CIKP;
CIKR;
CIKS;
CIKT;
CIKW;ADGKLNU
CIKY;
CILL;BBIIOOP,GINPPRY
CILO;
CILP;
CILR;
CILT;
CIMO;
CIMR;
CIMS;
CINO;
CINQ;
CINU;
CINZ;AAGILTU,AEIIILV,BGIILPU,GIIIMTV,GIIPRTU
CIOR;
CIOT;
CIOX;ADGHOPR
CIOZ;
CIPR;
CIPS;
CIPY;
CIRS;
CIRT;
CIRU;
CIRY;AACDGOZ,AOSSSSS,BBGMOOR
CISS;
CIST;
CITU;
CITY;ABNOOTT
CJKO;ABGGILN
CJOO;
CJOU;
CKLO;
CKLU;
CKMO;AGHIPRY
CKMU;
CKNO;
CKOO;
CKOP;EEEHHLN
CKOR;
CKOS;
CKOT;
CKOW;
CKOY;
CKPU;
CKRU;
CKSU;
CKTU;
CKUY;
CLLO;
CLLU;
CLMU;
CLNO;
CLOO;ADFFIIM
CLOP;EEEHHKN
CLOS;
CLOT;
CLOU;
CLOW;
CLOY;
CLRU;
CLSU;
CLTU;
CMMO;
CMOO;
CMOP;
CMOR;
CMOS;
CMSU;
CMSW;AELMNOO,BENOORS,BHIOORT,CHIIORT,DILOORR,EEHLRTZ,EOOPPRR
CMSY;
CNNO;
CNOO;
CNOR;
CNOS;
CNOU;
CNOY;
CNRU;
CNSY;EIILLUV,IIILTUV
CNTU;
COOP;
COOS;
COOT;
COPR;
COPS;
COPU;
COPW;
COPY;
CORS;
CORT;
CORU;
CORW;
CORY;CFILMRU
COSS;
COST;
COSW;
COSY;
COTT;
COWY;AAHMNST,AEHMNST,EGILLMN
COXY;ACDEHLN,ACEEHLN,AEHLPSU,AEIPRST,HHNRSUY
COYZ;AAAGHLM,GHIMOPR
CPSU;
CRRU;
CRSU;
CRSY;HHLLOOP
CRTU;
CRUX;AADEFIN,AHIOOPT,ALOOPSY,BDIINOO,EFIILTY,HHNOSYY,ILOOPRT
CSSU;
CSTU;
CSTY;
DDEE;
DDEI;
DDEO;
DDER;
DDEU;
DDEY;
DDIO;
DDIY;
DDOO;AEIINTX
DDOS;
DDOW;
DDRU;
DDSU;BHLNOOO,GIIILLN
DEEF;
DEEG;
DEEH;
DEEI;
DEEJ;
DEEK;
DEEL;
DEEM;
DEEN;
DEEP;
DEER;
DEES;
DEET;
DEEV;
DEEW;
DEEX;
DEEY;
DEFI;
DEFL;
DEFN;
DEFO;
DEFS;
DEFT;
DEFU;
DEFY;BGSSTUU,OOPSSTU
DEGI;
DEGL;
DEGO;
DEGR;
DEGS;
DEGU;
DEGY;
DEHI;
DEHL;
DEHN;
DEHO;
DEHR;
DEHS;
DEHU;AAEKQRT
DEHY;
DEIJ;
DEIK;
DEIL;
DEIM;
DEIN;
DEIP;
DEIR;
DEIS;
DEIT;
DEIV;
DEIW;
DEKO;
DEKR;
DEKS;
DEKU;
DEKY;
DELL;
DELM;
DELN;
DELO;
DELP;
DELS;
DELT;
DELU;
DELV;
DELW;
DELY;
DEMN;
DEMO;
DEMR;
DEMS;
DEMY;
DENO;
DENP;
DENR;
DENS;
DENT;
DENU;
DENV;
DENW;
DENY;
DEOP;
DEOR;
DEOS;
DEOT;
DEOV;
DEOW;
DEOY;
DEOZ;
DEPS;
DEPU;
DERS;
DERU;
DERV;
DERW;
DERY;
DEST;
DESU;
DESV;
DESW;
DESY;
DESZ;
DETU;
DETY;
DEWY;
DEXY;
DFFI;AACINOO,AAINOPR,ACILMOO
DFFO;AACIINO
DFFU;
DFIN;AABDIOZ
DFIO;AABDINZ,ACFILMO
DFIS;ABILLYY
DFLO;
DFNO;GGGHIIT
DFNU;
DFOO;
DFOR;
DFOU;
DFOW;AAMNRST
DFRY;
DFSU;
DGIL;
DGIN;
DGIR;
DGIS;
DGIU;AFIIMRR
DGLO;
DGNO;
DGNU;
DGOO;
DGOS;
DGOW;
DGOY;AACHHMN
DGRU;
DGSU;
DHIL;EGMOOOZ,NOOQRUY
DHIN;LOOQRUY
DHIS;
DHIW;
DHKU;AABCGRT,AAEEQRT
DHLO;
DHNO;CHNORTY,FGGGIIT,HOPRTYY,NOOORTX
DHOO;
DHOS;
DHOT;
DHOW;
DHOY;AACGHMN
DHOZ;ACEILLO,AEFILOR,AEGIILT,CCEIINN,CEIIMOT,EEGILOT,EEGIMNO,EGILMOO,EIILLPY,EINRXYY,GILNRYY
DHSU;
DHTU;AAEEKQR
DIIM;
DIIN;
DIIR;
DIIV;
DIIX;
DIJN;
DIJR;
DIKL;CCCGNOO,CNOPSSU
DIKN;
DIKR;
DIKS;
DILL;
DILM;
DILN;
DILO;
DILR;
DILS;
DILV;
DILW;ACGKKNU,IMNOTUW
DILY;
DIMN;
DIMO;
DIMP;
DIMS;
DIMU;
DINO;
DINR;
DINS;
DINT;
DINW;
DIOR;
DIOT;
DIOV;
DIOX;
DIPR;
DIPS;
DIPT;
DIQU;AGLNPRU
DIRS;
DIRT;
DIRU;
DIRY;
DISS;
DIST;
DISU;
DISV;
DISY;
DITT;AACHIMR,ACHIIMR
DITU;
DITY;
DITZ;AAAELLP,AACEHLP,AACEILP,AAENRRW,AAGIMNR,AAINNOO,AEIIMNV,AGGIMNO,AGIINOS,AGIINOZ,AGLNOUZ,AIIINOR,BEENRTU,CEEIINZ,CEFIINO,CEHIMOO,CEIILOP,CEIMMOO,EEEHILP,EGHIMNO,EMNNOOO
DIXY;BEEOORS,CEEEGLN,EHNORYZ
DJOO;
DJOU;
DJSU;
DJUY;CEEKOOT,CIILOSU
DKNO;GIINNNR
DKNU;
DKNY;
DKOO;
DKOR;GIINNNN
DKOU;
DKSU;
DKUU;ACCEKMM,AEGLNOR,CCDELNO,CEEINNQ
DLLO;
DLLU;AIINOQR,BDFINNO
DLMO;
DLOO;
DLOP;HORXYYY
DLOR;
DLOS;
DLOT;
DLOU;
DLOW;
DLOY;
DLSU;
DLUY;
DMOO;
DMOR;
DMOS;
DMOU;
DMOY;
DMPU;
DMRU;
DMSU;
DNOO;
DNOP;HHORTYY
DNOS;
DNOU;
DNOW;
DNOY;
DNRU;
DNRY;
DNSU;
DNSY;BIIIILV
DNTU;
DNTY;CIIMMOO,HHOOPRY,HOOORUX,IILOPSS
DNUY;
DNWY;
DOOP;
DOOR;
DOOS;
DOOW;
DOPR;
DOPS;
DOPU;
DOPW;
DOPY;
DOQU;
DORR;HLOOTWY
DORS;
DORT;
DORU;
DORW;
DORY;
DOSS;
DOST;
DOSU;
DOSW;
DOSY;
DOSZ;ACGLTYY
DOTU;
DOTW;
DOTY;BGILLOU
DOUX;ABFNORU,AEHRRYY,BCIINOR,CEHIMNO,DEIIINR
DOXY;AHHORRT
DOYZ;AAHLRSU,AELLMPS,EHINRXY
DPSU;
DPUU;ACEELNT,AELNOPT,AGILNQR
DRRU;
DRSU;
DRSY;
DRTU;
DRUY;
DSSU;
DSTU;
DSUW;CCEOORR
DTUY;ADELNNU,BDELNOU,CEEJKOO,CEELNRR
DUUW;
EEEP;
EEEW;BLORSSY,BOORRSS,CLMNOSS,FLORRWY
EEFJ;BCDIIOT
EEFK;CIIINRT,CIKNOPT,HINORRT
EEFL;
EEFM;
EEFN;
EEFR;
EEFS;
EEFT;CIKKNOP,CIMNNNO
EEGH;AACLMPY,AHITVWY,AOPRRRX,IILLMRT
EEGK;
EEGL;
EEGN;
EEGO;
EEGP;BLMMTUY
EEGR;
EEGS;
EEGU;
EEGZ;BIILMMN,DIIILNS,IINPRTX,ILLNPRT
EEHL;
EEHM;BCDNOOY
EEHR;
EEHT;
EEHW;
EEIN;
EEJL;ADGMNTU
EEJP;CMNORTT
EEJR;ADMNRRY
EEJS;
EEJT;
EEJZ;AINSSSZ,BCIIOTV
EEKK;
EEKL;
EEKM;
EEKN;
EEKP;
EEKR;
EEKS;
EEKT;CDJOOUY
EEKW;
EELM;
EELP;
EELR;
EELS;
EELT;
EELV;
EELW;
EELY;
EEMM;
EEMN;
EEMR;
EEMS;
EEMT;
EEMU;CHIPTTY
EEMV;
EEMW;
EEMZ;AEHIRTX,BGIILMN,CGIINRR,CHIINOP,EHINNOP,GHIINPU,GILOOTY
EENN;
EENP;
EENR;
EENS;
EENT;
EENV;
EENW;
EENY;
EEOV;
EEPP;
EEPR;
EEPS;
EEPV;AAHLNTT,AAILLPT,AALNNTT,CIIMOTT
EEPW;CILMNOO
EERS;
EERT;
EERV;
EERW;
EERY;
EESS;
EEST;
EESV;
EESW;
EESX;
EESY;
EESZ;
EETT;
EETV;
EETW;AGHHIVY
EETY;AGHHIVW,BCMMORY,CCDLLLO,CCEHORR,CDJKOOU,DDFHIIM,HHMMOOR
EEVY;AACILTT,ACFFILT,AGHHITW,BCIJLOT,CDDILTU,CDEFILT,CDEILPT,CEFFILT,CEILTUX,CFFIITT
EEWX;
EEZZ;
EFFI;ACITTVY,CEITTVY
EFFJ;
EFFM;ACEEKOR,ACENORT,AILLMMR
EFFS;
EFFT;
EFGL;
EFGS;AHIPTTY
EFHM;AARRSTW,DOOOPRT,INNRSTU,OOOPRRT,ORRSTTU
EFHS;
EFHT;
EFIK;
EFIL;
EFIN;
EFIR;
EFIS;
EFIV;
EFIW;
EFKR;
EFKS;
EFKY;
EFLL;
EFLO;
EFLP;AABIILM,ADDOORR
EFLS;
EFLT;
EFLU;
EFLW;
EFLX;
EFLY;
EFMR;
EFMS;
EFMU;
EFNO;
EFNR;
EFNS;
EFNT;
EFNU;
EFOR;
EFOS;
EFRS;
EFRT;
EFRY;
EFSS;
EFST;
EFSU;
EFSW;
EFSY;
EFTT;
EFTW;
EFUZ;
EGGL;
EGGS;
EGGT;CEINNOY
EGGY;AINNOTX,IINNOXZ
EGHP;IINNOTZ,IINNOUZ
EGHU;
EGIL;
EGIN;
EGIS;
EGIT;
EGIV;
EGKS;
EGLN;
EGLO;
EGLS;
EGLT;
EGLU;
EGLY;
EGMN;
EGMR;
EGMS;
EGMU;
EGNO;
EGNR;
EGNS;
EGNT;
EGNU;
EGOR;
EGOS;
EGOT;
EGOV;
EGOY;
EGPS;
EGRS;
EGRT;
EGRU;
EGRW;
EGRX;AAAETTV,AAANTTV,AAEGORT,ACHIILP,ACHIOPR,ACIOOTT,ADHOOPR,AEHOPRR,BNOOSST,DHNOOYY,DIIINOS,DIIINOZ,EEILLNP
EGRY;FILLLOW
EGSS;
EGST;
EGSU;
EGTU;
EGTY;
EGVY;AEHHITW,ILLLOOX
EHHS;AAJLLLU,BGOOPRY,BIOOPPP,CEEMOPR,CENNOPR,CMNORSY,MMOOOPR
EHHT;BDOOORR
EHIK;AALMOPY
EHIL;
EHIR;
EHIS;
EHIV;
EHJU;
EHKO;
EHKS;
EHKT;
EHKU;CEOQRRW
EHKY;
EHLL;
EHLM;
EHLO;
EHLP;
EHLR;MMOOOPY
EHLU;
EHLY;
EHMO;
EHMP;AABHIOO,BBDOOOT
EHMR;
EHMS;
EHMT;
EHMV;ABGIINS,ABIIORS,AGINORT,AIIILTU,IILRSST
EHNO;
EHNR;
EHNS;
EHNT;
EHNW;AAADMRR,AALLLLO
EHNY;
EHOP;AABHIMO
EHOR;
EHOS;
EHOT;
EHOV;
EHOW;
EHPS;
EHPT;
EHPW;ACDKORT,CDIIORR,CDIISST,IIMNSSS
EHPY;EHIOTTZ
EHRS;
EHRT;
EHRU;
EHRY;
EHSS;
EHST;
EHSU;
EHSW;
EHSY;
EHTT;
EHTW;
EHTY;
EHWW;ADHILLY
EHWY;ADHILLW
EIJV;
EIKK;ACCOTTT
EIKL;
EIKM;ABEIKOR
EIKN;
EIKP;
EIKR;
EIKS;
EIKT;
EIKV;
EIKY;
EILM;
EILN;
EILP;
EILR;
EILS;
EILT;
EILU;
EILV;
EILW;
EILX;
EIMM;
EIMN;
EIMR;
EIMS;
EIMT;
EINN;
EINO;
EINP;
EINR;
EINS;
EINT;
EINV;
EINW;
EINX;
EINZ;
EIOU;ACCFFIS,ADDOPPS,ADGGGNP,AGNNNPW,CCCMNOP,DEIQSSX
EIOW;
EIPP;BEEHHLO
EIPR;
EIPS;
EIPT;
EIPW;IKLNNNY
EIPY;
EIPZ;
EIRS;
EIRT;
EIRU;
EIRV;
EIRW;
EISS;
EIST;
EISV;
EISW;
EISZ;
EITT;
EITU;
EITV;
EITW;
EITX;
EITY;
EITZ;EGINPRX,EGLLNPR,GGIILNN,GIINNRW
EIVV;AAEILLT
EIVW;
EJKO;
EJKR;
EJKU;
EJLL;
EJLO;BCEITVY,CGIINRY
EJNO;
EJOS;
EJOY;BCEILTV,BCIITTV
EJPU;
EJRU;
EJSS;
EJST;
EJSW;AABEKRR,ABBCKOR,ADIMMNR
EJTU;CCINNOV,CEMNNOR
EJUV;AENORRT
EJUX;
EKKS;
EKLL;AABBERR,AAIKOPU,ADEMORU
EKLO;
EKLP;
EKLS;
EKLT;
EKLU;EIMPRTT
EKLW;
EKLY;BCEHRRU
EKMO;AAHILPY,AGIIMNV
EKMP;AABCDLL,BIILNRU
EKMR;
EKNO;
EKNP;EEEEGRR,EMOORTV
EKNR;
EKNS;
EKNT;
EKNU;
EKNW;
EKNY;
EKOP;
EKOR;
EKOS;
EKOT;
EKOW;
EKOY;
EKPR;
EKPS;
EKPT;
EKPU;
EKPY;
EKRS;
EKRT;
EKRY;
EKRZ;ALNOOPT
EKST;
EKSU;
EKSW;
EKSY;
EKSZ;
EKTY;
EKUY;
ELLM;
ELLP;CCCGIOY
ELLS;
ELLT;
ELLV;
ELLW;
ELLY;
ELMO;
ELMR;
ELMS;
ELMT;
ELMU;
ELMW;EEGNNOT
ELMY;
ELNO;
ELNS;
ELNT;
ELNU;
ELNY;
ELOO;
ELOP;
ELOR;
ELOS;
ELOT;
ELOV;
ELOW;
ELPR;
ELPS;
ELPT;
ELPU;
ELPW;ABBEEEV,GIILNOZ,IIKNNNY
ELPX;
ELPY;EEILTVX
ELRU;
ELRY;
ELSS;
ELST;
ELSU;
ELSV;
ELSW;
ELSY;
ELSZ;
ELTT;
ELTU;
ELTW;
ELTY;
ELUX;EFGINNO
ELUY;
ELVY;
ELWY;
ELZZ;
EMMO;AAGGLRU
EMMS;
EMMY;EILNTUZ
EMNN;
EMNO;
EMNT;
EMNU;
EMOP;
EMOR;
EMOS;
EMOT;
EMOU;CEENNNT
EMOV;
EMOW;
EMOZ;CGIINNO,CILNTYY,EEHINNP,EGILOTY,GHILOTY
EMPR;
EMPT;
EMPY;
EMRS;
EMRT;
EMRU;
EMSS;
EMST;
EMSU;
EMSW;
EMSY;
EMTU;
EMYZ;
EMZZ;
ENNO;
ENOP;
ENOR;
ENOS;
ENOT;
ENOV;
ENOW;
ENOX;DDGIIIZ,DGIIIPZ
ENOZ;
ENPR;
ENPS;
ENPT;
ENPY;
ENRS;
ENRT;
ENRU;
ENRW;
ENRY;
ENSS;
ENST;
ENSW;
ENSY;CCFFIIU
ENSZ;EFLSSTU
ENTT;
ENTU;
ENTV;
ENTW;
ENTX;
ENTY;
ENVY;
EOOS;
EOOZ;
EOPP;
EOPR;
EOPS;
EOPT;
EOPX;ACHIOTT,AEGHRRR,AGINNTU
EORR;
EORS;
EORT;
EORU;
EORV;
EORW;
EORX;
EORY;ADHRUXY
EORZ;
EOSS;
EOST;
EOSV;
EOSW;
EOSX;
EOSY;
EOTT;
EOTV;
EOTY;
EOTZ;
EOVW;
EOWY;
EOYZ;AAELNRV,AHIPSST,AHIPSTT,DEGHINR,DHINRXY,EHHIPTT,GGIINNX
EPPR;
EPPS;
EPQU;CENORST
EPRS;
EPRT;
EPRU;
EPRV;
EPRX;ACGHIIL,AEGHORR
EPRY;
EPRZ;
EPSS;
EPST;
EPSU;
EPSW;AAGMMPU
EPSY;
EPSZ;AGHOORR,CDENOOT
EPTW;
EPTY;
EQUY;
ERRS;
ERRU;
ERSS;
ERST;
ERSU;
ERSV;
ERSW;
ERSY;
ERTT;
ERTU;
ERTV;
ERTW;
ERTY;
ERTZ;
ERUV;
ERVY;
ERYY;ACDHORT,ACHIPTU,ADHORUX,AGIPRRT,AHHIMPT,BCEMMOT,BCHLORS,BCLMOOS,CEHORTT,CELOPTT,DFNOPTU,DHILOPP,DHINOXZ,EHHMPRT,EHLOSTT,GNOOPRT,HHOPPRT
ESSS;
ESST;
ESSU;
ESSV;
ESSW;
ESSY;
ESTT;
ESTU;
ESTV;
ESTW;
ESTX;
ESTY;
ESTZ;
ESUY;CCFFIIN
ESWY;
ESXY;
ETTX;AAACELO,HIILOOP
ETTY;
ETVX;AAAGNRT
ETWY;
FFFU;
FFGO;
FFGU;
FFHU;
FFII;AACDNOO,AADNOPR,CEETTVY
FFIJ;
FFIK;FGLNRUU
FFIM;ACDILOO
FFIN;
FFIR;
FFIT;
FFIV;AACEIRT,AAEIMRT,ACEITTY,CEEITTY,EGNORRU
FFIY;
FFIZ;
FFKO;
FFLU;
FFMU;
FFNU;DEILLLU
FFOS;
FFOT;AACIRRT,AELNNNU,GIIMNRT
FFOY;CIILOSU,EEILNSV,EGIINRS
FFPT;ACEIILS
FFPU;
FFRU;
FFTU;
FGIO;AADHMRR
FGIR;AADHMOR
FGIS;
FGIT;
FGLO;
FGLU;
FGNU;
FGOO;
FGOR;
FGOS;
FGOW;
FGOY;ACILSUU,AIRSTTU
FGRU;AAAIMNQ,ADIIIMR
FGSU;
FGUU;ACINRTT,CFFILNR,DDIMNNO,FFIKLNR
FHIQ;
FHIS;ABFIILP,ACCFFFH
FHMU;EEORRRT
FHNO;ACGIIPR,CILORRT,DGGGIIT
FHOO;
FHOU;
FHOW;
FIIN;AABDDOZ
FIJU;
FIKL;
FIKN;
FIKR;FFGLNUU
FIKS;
FIKU;
FIKY;DEEHISW
FILL;
FILM;
FILO;
FILP;
FILR;
FILS;
FILT;
FILX;
FIMR;
FINO;AABDDIZ
FINR;
FINS;
FIOT;
FIPS;AAGINNR,AEEEGKN,AEGHTTY,DEEIINN
FIPU;ACIORRT,ADMNORR,AIORSSS,BCCEISS,CDEEINS,CELRRSU,CEORRSU
FIRS;
FIRT;
FIRZ;
FIST;
FITT;
FITX;CEEELUV,GNOORTT
FIZZ;
FKLO;
FKNU;
FKOR;
FKSU;
FKSY;
FLLU;BDDINNO
FLOO;
FLOP;ADDEORR
FLOR;
FLOT;
FLOU;
FLOW;
FLOX;
FLRU;
FLSU;
FLUX;
FMOO;ACCIIRR,AERRRTY,CDDEIIM,CEEHRRR,DEEERRV,EEERRRV
FMOR;
FMSU;
FMUY;CCILORR
FNOS;
FNOT;
FNSU;
FOOP;ACILLTT,DDEHILN
FOOR;ACCIIMR
FOOS;
FOOT;CCIILNN
FOOW;
FOOY;
FOPR;AEGHRRY
FOPS;CCCEEII,CCCEIIN,CCEIINN
FOPU;ACIIRRT,ADIMNRR
FORS;
FORT;
FORU;CCIIINX
FORW;
FOSS;
FOST;
FOSU;
FOSW;
FOSY;CGILNNU
FOTT;AACFIRR,AACIILR,ACDEERR,FGIIMNR
FOTU;
FOWW;
FOXY;AEGHLPR,EEGLLOR
FOYZ;
FRRU;ADGIIIM
FRSU;
FRTU;
FRUY;
FRUZ;GIILMNO,GIINNOT
FSSU;
FSTU;
FTTU;
FTUY;
FTUZ;
FUZZ;
GGHO;AAAILPR,AAHIPRY,ACEKLOW,AHLPPRY
GGIM;AALLORR,AMOORTU
GGIN;
GGIR;HHHOTUW
GGIS;
GGLU;
GGMU;
GGNO;
GGNU;
GGOO;
GGOR;
GGUV;
GHHI;
GHHO;AABIOPP,AACDMNY,AACENTT,AAGIPRY,AALPPRY,AAPPRTY,ACEIMRR,ACNOPRR,ACNOPYY,AEMPRRT,AEOPRRR,AGLPPRY,AMNPRYY,AMPRTYY,ANORTTY,BDDEILO,CILOTYY,MNNOOPT
GHIN;
GHIS;
GHIT;
GHIW;
GHNO;
GHNU;
GHOS;
GHOT;
GHOY;CIMOPRZ
GHPU;AACDORS,AACORSS,ACEERRS,ACEGOSY,ACEOORS,ACMOOSY,ADEOPRS,AEHOOST,AIOOSTX,EIINNOZ,NOOOORS
GHSU;
GHTU;
GHUV;EHOORTT,EIINOTT,EOORRTW
GHUY;AAMRTTU,ADMRRRY,CCIKLLN,CEIKNNP
GIJO;
GIJS;
GIKN;
GILL;
GILM;
GILN;
GILR;
GILS;
GILT;
GILU;
GIMN;
GIMP;CHLOOOR
GIMR;AAGLLOR,CHLOOOP
GIMS;
GINN;
GINO;
GINP;
GINR;
GINS;
GINT;
GINW;
GINZ;CCIIILT,CCIIIRT,CIIIMTV,DIIILQU
GIOR;
GIOS;
GIOY;AAGHHPR,AAHPPRT,AEHHPRR
GIPR;
GIPS;
GIRR;ADFIIMU
GIRS;
GIRT;
GIRY;
GIRZ;AACCDOY,BDHIINY,CCIIINT,CHMOOPY,DHLNOYY,GHIINST,HHIMNTY
GISS;
GIST;
GISV;
GISW;EFKORRU
GISZ;
GITW;
GIZZ;DILNOOP
GJNO;DEFMRTU
GJOS;
GJSU;
GKNO;
GKNU;
GKOO;
GKOR;
GKOS;
GKOU;BEILNRV
GKOW;ACEGHLO,ACELNNU
GKSU;
GLLU;
GLMO;
GLMU;
GLNO;
GLNU;
GLOO;
GLOP;CCHITYY,HHIRTTT
GLOS;
GLOV;CIIMOTY
GLOW;EEEMNNT
GLOY;AAACHMZ,ACFISUU,CCHIPTY
GLPU;
GLRR;AACCHII,AAGILMO,AAHOOPP,AAIOPTU,AAOTTUY,ABBMOOY,ACCHIIU,ADHITWY,AMOOPTU,AMOOTYY,BDEENOY,IMMNUUY,INOTTUY
GLRU;
GLSU;
GLTU;
GLUY;AACIOSS
GMNO;
GMNU;
GMOR;
GMOS;
GMPU;
GMPY;AEEHOTT,EEEORRT
GMRU;BBOORSY
GMSU;
GMSY;BBOORRU,CEEOTYZ,CELOOST,EEHORRT,EHLOORT,EHOOOSZ,EHOOOTZ
GNNO;
GNOO;
GNOP;
GNOR;
GNOS;
GNOT;
GNOW;
GNOY;
GNPU;
GNRU;
GNSU;
GNTU;
GNYY;AAELLLR,ACHHOOP,AGLLOOR,AHHMOPR,ALMOORT,BBDIOSU,IMMOORT
GOOP;AAABHIR,AABCHIR,AABHHIP,ACCHIPR
GOOR;ACCHIPP,ACHHNPR,ACHNOPR
GOOS;
GOPR;
GOPU;AAHOSTU,ACHMOSY
GOPY;AACGILT,CCHILTY
GORS;
GORT;
GORW;
GORY;
GOSS;
GOST;
GOSU;
GOSV;
GOSW;ABIMOTT
GOSY;
GOTU;
GPSU;
GPSY;
GRSU;
GRTU;
GRUU;BGINNOO,CCHHINN,CFFFILN,EEIINNT,EIINNNQ,FFFIKLN,IIINNNQ
GSSU;
GSTU;
GSTY;
GSUV;BDDIIIN,EEINNPR,EIINPRS
GSUY;
HHHS;
HHIS;
HHNU;ADGORTW,AEEGGMS,AFGIILT,AGGORTU,AILOORT,AIORSTZ,DELOSTU,EEEGGMS,EFFISSS,EILMOST,GIOOPRT,IMOOPPS,MOOOOPS
HHOP;AABBIOT,AABEIMO,AABEIPT,AABGIOP,AABIOPT,ABCEIPT,ABCILOO,ABCLNOR,ABDIORY,ABEIIOR,ABINOOP,ABINOPY,ABIOOPT,ABIOPSY,ACCMSYY,ACEINPY,ACGINRY,ACGNORR,ACGNOYY,AEGMRRT,AEGORRR,AEIMRTY,AELORTX,AELPSYY,AGGLPRY,AGLOSUY,AGMNRYY,AGMRTYY,AIINNOR,AILLOSU,AILMOSS,AILPSYY,AIMNNOR,ANPRXYY,BCCILOO,BCDIORY,BCEIILO,BCEIIOR,BCIOOPT,BEEEILP,CDENOOR,CDIILRY,CDIRTYY,CEEEKLN,CEEEMRS,CEENNRS,CEIIMMR,CEIMORR,CEMOORR,CEMORSY,CEOORRT,CIILOPS,CILLMOY,CILPSYY,CINOOPT,CIORRTY,CMOORTY,DDEIIRT,DEERRSY,DFIILNS,DIORTYY,DNORTYY,EEITTYZ,EEMNORY,EEORRTT,EIMORRT,EPRRTYY,GMNNOOT,MNOOOSU
HHOS;AAELNPY,AAIIKWW,ACDDEEK,AEIILMP,AELPPYY,AILPPYY,AIMNPSW,CEEEMPR,CEENNPR,CEIILMP,CEMNRSY,CIIMRTY,CILPPYY,DEEPRRY,DELNTUU,DEPRTYY,DFIILNP,EEEMTTT,EEPRTTY,EIILPPP,IINSTWW,KTTUUUU,LMPRTYY
HHSU;AAEILLL,AAEJLLL,AILLOOP,BEELMTW,EILMNOT
HHUU;AEFLLNT,AGGNORT
HIIL;AAMMPXY,BBERRSU,BEILLLS,DDOOPPY,DEEOPRS,EEOPRSX,EFORRSU,EGOOOPS,EGOOPPS
HIIM;AALMPXY,ACCIMPT,ACHILPP,AOOPPPT,BLOPRTY,CENOQTU,EEGNPUZ,EGLNPRY,ELNNUUX
HIIO;AABLRTT,AALNORT,ADDLNOV,AERRRTW,CCCCENO,DDLOPPY,LORRTTT
HIKO;
HIKS;
HIKT;
HILL;
HILT;
HIMS;
HIMW;AACERRR,AEEGLRY,BCEENTT,BDEEELT,DDEEOTU,EGKNOOR
HINS;
HINT;
HINW;
HIOR;AAAGGLP,AAGGHPY
HIOS;
HIOT;
HIOW;AEHRTTT,BEEELNR,ELLRTTT,GGHHRTU
HIPS;
HIPT;
HIPW;
HIPZ;ACNOORT,ADEEINR,BEELORY,CEEIMNO,EEEMNNO,EEHOTTY,EGHINNY,EINOOOT,GIILNSY
HIRS;
HIRT;
HIRW;
HISS;
HIST;
HISU;
HISV;
HISW;
HITW;
HIWZ;
HIZZ;
HJNO;
HJOS;
HKLO;ABEERRT
HKLU;
HKNO;AABORTT,AAORTTV
HKNU;
HKOO;
HKOP;CEEEHLN,CEENOPT,EEIILNX
HKOR;AABNOTT,AANOTTV,AHNTTWY
HKOW;AHNRTTY
HKRU;
HKSU;HOTTUUU
HLLU;
HLMO;BLPRUYY
HLOO;EFOPRRU
HLOP;AAAGGIR,BCCHIOO,BCEHIIO,BEEGORS,CCIINRR,CCIIOPR,CDHIIRY,CEORRUY,CGIMOOR,GHIRTTT,RRSTUUW
HLOS;
HLOT;
HLOW;
HLOY;AAACGMZ,CDHIIPR
HLRU;
HLSU;
HLWY;AGHORTU,DOOORRT
HMMM;
HMNY;
HMOO;AABDMRY,AAGMNRR,DINRUXY,DNORXYY,GIMNORU
HMOR;DNOOXYY
HMOS;
HMOT;CDIOORR
HMOW;CCEHNRU,DDEEITU,DEEEELS,EELNTTV
HMOY;BLLPRUY,DLLOPPU,GGLOPSY
HMPU;
HMSU;
HMTY;AAGRTUU
HNOO;
HNOP;
HNOR;
HNOS;
HNOT;
HNSU;
HNTU;CMOOOTT
HOOP;DLRXYYY
HOOR;AAGLPPR,ACEELRU
HOOS;
HOOT;
HOPQ;AADNRUY,ADNORUY
HOPS;
HOPT;
HOPU;BLLMRYY
HOPW;
HOPY;AAEIKLM,AAGGHIR,CCEEMTY,CGIMORZ,CHILMOR,EEHITTZ
HORS;
HORT;
HORU;
HOSS;
HOST;
HOSU;
HOSW;
HOSY;
HOSZ;AABBIKU,AEGOPRR,EEHIPTY,EENOOPR,EIILLPY,EIOOPRT,IKKKLNO
HOTU;
